"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Bosque Abierto","Species richness",13,13,0,NA,NA,1,13,13,1,13,0,0,0,0,0,0,0,0,0
"2","Bosque Abierto","Shannon diversity",13,0,0,13,0,1,13,13,1,13,0,0,0,0,0,0,0,0,0
"3","Bosque Abierto","Simpson diversity",13,13,0,13,13,1,13,13,1,13,0,0,0,0,0,0,0,0,0
"4","Bosque Denso","Species richness",15,24,8.485,16.885,57.96,3,24,15,0.7188,9,3,3,0,0,0,0,0,0,0
"5","Bosque Denso","Shannon diversity",13.367,20.159,4.922,13.367,29.806,3,24,15,0.7188,9,3,3,0,0,0,0,0,0,0
"6","Bosque Denso","Simpson diversity",12,15.667,2.409,12,20.388,3,24,15,0.7188,9,3,3,0,0,0,0,0,0,0
"7","Bosque Ripario","Species richness",27,38.693,12.577,29.097,92.197,22,233,27,0.9708,7,2,1,1,0,0,4,1,1,0
"8","Bosque Ripario","Shannon diversity",18.752,19.982,1.096,18.752,22.129,22,233,27,0.9708,7,2,1,1,0,0,4,1,1,0
"9","Bosque Ripario","Simpson diversity",16.114,16.499,0.69,16.114,17.852,22,233,27,0.9708,7,2,1,1,0,0,4,1,1,0
"10","Ciénaga","Species richness",12,17.444,5.68,13.013,41.269,3,19,12,0.7421,7,3,2,0,0,0,0,0,0,0
"11","Ciénaga","Shannon diversity",10.79,15.659,3.753,10.79,23.015,3,19,12,0.7421,7,3,2,0,0,0,0,0,0,0
"12","Ciénaga","Simpson diversity",9.757,13,1.966,9.757,16.853,3,19,12,0.7421,7,3,2,0,0,0,0,0,0,0
"13","Herbazal","Species richness",18,19.8,2.782,18.206,33.691,5,62,18,0.9637,3,2,4,2,7,0,0,0,0,0
"14","Herbazal","Shannon diversity",16.157,17.361,1.059,16.157,19.437,5,62,18,0.9637,3,2,4,2,7,0,0,0,0,0
"15","Herbazal","Simpson diversity",15.134,15.958,0.899,15.134,17.721,5,62,18,0.9637,3,2,4,2,7,0,0,0,0,0
"16","Pastos","Species richness",7,7,0,NA,NA,1,7,7,1,7,0,0,0,0,0,0,0,0,0
"17","Pastos","Shannon diversity",7,0,0,7,0,1,7,7,1,7,0,0,0,0,0,0,0,0,0
"18","Pastos","Simpson diversity",7,7,0,7,7,1,7,7,1,7,0,0,0,0,0,0,0,0,0
"19","Vías","Species richness",17,32.125,13.212,20.457,83.173,4,27,17,0.6553,11,3,2,1,0,0,0,0,0,0
"20","Vías","Shannon diversity",14.765,25.252,5.933,14.765,36.88,4,27,17,0.6553,11,3,2,1,0,0,0,0,0,0
"21","Vías","Simpson diversity",12.789,17.8,3.291,12.789,24.25,4,27,17,0.6553,11,3,2,1,0,0,0,0,0,0
