"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","Bosque Ripario","Species richness",26,27.499,2.29,26.174,38.878,1469,26,0.998
"2","Bosque Ripario","Shannon diversity",9.842,9.937,0.294,9.842,10.513,1469,26,0.998
"3","Bosque Ripario","Simpson diversity",6.428,6.452,0.224,6.428,6.891,1469,26,0.998
"4","Herbazal","Species richness",18,18.499,1.321,18.03,26.431,674,18,0.9985
"5","Herbazal","Shannon diversity",8.997,9.12,0.352,8.997,9.81,674,18,0.9985
"6","Herbazal","Simpson diversity",6.593,6.648,0.307,6.593,7.25,674,18,0.9985
"7","Bosque Denso","Species richness",15,16.981,2.625,15.275,29.25,107,15,0.9633
"8","Bosque Denso","Shannon diversity",8.737,9.501,0.878,8.737,11.222,107,15,0.9633
"9","Bosque Denso","Simpson diversity",6.795,7.188,0.653,6.795,8.467,107,15,0.9633
"10","Pastos","Species richness",7,7.481,1.281,7.028,15.182,27,7,0.9656
"11","Pastos","Shannon diversity",6.085,6.944,0.958,6.085,8.821,27,7,0.9656
"12","Pastos","Simpson diversity",5.565,6.75,1.005,5.565,8.719,27,7,0.9656
"13","Ciénaga","Species richness",12,12.665,1.303,12.057,19.793,511,12,0.9961
"14","Ciénaga","Shannon diversity",3.377,3.419,0.164,3.377,3.741,511,12,0.9961
"15","Ciénaga","Simpson diversity",2.589,2.597,0.097,2.589,2.788,511,12,0.9961
"16","Vías","Species richness",17,48.791,39.342,21.808,227.203,153,17,0.9478
"17","Vías","Shannon diversity",6.702,7.611,0.972,6.702,9.515,153,17,0.9478
"18","Vías","Simpson diversity",4.538,4.646,0.436,4.538,5.5,153,17,0.9478
"19","Bosque Abierto","Species richness",13,21.913,10.08,14.505,65.792,104,13,0.9427
"20","Bosque Abierto","Shannon diversity",6.583,7.332,0.757,6.583,8.817,104,13,0.9427
"21","Bosque Abierto","Simpson diversity",5.23,5.454,0.55,5.23,6.532,104,13,0.9427
