"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Bosque Abierto","Species richness",4,4,0,NA,NA,1,4,4,1,4,0,0,0,0,0,0,0,0,0
"2","Bosque Abierto","Shannon diversity",4,0,0,4,0,1,4,4,1,4,0,0,0,0,0,0,0,0,0
"3","Bosque Abierto","Simpson diversity",4,4,0,4,4,1,4,4,1,4,0,0,0,0,0,0,0,0,0
"4","Bosque Denso","Species richness",12,17.444,5.68,13.013,41.269,3,19,12,0.7421,7,3,2,0,0,0,0,0,0,0
"5","Bosque Denso","Shannon diversity",10.79,15.659,3.481,10.79,22.483,3,19,12,0.7421,7,3,2,0,0,0,0,0,0,0
"6","Bosque Denso","Simpson diversity",9.757,13,1.945,9.757,16.813,3,19,12,0.7421,7,3,2,0,0,0,0,0,0,0
"7","Bosque Ripario","Species richness",14,14.25,0.621,14.016,17.913,4,34,14,0.9804,2,6,4,2,0,0,0,0,0,0
"8","Bosque Ripario","Shannon diversity",13.037,14.388,1.154,13.037,16.651,4,34,14,0.9804,2,6,4,2,0,0,0,0,0,0
"9","Bosque Ripario","Simpson diversity",12.298,14.275,1.101,12.298,16.433,4,34,14,0.9804,2,6,4,2,0,0,0,0,0,0
"10","Herbazal","Species richness",27,47.087,16.704,31.851,110.183,23,241,27,0.9714,7,0,2,0,3,0,2,2,1,0
"11","Herbazal","Shannon diversity",19.062,20.451,1.084,19.062,22.576,23,241,27,0.9714,7,0,2,0,3,0,2,2,1,0
"12","Herbazal","Simpson diversity",16.356,16.758,0.645,16.356,18.022,23,241,27,0.9714,7,0,2,0,3,0,2,2,1,0
"13","Palma","Species richness",8,10.083,2.646,8.305,22.224,2,11,8,0.7934,5,3,0,0,0,0,0,0,0,0
"14","Palma","Shannon diversity",7.537,10.083,1.832,7.537,13.675,2,11,8,0.7934,5,3,0,0,0,0,0,0,0,0
"15","Palma","Simpson diversity",7.118,9.667,1.649,7.118,12.899,2,11,8,0.7934,5,3,0,0,0,0,0,0,0,0
"16","Pastos","Species richness",13,15.042,2.262,13.353,24.798,2,19,13,0.8643,7,6,0,0,0,0,0,0,0,0
"17","Pastos","Shannon diversity",12.264,15.042,1.78,12.264,18.531,2,19,13,0.8643,7,6,0,0,0,0,0,0,0,0
"18","Pastos","Simpson diversity",11.645,14.75,1.623,11.645,17.931,2,19,13,0.8643,7,6,0,0,0,0,0,0,0,0
"19","Rios","Species richness",20,27.259,7.412,21.385,58.04,9,54,20,0.8829,7,3,5,3,1,0,0,0,1,0
"20","Rios","Shannon diversity",16.176,20.274,2.266,16.176,24.715,9,54,20,0.8829,7,3,5,3,1,0,0,0,1,0
"21","Rios","Simpson diversity",13.376,15.623,1.652,13.376,18.862,9,54,20,0.8829,7,3,5,3,1,0,0,0,1,0
"22","Vias","Species richness",16,18.7,3.003,16.465,31.673,4,33,16,0.8831,6,5,3,2,0,0,0,0,0,0
"23","Vias","Shannon diversity",14.165,17.282,2.228,14.165,21.648,4,33,16,0.8831,6,5,3,2,0,0,0,0,0,0
"24","Vias","Simpson diversity",12.812,15.481,1.603,12.812,18.622,4,33,16,0.8831,6,5,3,2,0,0,0,0,0,0
"25","Zonas Pantanosas","Species richness",18,31.333,11.988,20.95,78.269,5,33,18,0.7365,10,3,4,0,1,0,0,0,0,0
"26","Zonas Pantanosas","Shannon diversity",15.289,23.426,4.326,15.289,31.905,5,33,18,0.7365,10,3,4,0,1,0,0,0,0,0
"27","Zonas Pantanosas","Simpson diversity",13.12,17.096,2.548,13.12,22.09,5,33,18,0.7365,10,3,4,0,1,0,0,0,0,0
