"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","Bosque Ripario","Species richness",27,34.994,11.654,27.987,91.775,1434,27,0.9972
"2","Bosque Ripario","Shannon diversity",10.447,10.573,0.302,10.447,11.166,1434,27,0.9972
"3","Bosque Ripario","Simpson diversity",6.771,6.799,0.249,6.771,7.286,1434,27,0.9972
"4","Bosque Abierto","Species richness",13,14.489,2.276,13.173,25.805,132,13,0.9776
"5","Bosque Abierto","Shannon diversity",7.575,8.018,0.613,7.575,9.219,132,13,0.9776
"6","Bosque Abierto","Simpson diversity",6.109,6.357,0.514,6.109,7.365,132,13,0.9776
"7","Pastos","Species richness",16,20.469,7.146,16.491,56.65,145,16,0.9794
"8","Pastos","Shannon diversity",10.026,10.76,0.951,10.026,12.624,145,16,0.9794
"9","Pastos","Simpson diversity",7.738,8.118,0.834,7.738,9.752,145,16,0.9794
"10","Palma","Species richness",20,27.949,11.589,20.981,84.418,156,20,0.9744
"11","Palma","Shannon diversity",11.272,12.311,1.216,11.272,14.695,156,20,0.9744
"12","Palma","Simpson diversity",6.981,7.261,0.944,6.981,9.111,156,20,0.9744
"13","Vias","Species richness",18,22.141,4.855,18.669,43.628,161,18,0.9692
"14","Vias","Shannon diversity",7.969,8.573,0.816,7.969,10.171,161,18,0.9692
"15","Vias","Simpson diversity",5.198,5.338,0.552,5.198,6.419,161,18,0.9692
"16","Zonas Pantanosas","Species richness",12,12.665,1.302,12.057,19.788,371,12,0.9947
"17","Zonas Pantanosas","Shannon diversity",3.832,3.898,0.21,3.832,4.309,371,12,0.9947
"18","Zonas Pantanosas","Simpson diversity",2.887,2.902,0.139,2.887,3.174,371,12,0.9947
"19","Herbazal","Species richness",14,14.499,1.32,14.03,22.427,471,14,0.9979
"20","Herbazal","Shannon diversity",6.323,6.419,0.312,6.323,7.031,471,14,0.9979
"21","Herbazal","Simpson diversity",4.407,4.439,0.24,4.407,4.91,471,14,0.9979
"22","Rios","Species richness",4,4.989,2.146,4.074,17.144,92,4,0.9787
"23","Rios","Shannon diversity",2.216,2.274,0.105,2.216,2.479,92,4,0.9787
"24","Rios","Simpson diversity",2.08,2.105,0.071,2.08,2.244,92,4,0.9787
"25","Bosque Denso","Species richness",8,12.364,6.985,8.479,47.745,33,8,0.9109
"26","Bosque Denso","Shannon diversity",5.697,6.859,1.24,5.697,9.29,33,8,0.9109
"27","Bosque Denso","Simpson diversity",4.755,5.388,0.873,4.755,7.098,33,8,0.9109
