"","evenPer","order","observado","estimado","s.e.","LCL","UCL","parentEventID","grp","cmb_smpEf"
"1","ANH_100_N","Species richness",5,7.769,4.065,5.339,27.633,"ANH_100","VES",0.369958275382476
"2","ANH_100_N","Shannon diversity",3.711,5.04,1.294,3.711,7.576,"ANH_100","VES",0.369958275382476
"3","ANH_100_N","Simpson diversity",3.073,3.714,1.098,3.073,5.867,"ANH_100","VES",0.369958275382476
"4","ANH_109_D","Species richness",3,3,0.344,3,3.858,"ANH_109","VES",0.789986091794159
"5","ANH_109_D","Shannon diversity",2.462,2.611,0.399,2.462,3.393,"ANH_109","VES",0.789986091794159
"6","ANH_109_D","Simpson diversity",2.16,2.318,0.404,2.16,3.111,"ANH_109","VES",0.789986091794159
"7","ANH_109_N","Species richness",12,12.994,1.861,12.09,23.007,"ANH_109","VES",0.789986091794159
"8","ANH_109_N","Shannon diversity",3.168,3.302,0.386,3.168,4.058,"ANH_109","VES",0.789986091794159
"9","ANH_109_N","Simpson diversity",1.791,1.8,0.179,1.791,2.15,"ANH_109","VES",0.789986091794159
"10","ANH_117_D","Species richness",3,3.833,1.798,3.063,13.998,"ANH_117","VES",0.777468706536857
"11","ANH_117_D","Shannon diversity",2.381,3.216,0.925,2.381,5.028,"ANH_117","VES",0.777468706536857
"12","ANH_117_D","Simpson diversity",2,2.5,1.343,2,5.132,"ANH_117","VES",0.777468706536857
"13","ANH_117_N","Species richness",9,10.442,2.216,9.167,21.478,"ANH_117","VES",0.777468706536857
"14","ANH_117_N","Shannon diversity",6.504,8.026,1.275,6.504,10.525,"ANH_117","VES",0.777468706536857
"15","ANH_117_N","Simpson diversity",4.829,5.702,1.557,4.829,8.753,"ANH_117","VES",0.777468706536857
"16","ANH_133_D","Species richness",2,2.5,1.107,2.037,8.808,"ANH_133","VES",0.931849791376912
"17","ANH_133_D","Shannon diversity",2,3.375,1.146,2,5.622,"ANH_133","VES",0.931849791376912
"18","ANH_133_D","Simpson diversity",2,2,0.464,2,2.909,"ANH_133","VES",0.931849791376912
"19","ANH_133_N","Species richness",12,12.496,1.313,12.029,20.38,"ANH_133","VES",0.931849791376912
"20","ANH_133_N","Shannon diversity",6.167,6.508,0.705,6.167,7.889,"ANH_133","VES",0.931849791376912
"21","ANH_133_N","Simpson diversity",3.965,4.071,0.54,3.965,5.129,"ANH_133","VES",0.931849791376912
"22","ANH_135_N","Species richness",5,5.464,1.242,5.027,12.941,"ANH_135","VES",0.301808066759388
"23","ANH_135_N","Shannon diversity",4.457,5.339,1.051,4.457,7.398,"ANH_135","VES",0.301808066759388
"24","ANH_135_N","Simpson diversity",4.083,5.353,1.178,4.083,7.661,"ANH_135","VES",0.301808066759388
"25","ANH_136_N","Species richness",7,7.962,1.809,7.086,17.714,"ANH_136","VES",0.840055632823366
"26","ANH_136_N","Shannon diversity",5.075,5.915,0.9,5.075,7.679,"ANH_136","VES",0.840055632823366
"27","ANH_136_N","Simpson diversity",4.122,4.71,0.886,4.122,6.447,"ANH_136","VES",0.840055632823366
"28","ANH_141_N","Species richness",10,16.176,7.467,10.961,49.685,"ANH_141","VES",0.535465924895688
"29","ANH_141_N","Shannon diversity",3.603,3.983,0.557,3.603,5.075,"ANH_141","VES",0.535465924895688
"30","ANH_141_N","Simpson diversity",2.667,2.721,0.255,2.667,3.22,"ANH_141","VES",0.535465924895688
"31","ANH_141_D","Species richness",1,1,0.03,1,1.06,"ANH_141","VES",0.535465924895688
"32","ANH_141_D","Shannon diversity",1,1,0,1,1,"ANH_141","VES",0.535465924895688
"33","ANH_141_D","Simpson diversity",1,1,0,1,1,"ANH_141","VES",0.535465924895688
"34","ANH_148_D","Species richness",2,2.5,1.107,2.037,8.808,"ANH_148","VES",0.723226703755216
"35","ANH_148_D","Shannon diversity",2,3.375,1.111,2,5.552,"ANH_148","VES",0.723226703755216
"36","ANH_148_D","Simpson diversity",2,2,0.48,2,2.94,"ANH_148","VES",0.723226703755216
"37","ANH_148_N","Species richness",9,10.966,3.683,9.177,30.787,"ANH_148","VES",0.723226703755216
"38","ANH_148_N","Shannon diversity",3.879,4.258,0.719,3.879,5.668,"ANH_148","VES",0.723226703755216
"39","ANH_148_N","Simpson diversity",2.307,2.36,0.492,2.307,3.324,"ANH_148","VES",0.723226703755216
"40","ANH_149_N","Species richness",12,13.101,1.737,12.123,21.85,"ANH_149","VES",0.94019471488178
"41","ANH_149_N","Shannon diversity",7.078,8.213,1.248,7.078,10.66,"ANH_149","VES",0.94019471488178
"42","ANH_149_N","Simpson diversity",4.39,4.748,1.189,4.39,7.077,"ANH_149","VES",0.94019471488178
"43","ANH_149_D","Species richness",1,1,0.284,1,1.799,"ANH_149","VES",0.94019471488178
"44","ANH_149_D","Shannon diversity",1,1,0,1,1,"ANH_149","VES",0.94019471488178
"45","ANH_149_D","Simpson diversity",1,1,0,1,1,"ANH_149","VES",0.94019471488178
"46","ANH_150_N","Species richness",10,10.98,2.224,10.07,23.759,"ANH_150","VES",0.917941585535466
"47","ANH_150_N","Shannon diversity",8.389,9.385,0.787,8.389,10.927,"ANH_150","VES",0.917941585535466
"48","ANH_150_N","Simpson diversity",7.622,8.842,0.982,7.622,10.768,"ANH_150","VES",0.917941585535466
"49","ANH_150_D","Species richness",1,1,0.312,1,2.549,"ANH_150","VES",0.917941585535466
"50","ANH_150_D","Shannon diversity",1,0,0,1,0,"ANH_150","VES",0.917941585535466
"51","ANH_150_D","Simpson diversity",1,1,0,1,1,"ANH_150","VES",0.917941585535466
"52","ANH_151_D","Species richness",6,11.85,6.877,6.942,42.322,"ANH_151","VES",0.824756606397775
"53","ANH_151_D","Shannon diversity",2.058,2.386,0.521,2.058,3.407,"ANH_151","VES",0.824756606397775
"54","ANH_151_D","Simpson diversity",1.452,1.469,0.197,1.452,1.856,"ANH_151","VES",0.824756606397775
"55","ANH_151_N","Species richness",11,18.896,11.515,11.974,75.008,"ANH_151","VES",0.824756606397775
"56","ANH_151_N","Shannon diversity",6.092,6.855,0.974,6.092,8.763,"ANH_151","VES",0.824756606397775
"57","ANH_151_N","Simpson diversity",4.202,4.387,0.785,4.202,5.925,"ANH_151","VES",0.824756606397775
"58","ANH_152_D","Species richness",3,3.833,1.798,3.063,13.998,"ANH_152","VES",0.965229485396384
