"","samplingProtocol","Grouping","species","labelit","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"1","VES","Bosque Abierto","Boana pugnax",TRUE,1,28,26.9,NA,NA,26.9,1.4,7.7
"2","VES","Bosque Abierto","Dendropsophus microcephalus",TRUE,2,25,24,NA,NA,51,1.4,15.4
"3","VES","Bosque Abierto","Scinax ruber",TRUE,3,20,19.2,NA,NA,70.2,1.3,23.1
"4","VES","Bosque Abierto","Engystomops pustulosus",FALSE,4,14,13.5,NA,NA,83.7,1.1,30.8
"5","VES","Bosque Abierto","Scinax rostratus",FALSE,5,7,6.7,NA,NA,90.4,0.8,38.5
"6","VES","Bosque Abierto","Pseudopaludicola pusilla",FALSE,6,2,1.9,NA,NA,92.3,0.3,46.2
"7","VES","Bosque Abierto","Elachistocleis panamensis",FALSE,7,2,1.9,NA,NA,94.2,0.3,53.8
"8","VES","Bosque Abierto","Trachycephalus typhonius",FALSE,8,1,1,NA,NA,95.2,0,61.5
"9","VES","Bosque Abierto","Leptodactylus fragilis",FALSE,9,1,1,NA,NA,96.2,0,69.2
"10","VES","Bosque Abierto","Elachistocleis pearsei",FALSE,10,1,1,NA,NA,97.1,0,76.9
"11","VES","Bosque Abierto","Scarthyla vigilans",FALSE,11,1,1,NA,NA,98.1,0,84.6
"12","VES","Bosque Abierto","Leptodactylus fuscus",FALSE,12,1,1,NA,NA,99,0,92.3
"13","VES","Bosque Abierto","Craugastor metriosistus",FALSE,13,1,1,NA,NA,100,0,100
"14","VES","Bosque Denso","Engystomops pustulosus",TRUE,1,25,23.4,NA,NA,23.4,1.4,6.7
"15","VES","Bosque Denso","Dendrobates truncatus",TRUE,2,19,17.8,NA,NA,41.1,1.3,13.3
"16","VES","Bosque Denso","Pristimantis gaigei",TRUE,3,18,16.8,NA,NA,57.9,1.3,20
"17","VES","Bosque Denso","Smilisca phaeota",FALSE,4,16,15,NA,NA,72.9,1.2,26.7
"18","VES","Bosque Denso","Craugastor metriosistus",FALSE,5,7,6.5,NA,NA,79.4,0.8,33.3
"19","VES","Bosque Denso","Phyllomedusa venusta",FALSE,6,5,4.7,NA,NA,84.1,0.7,40
"20","VES","Bosque Denso","Scinax ruber",FALSE,7,5,4.7,NA,NA,88.8,0.7,46.7
"21","VES","Bosque Denso","Allobates niputidea",FALSE,8,2,1.9,NA,NA,90.7,0.3,53.3
"22","VES","Bosque Denso","Diasporus anthrax",FALSE,9,2,1.9,NA,NA,92.5,0.3,60
"23","VES","Bosque Denso","Boana pugnax",FALSE,10,2,1.9,NA,NA,94.4,0.3,66.7
"24","VES","Bosque Denso","Scinax rostratus",FALSE,11,2,1.9,NA,NA,96.3,0.3,73.3
"25","VES","Bosque Denso","Bolitoglossa lozanoi",FALSE,12,1,0.9,NA,NA,97.2,0,80
