"","samplingProtocol","Grouping","species","labelit","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"1","VES","Bosque Abierto_ANH_169_D","Scinax rostratus",TRUE,1,1,100,NA,NA,100,0,100
"2","VES","Bosque Abierto_ANH_169_N","Boana pugnax",TRUE,1,28,27.2,NA,NA,27.2,1.4,7.7
"3","VES","Bosque Abierto_ANH_169_N","Dendropsophus microcephalus",TRUE,2,25,24.3,NA,NA,51.5,1.4,15.4
"4","VES","Bosque Abierto_ANH_169_N","Scinax ruber",TRUE,3,20,19.4,NA,NA,70.9,1.3,23.1
"5","VES","Bosque Abierto_ANH_169_N","Engystomops pustulosus",FALSE,4,14,13.6,NA,NA,84.5,1.1,30.8
"6","VES","Bosque Abierto_ANH_169_N","Scinax rostratus",FALSE,5,6,5.8,NA,NA,90.3,0.8,38.5
"7","VES","Bosque Abierto_ANH_169_N","Pseudopaludicola pusilla",FALSE,6,2,1.9,NA,NA,92.2,0.3,46.2
"8","VES","Bosque Abierto_ANH_169_N","Elachistocleis panamensis",FALSE,7,2,1.9,NA,NA,94.2,0.3,53.8
"9","VES","Bosque Abierto_ANH_169_N","Trachycephalus typhonius",FALSE,8,1,1,NA,NA,95.1,0,61.5
"10","VES","Bosque Abierto_ANH_169_N","Leptodactylus fragilis",FALSE,9,1,1,NA,NA,96.1,0,69.2
"11","VES","Bosque Abierto_ANH_169_N","Elachistocleis pearsei",FALSE,10,1,1,NA,NA,97.1,0,76.9
"12","VES","Bosque Abierto_ANH_169_N","Scarthyla vigilans",FALSE,11,1,1,NA,NA,98.1,0,84.6
"13","VES","Bosque Abierto_ANH_169_N","Leptodactylus fuscus",FALSE,12,1,1,NA,NA,99,0,92.3
"14","VES","Bosque Abierto_ANH_169_N","Craugastor metriosistus",FALSE,13,1,1,NA,NA,100,0,100
"15","VES","Bosque Denso_ANH_171_D","Dendrobates truncatus",TRUE,1,1,33.3,NA,NA,33.3,0,33.3
"16","VES","Bosque Denso_ANH_171_D","Engystomops pustulosus",TRUE,2,1,33.3,NA,NA,66.7,0,66.7
"17","VES","Bosque Denso_ANH_171_D","Pristimantis gaigei",TRUE,3,1,33.3,NA,NA,100,0,100
"18","VES","Bosque Denso_ANH_171_N","Engystomops pustulosus",TRUE,1,4,26.7,NA,NA,26.7,0.6,16.7
"19","VES","Bosque Denso_ANH_171_N","Dendrobates truncatus",TRUE,2,4,26.7,NA,NA,53.3,0.6,33.3
"20","VES","Bosque Denso_ANH_171_N","Craugastor metriosistus",TRUE,3,3,20,NA,NA,73.3,0.5,50
"21","VES","Bosque Denso_ANH_171_N","Pristimantis gaigei",FALSE,4,2,13.3,NA,NA,86.7,0.3,66.7
"22","VES","Bosque Denso_ANH_171_N","Diasporus anthrax",FALSE,5,1,6.7,NA,NA,93.3,0,83.3
"23","VES","Bosque Denso_ANH_171_N","Scinax ruber",FALSE,6,1,6.7,NA,NA,100,0,100
"24","VES","Bosque Denso_ANH_360_D","Dendrobates truncatus",TRUE,1,1,25,NA,NA,25,0,25
"25","VES","Bosque Denso_ANH_360_D","Engystomops pustulosus",TRUE,2,1,25,NA,NA,50,0,50
"26","VES","Bosque Denso_ANH_360_D","Scinax rostratus",TRUE,3,1,25,NA,NA,75,0,75
"27","VES","Bosque Denso_ANH_360_D","Smilisca phaeota",FALSE,4,1,25,NA,NA,100,0,100
"28","VES","Bosque Denso_ANH_360_N","Engystomops pustulosus",TRUE,1,12,25,NA,NA,25,1.1,7.7
"29","VES","Bosque Denso_ANH_360_N","Pristimantis gaigei",TRUE,2,7,14.6,NA,NA,39.6,0.8,15.4
"30","VES","Bosque Denso_ANH_360_N","Smilisca phaeota",TRUE,3,7,14.6,NA,NA,54.2,0.8,23.1
"31","VES","Bosque Denso_ANH_360_N","Dendrobates truncatus",FALSE,4,6,12.5,NA,NA,66.7,0.8,30.8
"32","VES","Bosque Denso_ANH_360_N","Phyllomedusa venusta",FALSE,5,4,8.3,NA,NA,75,0.6,38.5
"33","VES","Bosque Denso_ANH_360_N","Scinax ruber",FALSE,6,4,8.3,NA,NA,83.3,0.6,46.2
"34","VES","Bosque Denso_ANH_360_N","Boana pugnax",FALSE,7,2,4.2,NA,NA,87.5,0.3,53.8
"35","VES","Bosque Denso_ANH_360_N","Scinax rostratus",FALSE,8,1,2.1,NA,NA,89.6,0,61.5
"36","VES","Bosque Denso_ANH_360_N","Craugastor metriosistus",FALSE,9,1,2.1,NA,NA,91.7,0,69.2
"37","VES","Bosque Denso_ANH_360_N","Lithobates vaillanti",FALSE,10,1,2.1,NA,NA,93.8,0,76.9
"38","VES","Bosque Denso_ANH_360_N","Rhinella horribilis",FALSE,11,1,2.1,NA,NA,95.8,0,84.6
"39","VES","Bosque Denso_ANH_360_N","Diasporus anthrax",FALSE,12,1,2.1,NA,NA,97.9,0,92.3
"40","VES","Bosque Denso_ANH_360_N","Bolitoglossa lozanoi",FALSE,13,1,2.1,NA,NA,100,0,100
"41","VES","Bosque Denso_ANH_374_D","Dendrobates truncatus",TRUE,1,2,66.7,NA,NA,66.7,0.3,50
"42","VES","Bosque Denso_ANH_374_D","Allobates niputidea",TRUE,2,1,33.3,NA,NA,100,0,100
"43","VES","Bosque Denso_ANH_374_N","Pristimantis gaigei",TRUE,1,5,41.7,NA,NA,41.7,0.7,25
"44","VES","Bosque Denso_ANH_374_N","Engystomops pustulosus",TRUE,2,5,41.7,NA,NA,83.3,0.7,50
"45","VES","Bosque Denso_ANH_374_N","Allobates niputidea",TRUE,3,1,8.3,NA,NA,91.7,0,75
"46","VES","Bosque Denso_ANH_374_N","Agalychnis terranova",FALSE,4,1,8.3,NA,NA,100,0,100
"47","VES","Bosque Denso_ANH_375_D","Engystomops pustulosus",TRUE,1,1,100,NA,NA,100,0,100
"48","VES","Bosque Denso_ANH_375_N","Smilisca phaeota",TRUE,1,8,38.1,NA,NA,38.1,0.9,16.7
"49","VES","Bosque Denso_ANH_375_N","Dendrobates truncatus",TRUE,2,5,23.8,NA,NA,61.9,0.7,33.3
"50","VES","Bosque Denso_ANH_375_N","Craugastor metriosistus",TRUE,3,3,14.3,NA,NA,76.2,0.5,50
"51","VES","Bosque Denso_ANH_375_N","Pristimantis gaigei",FALSE,4,3,14.3,NA,NA,90.5,0.5,66.7
"52","VES","Bosque Denso_ANH_375_N","Engystomops pustulosus",FALSE,5,1,4.8,NA,NA,95.2,0,83.3
"53","VES","Bosque Denso_ANH_375_N","Phyllomedusa venusta",FALSE,6,1,4.8,NA,NA,100,0,100
"54","VES","Bosque Ripario_ANH_117_D","Dendrobates truncatus",TRUE,1,4,66.7,NA,NA,66.7,0.6,33.3
"55","VES","Bosque Ripario_ANH_117_D","Engystomops pustulosus",TRUE,2,1,16.7,NA,NA,83.3,0,66.7
"56","VES","Bosque Ripario_ANH_117_D","Rhinella horribilis",TRUE,3,1,16.7,NA,NA,100,0,100
"57","VES","Bosque Ripario_ANH_117_N","Engystomops pustulosus",TRUE,1,10,38.5,NA,NA,38.5,1,11.1
"58","VES","Bosque Ripario_ANH_117_N","Craugastor metriosistus",TRUE,2,4,15.4,NA,NA,53.8,0.6,22.2
"59","VES","Bosque Ripario_ANH_117_N","Pristimantis gaigei",TRUE,3,3,11.5,NA,NA,65.4,0.5,33.3
"60","VES","Bosque Ripario_ANH_117_N","Lithobates vaillanti",FALSE,4,2,7.7,NA,NA,73.1,0.3,44.4
"61","VES","Bosque Ripario_ANH_117_N","Smilisca phaeota",FALSE,5,2,7.7,NA,NA,80.8,0.3,55.6
"62","VES","Bosque Ripario_ANH_117_N","Dendrobates truncatus",FALSE,6,2,7.7,NA,NA,88.5,0.3,66.7
"63","VES","Bosque Ripario_ANH_117_N","Scinax rostratus",FALSE,7,1,3.8,NA,NA,92.3,0,77.8
"64","VES","Bosque Ripario_ANH_117_N","Boana pugnax",FALSE,8,1,3.8,NA,NA,96.2,0,88.9
"65","VES","Bosque Ripario_ANH_117_N","Bolitoglossa lozanoi",FALSE,9,1,3.8,NA,NA,100,0,100
"66","VES","Bosque Ripario_ANH_133_D","Dendrobates truncatus",TRUE,1,1,50,NA,NA,50,0,50
"67","VES","Bosque Ripario_ANH_133_D","Scinax rostratus",TRUE,2,1,50,NA,NA,100,0,100
"68","VES","Bosque Ripario_ANH_133_N","Engystomops pustulosus",TRUE,1,50,43.9,NA,NA,43.9,1.7,8.3
"69","VES","Bosque Ripario_ANH_133_N","Lithobates vaillanti",TRUE,2,24,21.1,NA,NA,64.9,1.4,16.7
"70","VES","Bosque Ripario_ANH_133_N","Leptodactylus insularum",TRUE,3,8,7,NA,NA,71.9,0.9,25
"71","VES","Bosque Ripario_ANH_133_N","Boana pugnax",FALSE,4,7,6.1,NA,NA,78.1,0.8,33.3
"72","VES","Bosque Ripario_ANH_133_N","Leptodactylus savagei",FALSE,5,5,4.4,NA,NA,82.5,0.7,41.7
"73","VES","Bosque Ripario_ANH_133_N","Rhinella horribilis",FALSE,6,4,3.5,NA,NA,86,0.6,50
"74","VES","Bosque Ripario_ANH_133_N","Scinax rostratus",FALSE,7,4,3.5,NA,NA,89.5,0.6,58.3
"75","VES","Bosque Ripario_ANH_133_N","Phyllomedusa venusta",FALSE,8,3,2.6,NA,NA,92.1,0.5,66.7
"76","VES","Bosque Ripario_ANH_133_N","Scinax ruber",FALSE,9,3,2.6,NA,NA,94.7,0.5,75
"77","VES","Bosque Ripario_ANH_133_N","Dendrobates truncatus",FALSE,10,3,2.6,NA,NA,97.4,0.5,83.3
"78","VES","Bosque Ripario_ANH_133_N","Bolitoglossa lozanoi",FALSE,11,2,1.8,NA,NA,99.1,0.3,91.7
"79","VES","Bosque Ripario_ANH_133_N","Dendropsophus microcephalus",FALSE,12,1,0.9,NA,NA,100,0,100
"80","VES","Bosque Ripario_ANH_136_N","Craugastor metriosistus",TRUE,1,9,34.6,NA,NA,34.6,1,14.3
"81","VES","Bosque Ripario_ANH_136_N","Engystomops pustulosus",TRUE,2,8,30.8,NA,NA,65.4,0.9,28.6
"82","VES","Bosque Ripario_ANH_136_N","Boana pugnax",TRUE,3,3,11.5,NA,NA,76.9,0.5,42.9
"83","VES","Bosque Ripario_ANH_136_N","Scinax ruber",FALSE,4,2,7.7,NA,NA,84.6,0.3,57.1
"84","VES","Bosque Ripario_ANH_136_N","Dendrobates truncatus",FALSE,5,2,7.7,NA,NA,92.3,0.3,71.4
