"","samplingProtocol","Grouping","species","labelit","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"1","VES","Caracterizacion","Dendrobates truncatus",TRUE,1,176,35.1,NA,NA,35.1,2.2,4.5
"2","VES","Caracterizacion","Engystomops pustulosus",TRUE,2,94,18.7,NA,NA,53.8,2,9.1
"3","VES","Caracterizacion","Craugastor metriosistus",TRUE,3,88,17.5,NA,NA,71.3,1.9,13.6
"4","VES","Caracterizacion","Scinax rostratus",FALSE,4,21,4.2,NA,NA,75.5,1.3,18.2
"5","VES","Caracterizacion","Pristimantis gaigei",FALSE,5,19,3.8,NA,NA,79.3,1.3,22.7
"6","VES","Caracterizacion","Rhinella horribilis",FALSE,6,17,3.4,NA,NA,82.7,1.2,27.3
"7","VES","Caracterizacion","Lithobates vaillanti",FALSE,7,16,3.2,NA,NA,85.9,1.2,31.8
"8","VES","Caracterizacion","Boana pugnax",FALSE,8,14,2.8,NA,NA,88.6,1.1,36.4
"9","VES","Caracterizacion","Smilisca phaeota",FALSE,9,10,2,NA,NA,90.6,1,40.9
"10","VES","Caracterizacion","Leptodactylus savagei",FALSE,10,7,1.4,NA,NA,92,0.8,45.5
"11","VES","Caracterizacion","Scinax ruber",FALSE,11,6,1.2,NA,NA,93.2,0.8,50
"12","VES","Caracterizacion","Bolitoglossa lozanoi",FALSE,12,6,1.2,NA,NA,94.4,0.8,54.5
"13","VES","Caracterizacion","Phyllomedusa venusta",FALSE,13,6,1.2,NA,NA,95.6,0.8,59.1
"14","VES","Caracterizacion","Allobates niputidea",FALSE,14,5,1,NA,NA,96.6,0.7,63.6
"15","VES","Caracterizacion","Pseudopaludicola pusilla",FALSE,15,5,1,NA,NA,97.6,0.7,68.2
"16","VES","Caracterizacion","Leptodactylus fuscus",FALSE,16,3,0.6,NA,NA,98.2,0.5,72.7
"17","VES","Caracterizacion","Dendropsophus microcephalus",FALSE,17,3,0.6,NA,NA,98.8,0.5,77.3
"18","VES","Caracterizacion","Diasporus anthrax",FALSE,18,2,0.4,NA,NA,99.2,0.3,81.8
"19","VES","Caracterizacion","Leptodactylus insularum",FALSE,19,1,0.2,NA,NA,99.4,0,86.4
"20","VES","Caracterizacion","Elachistocleis pearsei",FALSE,20,1,0.2,NA,NA,99.6,0,90.9
"21","VES","Caracterizacion","Agalychnis terranova",FALSE,21,1,0.2,NA,NA,99.8,0,95.5
"22","VES","Caracterizacion","Leptodactylus fragilis",FALSE,22,1,0.2,NA,NA,100,0,100
"23","VES","Kale","Engystomops pustulosus",TRUE,1,284,18,NA,NA,18,2.5,3.8
"24","VES","Kale","Dendropsophus microcephalus",TRUE,2,282,17.9,NA,NA,35.9,2.5,7.7
"25","VES","Kale","Scarthyla vigilans",TRUE,3,222,14.1,NA,NA,49.9,2.3,11.5
"26","VES","Kale","Boana pugnax",FALSE,4,117,7.4,NA,NA,57.4,2.1,15.4
"27","VES","Kale","Scinax ruber",FALSE,5,105,6.7,NA,NA,64,2,19.2
"28","VES","Kale","Craugastor metriosistus",FALSE,6,75,4.8,NA,NA,68.8,1.9,23.1
"29","VES","Kale","Dendrobates truncatus",FALSE,7,71,4.5,NA,NA,73.3,1.9,26.9
"30","VES","Kale","Leptodactylus fragilis",FALSE,8,56,3.5,NA,NA,76.8,1.7,30.8
"31","VES","Kale","Leptodactylus fuscus",FALSE,9,56,3.5,NA,NA,80.4,1.7,34.6
"32","VES","Kale","Scinax rostratus",FALSE,10,55,3.5,NA,NA,83.8,1.7,38.5
"33","VES","Kale","Lithobates vaillanti",FALSE,11,44,2.8,NA,NA,86.6,1.6,42.3
"34","VES","Kale","Leptodactylus insularum",FALSE,12,38,2.4,NA,NA,89,1.6,46.2
"35","VES","Kale","Pseudis paradoxa",FALSE,13,37,2.3,NA,NA,91.4,1.6,50
"36","VES","Kale","Pseudopaludicola pusilla",FALSE,14,30,1.9,NA,NA,93.3,1.5,53.8
"37","VES","Kale","Bolitoglossa lozanoi",FALSE,15,26,1.6,NA,NA,94.9,1.4,57.7
"38","VES","Kale","Smilisca phaeota",FALSE,16,11,0.7,NA,NA,95.6,1,61.5
"39","VES","Kale","Pristimantis gaigei",FALSE,17,11,0.7,NA,NA,96.3,1,65.4
"40","VES","Kale","Elachistocleis pearsei",FALSE,18,11,0.7,NA,NA,97,1,69.2
"41","VES","Kale","Leptodactylus savagei",FALSE,19,11,0.7,NA,NA,97.7,1,73.1
"42","VES","Kale","Rhinella horribilis",FALSE,20,10,0.6,NA,NA,98.4,1,76.9
"43","VES","Kale","Rhinella humboldti",FALSE,21,9,0.6,NA,NA,98.9,1,80.8
"44","VES","Kale","Elachistocleis panamensis",FALSE,22,6,0.4,NA,NA,99.3,0.8,84.6
"45","VES","Kale","Phyllomedusa venusta",FALSE,23,5,0.3,NA,NA,99.6,0.7,88.5
"46","VES","Kale","Pleurodema brachyops",FALSE,24,4,0.3,NA,NA,99.9,0.6,92.3
"47","VES","Kale","Hyalinobatrachium tatayoi",FALSE,25,1,0.1,NA,NA,99.9,0,96.2
"48","VES","Kale","Trachycephalus typhonius",FALSE,26,1,0.1,NA,NA,100,0,100
"49","VES","Platero","Scarthyla vigilans",TRUE,1,206,20.9,NA,NA,20.9,2.3,4
"50","VES","Platero","Engystomops pustulosus",TRUE,2,163,16.5,NA,NA,37.3,2.2,8
"51","VES","Platero","Dendropsophus microcephalus",TRUE,3,162,16.4,NA,NA,53.7,2.2,12
"52","VES","Platero","Craugastor metriosistus",FALSE,4,67,6.8,NA,NA,60.5,1.8,16
"53","VES","Platero","Scinax ruber",FALSE,5,50,5.1,NA,NA,65.6,1.7,20
"54","VES","Platero","Lithobates vaillanti",FALSE,6,48,4.9,NA,NA,70.4,1.7,24
"55","VES","Platero","Dendrobates truncatus",FALSE,7,43,4.4,NA,NA,74.8,1.6,28
"56","VES","Platero","Boana pugnax",FALSE,8,42,4.3,NA,NA,79,1.6,32
"57","VES","Platero","Pseudopaludicola pusilla",FALSE,9,42,4.3,NA,NA,83.3,1.6,36
"58","VES","Platero","Scinax rostratus",FALSE,10,36,3.6,NA,NA,86.9,1.6,40
"59","VES","Platero","Leptodactylus insularum",FALSE,11,20,2,NA,NA,89,1.3,44
"60","VES","Platero","Rhinella horribilis",FALSE,12,20,2,NA,NA,91,1.3,48
"61","VES","Platero","Leptodactylus fuscus",FALSE,13,18,1.8,NA,NA,92.8,1.3,52
"62","VES","Platero","Leptodactylus savagei",FALSE,14,17,1.7,NA,NA,94.5,1.2,56
"63","VES","Platero","Leptodactylus fragilis",FALSE,15,15,1.5,NA,NA,96.1,1.2,60
"64","VES","Platero","Rhinella humboldti",FALSE,16,8,0.8,NA,NA,96.9,0.9,64
"65","VES","Platero","Phyllomedusa venusta",FALSE,17,7,0.7,NA,NA,97.6,0.8,68
"66","VES","Platero","Bolitoglossa lozanoi",FALSE,18,6,0.6,NA,NA,98.2,0.8,72
"67","VES","Platero","Pseudis paradoxa",FALSE,19,5,0.5,NA,NA,98.7,0.7,76
"68","VES","Platero","Elachistocleis pearsei",FALSE,20,4,0.4,NA,NA,99.1,0.6,80
"69","VES","Platero","Pleurodema brachyops",FALSE,21,4,0.4,NA,NA,99.5,0.6,84
"70","VES","Platero","Leptodactylus colombiensis",FALSE,22,2,0.2,NA,NA,99.7,0.3,88
"71","VES","Platero","Rhinella margaritifera",FALSE,23,1,0.1,NA,NA,99.8,0,92
"72","VES","Platero","Trachycephalus typhonius",FALSE,24,1,0.1,NA,NA,99.9,0,96
"73","VES","Platero","Boana platanera",FALSE,25,1,0.1,NA,NA,100,0,100
