"","Bosque Ripario","Herbazal","Bosque Denso","Pastos","Ciénaga","Vías","Bosque Abierto"
"Lithobates vaillanti",105,1,1,0,0,1,0
"Dendrobates truncatus",265,0,19,0,0,0,0
"Engystomops pustulosus",434,35,25,0,0,23,14
"Boana pugnax",55,68,2,6,6,6,28
"Scinax ruber",33,52,5,0,15,36,20
"Craugastor metriosistus",216,3,7,0,0,3,1
"Scinax rostratus",85,14,2,0,2,1,7
"Dendropsophus microcephalus",21,161,0,3,181,56,25
"Phyllomedusa venusta",12,0,5,0,0,1,0
"Leptodactylus insularum",38,18,0,1,1,1,0
"Bolitoglossa lozanoi",33,3,1,0,0,0,0
"Leptodactylus fragilis",7,51,0,6,2,5,1
"Rhinella horribilis",33,0,1,0,3,10,0
"Smilisca phaeota",5,0,16,0,0,0,0
"Pristimantis gaigei",11,0,18,0,0,0,0
"Rhinella humboldti",0,9,0,6,1,1,0
"Scarthyla vigilans",2,167,0,0,258,0,1
"Leptodactylus fuscus",13,52,0,2,5,4,1
"Leptodactylus savagei",33,0,0,0,0,0,0
"Diasporus anthrax",0,0,2,0,0,0,0
"Pleurodema brachyops",2,2,0,3,0,1,0
"Elachistocleis pearsei",10,4,0,0,0,1,1
"Pseudis paradoxa",0,7,0,0,35,0,0
"Pseudopaludicola pusilla",48,23,0,0,2,2,2
"Hyalinobatrachium tatayoi",1,0,0,0,0,0,0
"Allobates niputidea",3,0,2,0,0,0,0
"Agalychnis terranova",0,0,1,0,0,0,0
"Boana platanera",1,0,0,0,0,0,0
"Trachycephalus typhonius",0,0,0,0,0,1,1
"Elachistocleis panamensis",0,4,0,0,0,0,2
"Rhinella margaritifera",1,0,0,0,0,0,0
"Leptodactylus colombiensis",2,0,0,0,0,0,0
