"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","Bosque Ripario","Species richness",22,34.475,17.106,23.662,115.654,508,22,0.9902
"2","Bosque Ripario","Shannon diversity",9.351,9.656,0.515,9.351,10.666,508,22,0.9902
"3","Bosque Ripario","Simpson diversity",6.321,6.388,0.346,6.321,7.067,508,22,0.9902
"4","Herbazal","Species richness",17,20.986,5.275,17.555,45.63,292,17,0.9863
"5","Herbazal","Shannon diversity",7.639,7.929,0.508,7.639,8.925,292,17,0.9863
"6","Herbazal","Simpson diversity",5.291,5.37,0.408,5.291,6.171,292,17,0.9863
"7","Bosque Denso","Species richness",13,17.091,4.802,13.66,38.352,55,13,0.9111
"8","Bosque Denso","Shannon diversity",8.017,9.473,1.422,8.017,12.26,55,13,0.9111
"9","Bosque Denso","Simpson diversity",5.966,6.571,1.061,5.966,8.65,55,13,0.9111
"10","Pastos","Species richness",6,6.947,2.114,6.069,19.027,19,6,0.9053
"11","Pastos","Shannon diversity",4.994,5.983,0.925,4.994,7.795,19,6,0.9053
"12","Pastos","Simpson diversity",4.457,5.516,1.03,4.457,7.536,19,6,0.9053
"13","Ciénaga","Species richness",11,15.488,7.176,11.494,51.817,388,11,0.9923
"14","Ciénaga","Shannon diversity",3.093,3.155,0.182,3.093,3.512,388,11,0.9923
"15","Ciénaga","Simpson diversity",2.392,2.4,0.095,2.392,2.587,388,11,0.9923
"16","Vías","Species richness",8,8.245,0.717,8.013,12.663,49,8,0.9812
"17","Vías","Shannon diversity",5.185,5.619,0.837,5.185,7.26,49,8,0.9812
"18","Vías","Simpson diversity",3.995,4.261,0.628,3.995,5.491,49,8,0.9812
"19","Bosque Abierto","Species richness",10,12.175,3.294,10.256,28.481,30,10,0.9044
"20","Bosque Abierto","Shannon diversity",8.016,9.906,1.422,8.016,12.694,30,10,0.9044
"21","Bosque Abierto","Simpson diversity",6.716,8.365,1.664,6.716,11.627,30,10,0.9044
