"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Bosque Abierto","Species richness",3,3,0,NA,NA,1,3,3,1,3,0,0,0,0,0,0,0,0,0
"2","Bosque Abierto","Shannon diversity",3,0,0,3,0,1,3,3,1,3,0,0,0,0,0,0,0,0,0
"3","Bosque Abierto","Simpson diversity",3,3,0,3,3,1,3,3,1,3,0,0,0,0,0,0,0,0,0
"4","Bosque Denso","Species richness",11,32.333,26.533,14.207,152.93,3,16,11,0.5556,8,1,2,0,0,0,0,0,0,0
"5","Bosque Denso","Shannon diversity",9.718,21.422,7.199,9.718,35.531,3,16,11,0.5556,8,1,2,0,0,0,0,0,0,0
"6","Bosque Denso","Simpson diversity",8.533,11.762,3.299,8.533,18.228,3,16,11,0.5556,8,1,2,0,0,0,0,0,0,0
"7","Bosque Ripario","Species richness",10,12,2.708,10.271,24.781,4,21,10,0.873,4,3,1,2,0,0,0,0,0,0
"8","Bosque Ripario","Shannon diversity",8.683,10.638,1.661,8.683,13.895,4,21,10,0.873,4,3,1,2,0,0,0,0,0,0
"9","Bosque Ripario","Simpson diversity",7.737,9,1.095,7.737,11.146,4,21,10,0.873,4,3,1,2,0,0,0,0,0,0
"10","Herbazal","Species richness",22,30.609,9.75,23.451,73.083,23,148,22,0.9607,6,2,2,2,0,0,1,2,1,1
"11","Herbazal","Shannon diversity",14.861,16.23,1.154,14.861,18.491,23,148,22,0.9607,6,2,2,2,0,0,1,2,1,1
"12","Herbazal","Simpson diversity",12.251,12.733,0.752,12.251,14.206,23,148,22,0.9607,6,2,2,2,0,0,1,2,1,1
"13","Palma","Species richness",8,10.083,2.646,8.305,22.224,2,11,8,0.7934,5,3,0,0,0,0,0,0,0,0
"14","Palma","Shannon diversity",7.537,10.083,1.491,7.537,13.005,2,11,8,0.7934,5,3,0,0,0,0,0,0,0,0
"15","Palma","Simpson diversity",7.118,9.667,1.563,7.118,12.73,2,11,8,0.7934,5,3,0,0,0,0,0,0,0,0
"16","Pastos","Species richness",11,14.062,3.281,11.552,27.996,2,15,11,0.7822,7,4,0,0,0,0,0,0,0,0
"17","Pastos","Shannon diversity",10.364,14.062,2.152,10.364,18.28,2,15,11,0.7822,7,4,0,0,0,0,0,0,0,0
"18","Pastos","Simpson diversity",9.783,13.625,2.179,9.783,17.896,2,15,11,0.7822,7,4,0,0,0,0,0,0,0,0
"19","Rios","Species richness",16,26.938,9.418,18.541,63.085,8,28,16,0.6795,10,4,0,1,0,1,0,0,0,0
"20","Rios","Shannon diversity",12.835,20.904,4.851,12.835,30.413,8,28,16,0.6795,10,4,0,1,0,1,0,0,0,0
"21","Rios","Simpson diversity",10.051,13.355,3.18,10.051,19.587,8,28,16,0.6795,10,4,0,1,0,1,0,0,0,0
"22","Vias","Species richness",14,19.333,5.164,15.083,40.257,3,22,14,0.7576,8,4,2,0,0,0,0,0,0,0
"23","Vias","Shannon diversity",12.672,18.017,3.709,12.672,25.286,3,22,14,0.7576,8,4,2,0,0,0,0,0,0,0
"24","Vias","Simpson diversity",11.524,15.733,2.153,11.524,19.952,3,22,14,0.7576,8,4,2,0,0,0,0,0,0,0
"25","Zonas Pantanosas","Species richness",12,21.8,10.616,13.743,67.108,5,21,12,0.7083,7,2,2,1,0,0,0,0,0,0
"26","Zonas Pantanosas","Shannon diversity",10.325,16.561,4.097,10.325,24.592,5,21,12,0.7083,7,2,2,1,0,0,0,0,0,0
"27","Zonas Pantanosas","Simpson diversity",9,12.2,2.918,9,17.919,5,21,12,0.7083,7,2,2,1,0,0,0,0,0,0
