"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","Bosque Ripario","Species richness",22,36.97,13.676,25.252,90.91,504,22,0.9881
"2","Bosque Ripario","Shannon diversity",9.579,9.915,0.527,9.579,10.948,504,22,0.9881
"3","Bosque Ripario","Simpson diversity",6.389,6.459,0.377,6.389,7.197,504,22,0.9881
"4","Bosque Abierto","Species richness",11,23.26,16.817,12.632,103.078,52,11,0.9046
"5","Bosque Abierto","Shannon diversity",6.977,8.568,1.63,6.977,11.762,52,11,0.9046
"6","Bosque Abierto","Simpson diversity",5.408,5.92,0.956,5.408,7.793,52,11,0.9046
"7","Pastos","Species richness",14,15.96,2.6,14.272,28.124,50,14,0.9231
"8","Pastos","Shannon diversity",10.484,12.424,1.439,10.484,15.246,50,14,0.9231
"9","Pastos","Simpson diversity",8.621,10.208,1.469,8.621,13.088,50,14,0.9231
"10","Palma","Species richness",16,28.072,12.97,18.168,83.218,69,16,0.8994
"11","Palma","Shannon diversity",9.894,12.145,1.94,9.894,15.947,69,16,0.8994
"12","Palma","Simpson diversity",7.336,8.09,1.277,7.336,10.593,69,16,0.8994
"13","Vias","Species richness",12,15.932,5.208,12.547,40.276,59,12,0.9334
"14","Vias","Shannon diversity",7.596,8.75,1.192,7.596,11.087,59,12,0.9334
"15","Vias","Simpson diversity",5.89,6.432,0.899,5.89,8.193,59,12,0.9334
"16","Zonas Pantanosas","Species richness",11,15.485,7.17,11.493,51.786,294,11,0.9898
"17","Zonas Pantanosas","Shannon diversity",3.42,3.511,0.226,3.42,3.953,294,11,0.9898
"18","Zonas Pantanosas","Simpson diversity",2.593,2.607,0.12,2.593,2.842,294,11,0.9898
"19","Herbazal","Species richness",10,10.996,2.258,10.071,23.959,232,10,0.9915
"20","Herbazal","Shannon diversity",4.362,4.466,0.278,4.362,5.011,232,10,0.9915
"21","Herbazal","Simpson diversity",2.996,3.022,0.257,2.996,3.525,232,10,0.9915
"22","Rios","Species richness",3,3,0.479,3,4.49,48,3,1
"23","Rios","Shannon diversity",2.169,2.219,0.156,2.169,2.524,48,3,1
"24","Rios","Simpson diversity",2.061,2.108,0.12,2.061,2.344,48,3,1
"25","Bosque Denso","Species richness",8,12.364,6.985,8.479,47.745,33,8,0.9109
"26","Bosque Denso","Shannon diversity",5.697,6.859,1.223,5.697,9.257,33,8,0.9109
"27","Bosque Denso","Simpson diversity",4.755,5.388,0.928,4.755,7.206,33,8,0.9109
