"","Bosque Ripario","Herbazal","Bosque Denso","Pastos","Ciénaga","Vías","Bosque Abierto"
"Lithobates vaillanti",30,1,1,0,0,1,0
"Dendrobates truncatus",68,0,10,0,0,0,0
"Engystomops pustulosus",107,26,16,0,0,18,4
"Boana pugnax",12,28,1,3,4,5,3
"Scinax ruber",6,7,1,0,15,3,8
"Craugastor metriosistus",145,1,3,0,0,3,0
"Scinax rostratus",30,9,1,0,0,0,3
"Dendropsophus microcephalus",9,60,0,3,139,15,5
"Phyllomedusa venusta",6,0,2,0,0,0,0
"Leptodactylus insularum",10,3,0,1,1,0,0
"Bolitoglossa lozanoi",25,1,0,0,0,0,0
"Leptodactylus fragilis",4,18,0,6,1,2,0
"Rhinella horribilis",19,0,0,0,3,0,0
"Smilisca phaeota",3,0,5,0,0,0,0
"Pristimantis gaigei",5,0,10,0,0,0,0
"Rhinella humboldti",0,5,0,5,1,0,0
"Scarthyla vigilans",1,100,0,0,208,0,0
"Leptodactylus fuscus",1,23,0,0,5,0,1
"Leptodactylus savagei",22,0,0,0,0,0,0
"Diasporus anthrax",0,0,2,0,0,0,0
"Pleurodema brachyops",2,1,0,1,0,0,0
"Elachistocleis pearsei",1,2,0,0,0,0,1
"Pseudis paradoxa",0,5,0,0,9,0,0
"Pseudopaludicola pusilla",0,2,0,0,2,2,2
"Hyalinobatrachium tatayoi",1,0,0,0,0,0,0
"Allobates niputidea",0,0,2,0,0,0,0
"Agalychnis terranova",0,0,1,0,0,0,0
"Boana platanera",1,0,0,0,0,0,0
"Trachycephalus typhonius",0,0,0,0,0,0,1
"Elachistocleis panamensis",0,0,0,0,0,0,2
