"","Kale","Platero","Caracterizacion"
"Lithobates vaillanti",16,13,4
"Dendrobates truncatus",27,20,31
"Engystomops pustulosus",74,67,30
"Boana pugnax",40,13,3
"Scinax ruber",31,8,1
"Craugastor metriosistus",45,47,60
"Scinax rostratus",26,8,9
"Dendropsophus microcephalus",135,90,6
"Phyllomedusa venusta",2,4,2
"Leptodactylus insularum",6,9,0
"Bolitoglossa lozanoi",21,3,2
"Leptodactylus fragilis",19,11,1
"Rhinella horribilis",7,4,11
"Smilisca phaeota",2,0,6
"Pristimantis gaigei",3,0,12
"Rhinella humboldti",5,6,0
"Scarthyla vigilans",150,159,0
"Leptodactylus fuscus",24,6,0
"Leptodactylus savagei",4,14,4
"Diasporus anthrax",0,0,2
"Pleurodema brachyops",3,1,0
"Elachistocleis pearsei",4,0,0
"Pseudis paradoxa",10,4,0
"Pseudopaludicola pusilla",6,0,2
"Hyalinobatrachium tatayoi",1,0,0
"Allobates niputidea",0,0,2
"Agalychnis terranova",0,0,1
"Boana platanera",0,1,0
"Trachycephalus typhonius",1,0,0
"Elachistocleis panamensis",2,0,0
