"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Bosque Abierto","Species richness",8,8,0,NA,NA,1,8,8,1,8,0,0,0,0,0,0,0,0,0
"2","Bosque Abierto","Shannon diversity",8,0,0,8,0,1,8,8,1,8,0,0,0,0,0,0,0,0,0
"3","Bosque Abierto","Simpson diversity",8,8,0,8,8,1,8,8,1,8,0,0,0,0,0,0,0,0,0
"4","Bosque Denso","Species richness",11,11,0,NA,NA,1,11,11,1,11,0,0,0,0,0,0,0,0,0
"5","Bosque Denso","Shannon diversity",11,0,0,11,0,1,11,11,1,11,0,0,0,0,0,0,0,0,0
"6","Bosque Denso","Simpson diversity",11,11,0,11,11,1,11,11,1,11,0,0,0,0,0,0,0,0,0
"7","Bosque Ripario","Species richness",24,41.182,22.566,26.415,146.264,22,180,24,0.9672,6,1,1,0,3,1,2,2,1,1
"8","Bosque Ripario","Shannon diversity",17.282,18.825,1.214,17.282,21.205,22,180,24,0.9672,6,1,1,0,3,1,2,2,1,1
"9","Bosque Ripario","Simpson diversity",14.608,15.136,0.734,14.608,16.576,22,180,24,0.9672,6,1,1,0,3,1,2,2,1,1
"10","Ciénaga","Species richness",6,6.444,0.951,6.034,11.809,3,11,6,0.9273,2,3,1,0,0,0,0,0,0,0
"11","Ciénaga","Shannon diversity",5.586,6.552,1.359,5.586,9.216,3,11,6,0.9273,2,3,1,0,0,0,0,0,0,0
"12","Ciénaga","Simpson diversity",5.261,6.444,1.134,5.261,8.667,3,11,6,0.9273,2,3,1,0,0,0,0,0,0,0
"13","Herbazal","Species richness",17,20.2,4.308,17.436,40.482,5,53,17,0.9396,4,2,4,2,5,0,0,0,0,0
"14","Herbazal","Shannon diversity",14.892,16.602,1.449,14.892,19.442,5,53,17,0.9396,4,2,4,2,5,0,0,0,0,0
"15","Herbazal","Simpson diversity",13.702,14.705,1.011,13.702,16.687,5,53,17,0.9396,4,2,4,2,5,0,0,0,0,0
"16","Pastos","Species richness",4,4,0,NA,NA,1,4,4,1,4,0,0,0,0,0,0,0,0,0
"17","Pastos","Shannon diversity",4,0,0,4,0,1,4,4,1,4,0,0,0,0,0,0,0,0,0
"18","Pastos","Simpson diversity",4,4,0,4,4,1,4,4,1,4,0,0,0,0,0,0,0,0,0
"19","Vías","Species richness",14,18.8,4.575,14.993,37.201,4,21,14,0.7311,8,5,1,0,0,0,0,0,0,0
"20","Vías","Shannon diversity",12.904,19.399,4.839,12.904,28.883,4,21,14,0.7311,8,5,1,0,0,0,0,0,0,0
"21","Vías","Simpson diversity",11.919,19.937,3.623,12.836,27.039,4,21,14,0.7311,8,5,1,0,0,0,0,0,0,0
