"","evenPer","order","observado","estimado","s.e.","LCL","UCL","parentEventID","grp","cmb_smpEf"
"1","ANH_100_N","Species richness",4,5.714,3.245,4.153,23.247,"ANH_100","VES",0.211136890951276
"2","ANH_100_N","Shannon diversity",3.586,5.357,2.254,3.586,9.776,"ANH_100","VES",0.211136890951276
"3","ANH_100_N","Simpson diversity",3.267,5.25,2.227,3.267,9.614,"ANH_100","VES",0.211136890951276
"4","ANH_109_D","Species richness",1,1,0.284,1,1.799,"ANH_109","VES",0.464037122969838
"5","ANH_109_D","Shannon diversity",1,1,0,1,1,"ANH_109","VES",0.464037122969838
"6","ANH_109_D","Simpson diversity",1,1,0,1,1,"ANH_109","VES",0.464037122969838
"7","ANH_109_N","Species richness",11,23.326,16.906,12.641,103.566,"ANH_109","VES",0.464037122969838
"8","ANH_109_N","Shannon diversity",3.41,3.959,0.848,3.41,5.621,"ANH_109","VES",0.464037122969838
"9","ANH_109_N","Simpson diversity",1.949,1.975,0.303,1.949,2.57,"ANH_109","VES",0.464037122969838
"10","ANH_117_D","Species richness",2,2.333,0.943,2.018,8.09,"ANH_117","VES",0.612529002320186
"11","ANH_117_D","Shannon diversity",1.89,2.52,1.701,1.89,5.854,"ANH_117","VES",0.612529002320186
"12","ANH_117_D","Simpson diversity",1.8,1.8,0.765,1.8,3.298,"ANH_117","VES",0.612529002320186
"13","ANH_117_N","Species richness",5,5.938,1.771,5.084,15.495,"ANH_117","VES",0.612529002320186
"14","ANH_117_N","Shannon diversity",3.191,3.832,0.978,3.191,5.749,"ANH_117","VES",0.612529002320186
"15","ANH_117_N","Simpson diversity",2.327,2.553,0.903,2.327,4.323,"ANH_117","VES",0.612529002320186
"16","ANH_133_N","Species richness",11,11.165,0.531,11.008,14.503,"ANH_133","VES",0.675174013921114
"17","ANH_133_N","Shannon diversity",6.213,6.657,0.713,6.213,8.055,"ANH_133","VES",0.675174013921114
"18","ANH_133_N","Simpson diversity",4.38,4.578,0.651,4.38,5.854,"ANH_133","VES",0.675174013921114
"19","ANH_135_N","Species richness",5,5.464,1.242,5.027,12.941,"ANH_135","VES",0.503480278422274
"20","ANH_135_N","Shannon diversity",4.457,5.339,1.051,4.457,7.399,"ANH_135","VES",0.503480278422274
"21","ANH_135_N","Simpson diversity",4.083,5.353,1.191,4.083,7.687,"ANH_135","VES",0.503480278422274
"22","ANH_136_N","Species richness",5,5.233,0.692,5.012,9.503,"ANH_136","VES",0.5707656612529
"23","ANH_136_N","Shannon diversity",4.037,4.733,1.167,4.037,7.021,"ANH_136","VES",0.5707656612529
"24","ANH_136_N","Simpson diversity",3.358,4.038,1.108,3.358,6.211,"ANH_136","VES",0.5707656612529
"25","ANH_141_D","Species richness",1,1,0.03,1,1.06,"ANH_141","VES",0.473317865429234
