"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","Dis_Cienag","Dis_MGSG","Dis_Dre345","DisBosque","Dis_CobNat","Tam_Parche","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_ViaPri","Dia_ViaSec","Plataf","CobHerp","samplEff.1"
"1","ANH_159","Species richness",9,11.946,4.404,9.352,33.633,7139.43499503,4780.32847124,4439.07557358,0,0,28.1785589872,5084.54673962,1677.42620018,3126.67797944,5536.96505486,4385.12877234,1781.68861093,3827.73583254,"Platero","Bosque Ripario",1
"2","ANH_159","Shannon diversity",5.437,6.062,0.713,5.437,7.459,7139.43499503,4780.32847124,4439.07557358,0,0,28.1785589872,5084.54673962,1677.42620018,3126.67797944,5536.96505486,4385.12877234,1781.68861093,3827.73583254,"Platero","Bosque Ripario",1
"3","ANH_159","Simpson diversity",4.031,4.266,0.674,4.031,5.586,7139.43499503,4780.32847124,4439.07557358,0,0,28.1785589872,5084.54673962,1677.42620018,3126.67797944,5536.96505486,4385.12877234,1781.68861093,3827.73583254,"Platero","Bosque Ripario",1
"4","ANH_160","Species richness",7,16.286,9.398,8.791,55.153,7886.73010475,2963.75823468,6288.88582141,0,0,86.2216461436,3759.70213658,439.355501052,3302.11999663,3759.93448975,3971.89330336,1422.38669404,3385.03586655,"Platero","Bosque Ripario",0.54292343387471
"5","ANH_160","Shannon diversity",5.302,9.319,3.439,5.302,16.059,7886.73010475,2963.75823468,6288.88582141,0,0,86.2216461436,3759.70213658,439.355501052,3302.11999663,3759.93448975,3971.89330336,1422.38669404,3385.03586655,"Platero","Bosque Ripario",0.54292343387471
"6","ANH_160","Simpson diversity",4.261,5.687,2.184,4.261,9.968,7886.73010475,2963.75823468,6288.88582141,0,0,86.2216461436,3759.70213658,439.355501052,3302.11999663,3759.93448975,3971.89330336,1422.38669404,3385.03586655,"Platero","Bosque Ripario",0.54292343387471
"7","ANH_360","Species richness",11,23.083,16.58,12.608,101.789,13163.8125228,7045.22132278,3365.54496082,0,0,740.917316393,2453.76742999,708.127754277,3263.06471993,5171.69875723,1638.08036151,1051.59371216,5172.32192669,"Caracterizacion","Bosque Denso",0.733178654292343
"8","ANH_360","Shannon diversity",8.612,12.301,3.287,8.612,18.744,13163.8125228,7045.22132278,3365.54496082,0,0,740.917316393,2453.76742999,708.127754277,3263.06471993,5171.69875723,1638.08036151,1051.59371216,5172.32192669,"Caracterizacion","Bosque Denso",0.733178654292343
"9","ANH_360","Simpson diversity",7.258,9.255,2.03,7.258,13.233,13163.8125228,7045.22132278,3365.54496082,0,0,740.917316393,2453.76742999,708.127754277,3263.06471993,5171.69875723,1638.08036151,1051.59371216,5172.32192669,"Caracterizacion","Bosque Denso",0.733178654292343
"10","ANH_375","Species richness",6,6.477,1.271,6.028,14.123,17883.5736416,7201.83681167,3386.20872067,0,0,NA,2210.66594352,436.444699858,3534.62923512,5395.98138136,1410.40625581,1047.41517925,5372.40507078,"Kale","Bosque Denso",0.617169373549884
"11","ANH_375","Shannon diversity",4.985,5.726,1.047,4.985,7.779,17883.5736416,7201.83681167,3386.20872067,0,0,NA,2210.66594352,436.444699858,3534.62923512,5395.98138136,1410.40625581,1047.41517925,5372.40507078,"Kale","Bosque Denso",0.617169373549884
"12","ANH_375","Simpson diversity",4.321,5.133,1.076,4.321,7.243,17883.5736416,7201.83681167,3386.20872067,0,0,NA,2210.66594352,436.444699858,3534.62923512,5395.98138136,1410.40625581,1047.41517925,5372.40507078,"Kale","Bosque Denso",0.617169373549884
"13","ANH_151","Species richness",12,24.374,16.97,13.648,104.912,5875.72411933,11283.8654382,1497.09942206,0,0,19.3209091367,4764.74298494,3202.50471721,6433.87575454,7203.1880734,2064.80130495,4598.61976442,3324.20963395,"Kale","Bosque Ripario",0.756380510440835
"14","ANH_151","Shannon diversity",4.207,4.712,0.747,4.207,6.177,5875.72411933,11283.8654382,1497.09942206,0,0,19.3209091367,4764.74298494,3202.50471721,6433.87575454,7203.1880734,2064.80130495,4598.61976442,3324.20963395,"Kale","Bosque Ripario",0.756380510440835
"15","ANH_151","Simpson diversity",2.462,2.499,0.332,2.462,3.149,5875.72411933,11283.8654382,1497.09942206,0,0,19.3209091367,4764.74298494,3202.50471721,6433.87575454,7203.1880734,2064.80130495,4598.61976442,3324.20963395,"Kale","Bosque Ripario",0.756380510440835
"16","ANH_152","Species richness",11,12.465,2.246,11.17,23.639,8099.82572711,11103.7935057,1023.83415812,0,0,183.668761621,2550.16262916,104.011820653,3098.2126889,10541.1655143,1827.82908326,2451.79776636,7111.53314084,"Caracterizacion","Bosque Ripario",0.777262180974478
"17","ANH_152","Shannon diversity",8.092,9.411,1.095,8.092,11.557,8099.82572711,11103.7935057,1023.83415812,0,0,183.668761621,2550.16262916,104.011820653,3098.2126889,10541.1655143,1827.82908326,2451.79776636,7111.53314084,"Caracterizacion","Bosque Ripario",0.777262180974478
"18","ANH_152","Simpson diversity",6.627,7.653,1.201,6.627,10.006,8099.82572711,11103.7935057,1023.83415812,0,0,183.668761621,2550.16262916,104.011820653,3098.2126889,10541.1655143,1827.82908326,2451.79776636,7111.53314084,"Caracterizacion","Bosque Ripario",0.777262180974478
"19","ANH_153","Species richness",7,9.109,3.204,7.247,24.993,4363.80019145,5496.46773748,3575.96798577,46.8714915381,46.8714915381,419.562189,0,1550.53471658,1721.79748305,1721.79748305,6103.76231745,5342.96323236,1934.00784961,"Kale","Bosque Ripario",0.54292343387471
"20","ANH_153","Shannon diversity",5.753,7.746,1.77,5.753,11.214,4363.80019145,5496.46773748,3575.96798577,46.8714915381,46.8714915381,419.562189,0,1550.53471658,1721.79748305,1721.79748305,6103.76231745,5342.96323236,1934.00784961,"Kale","Bosque Ripario",0.54292343387471
"21","ANH_153","Simpson diversity",4.923,6.667,1.618,4.923,9.838,4363.80019145,5496.46773748,3575.96798577,46.8714915381,46.8714915381,419.562189,0,1550.53471658,1721.79748305,1721.79748305,6103.76231745,5342.96323236,1934.00784961,"Kale","Bosque Ripario",0.54292343387471
"22","ANH_154","Species richness",9,9.993,1.86,9.09,20.003,7071.85971298,13362.502474,2331.10109642,0,0,662.460780049,5497.72024775,782.098257309,2567.97564805,11701.2498875,2553.46731253,5777.45127819,6917.56778495,"Caracterizacion","Bosque Ripario",0.712296983758701
"23","ANH_154","Shannon diversity",2.202,2.278,0.228,2.202,2.726,7071.85971298,13362.502474,2331.10109642,0,0,662.460780049,5497.72024775,782.098257309,2567.97564805,11701.2498875,2553.46731253,5777.45127819,6917.56778495,"Caracterizacion","Bosque Ripario",0.712296983758701
"24","ANH_154","Simpson diversity",1.478,1.483,0.108,1.478,1.694,7071.85971298,13362.502474,2331.10109642,0,0,662.460780049,5497.72024775,782.098257309,2567.97564805,11701.2498875,2553.46731253,5777.45127819,6917.56778495,"Caracterizacion","Bosque Ripario",0.712296983758701
"25","ANH_182","Species richness",7,7.95,1.791,7.085,17.609,3692.0021985,4128.1729872,6691.78251201,0,0,2.4041208229,3402.81217061,4565.04417514,1292.38639475,3339.84980014,8185.34131877,4080.8587808,852.647399101,"Platero","Bosque Ripario",0.591647331786543
