"","samplingProtocol","Grouping","species","labelit","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"1","VES","Bosque Abierto_ANH_169_N","Boana pugnax",TRUE,1,25,33.8,NA,NA,33.8,1.4,12.5
"2","VES","Bosque Abierto_ANH_169_N","Dendropsophus microcephalus",TRUE,2,20,27,NA,NA,60.8,1.3,25
"3","VES","Bosque Abierto_ANH_169_N","Scinax ruber",TRUE,3,12,16.2,NA,NA,77,1.1,37.5
"4","VES","Bosque Abierto_ANH_169_N","Engystomops pustulosus",FALSE,4,10,13.5,NA,NA,90.5,1,50
"5","VES","Bosque Abierto_ANH_169_N","Scinax rostratus",FALSE,5,4,5.4,NA,NA,95.9,0.6,62.5
"6","VES","Bosque Abierto_ANH_169_N","Leptodactylus fragilis",FALSE,6,1,1.4,NA,NA,97.3,0,75
"7","VES","Bosque Abierto_ANH_169_N","Craugastor metriosistus",FALSE,7,1,1.4,NA,NA,98.6,0,87.5
"8","VES","Bosque Abierto_ANH_169_N","Scarthyla vigilans",FALSE,8,1,1.4,NA,NA,100,0,100
"9","VES","Bosque Denso_ANH_360_D","Engystomops pustulosus",TRUE,1,1,50,NA,NA,50,0,50
"10","VES","Bosque Denso_ANH_360_D","Scinax rostratus",TRUE,2,1,50,NA,NA,100,0,100
"11","VES","Bosque Denso_ANH_360_N","Engystomops pustulosus",TRUE,1,6,21.4,NA,NA,21.4,0.8,10
"12","VES","Bosque Denso_ANH_360_N","Pristimantis gaigei",TRUE,2,5,17.9,NA,NA,39.3,0.7,20
"13","VES","Bosque Denso_ANH_360_N","Dendrobates truncatus",TRUE,3,4,14.3,NA,NA,53.6,0.6,30
"14","VES","Bosque Denso_ANH_360_N","Scinax ruber",FALSE,4,4,14.3,NA,NA,67.9,0.6,40
"15","VES","Bosque Denso_ANH_360_N","Smilisca phaeota",FALSE,5,3,10.7,NA,NA,78.6,0.5,50
"16","VES","Bosque Denso_ANH_360_N","Phyllomedusa venusta",FALSE,6,2,7.1,NA,NA,85.7,0.3,60
"17","VES","Bosque Denso_ANH_360_N","Rhinella horribilis",FALSE,7,1,3.6,NA,NA,89.3,0,70
"18","VES","Bosque Denso_ANH_360_N","Bolitoglossa lozanoi",FALSE,8,1,3.6,NA,NA,92.9,0,80
"19","VES","Bosque Denso_ANH_360_N","Craugastor metriosistus",FALSE,9,1,3.6,NA,NA,96.4,0,90
"20","VES","Bosque Denso_ANH_360_N","Boana pugnax",FALSE,10,1,3.6,NA,NA,100,0,100
"21","VES","Bosque Denso_ANH_375_D","Engystomops pustulosus",TRUE,1,1,100,NA,NA,100,0,100
"22","VES","Bosque Denso_ANH_375_N","Smilisca phaeota",TRUE,1,8,38.1,NA,NA,38.1,0.9,16.7
"23","VES","Bosque Denso_ANH_375_N","Dendrobates truncatus",TRUE,2,5,23.8,NA,NA,61.9,0.7,33.3
"24","VES","Bosque Denso_ANH_375_N","Craugastor metriosistus",TRUE,3,3,14.3,NA,NA,76.2,0.5,50
"25","VES","Bosque Denso_ANH_375_N","Pristimantis gaigei",FALSE,4,3,14.3,NA,NA,90.5,0.5,66.7
"26","VES","Bosque Denso_ANH_375_N","Engystomops pustulosus",FALSE,5,1,4.8,NA,NA,95.2,0,83.3
"27","VES","Bosque Denso_ANH_375_N","Phyllomedusa venusta",FALSE,6,1,4.8,NA,NA,100,0,100
"28","VES","Bosque Ripario_ANH_117_D","Dendrobates truncatus",TRUE,1,2,66.7,NA,NA,66.7,0.3,50
"29","VES","Bosque Ripario_ANH_117_D","Engystomops pustulosus",TRUE,2,1,33.3,NA,NA,100,0,100
"30","VES","Bosque Ripario_ANH_117_N","Engystomops pustulosus",TRUE,1,10,62.5,NA,NA,62.5,1,20
"31","VES","Bosque Ripario_ANH_117_N","Pristimantis gaigei",TRUE,2,2,12.5,NA,NA,75,0.3,40
"32","VES","Bosque Ripario_ANH_117_N","Dendrobates truncatus",TRUE,3,2,12.5,NA,NA,87.5,0.3,60
"33","VES","Bosque Ripario_ANH_117_N","Boana pugnax",FALSE,4,1,6.2,NA,NA,93.8,0,80
"34","VES","Bosque Ripario_ANH_117_N","Bolitoglossa lozanoi",FALSE,5,1,6.2,NA,NA,100,0,100
