"","samplingProtocol","Grouping","species","labelit","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"1","VES","Caracterizacion","Dendrobates truncatus",TRUE,1,145,45.9,NA,NA,45.9,2.2,5.6
"2","VES","Caracterizacion","Engystomops pustulosus",TRUE,2,64,20.3,NA,NA,66.1,1.8,11.1
"3","VES","Caracterizacion","Craugastor metriosistus",TRUE,3,28,8.9,NA,NA,75,1.4,16.7
"4","VES","Caracterizacion","Lithobates vaillanti",FALSE,4,12,3.8,NA,NA,78.8,1.1,22.2
"5","VES","Caracterizacion","Scinax rostratus",FALSE,5,12,3.8,NA,NA,82.6,1.1,27.8
"6","VES","Caracterizacion","Boana pugnax",FALSE,6,11,3.5,NA,NA,86.1,1,33.3
"7","VES","Caracterizacion","Pristimantis gaigei",FALSE,7,7,2.2,NA,NA,88.3,0.8,38.9
"8","VES","Caracterizacion","Rhinella horribilis",FALSE,8,6,1.9,NA,NA,90.2,0.8,44.4
"9","VES","Caracterizacion","Scinax ruber",FALSE,9,5,1.6,NA,NA,91.8,0.7,50
"10","VES","Caracterizacion","Phyllomedusa venusta",FALSE,10,4,1.3,NA,NA,93,0.6,55.6
"11","VES","Caracterizacion","Bolitoglossa lozanoi",FALSE,11,4,1.3,NA,NA,94.3,0.6,61.1
"12","VES","Caracterizacion","Smilisca phaeota",FALSE,12,4,1.3,NA,NA,95.6,0.6,66.7
"13","VES","Caracterizacion","Leptodactylus savagei",FALSE,13,3,0.9,NA,NA,96.5,0.5,72.2
"14","VES","Caracterizacion","Leptodactylus fuscus",FALSE,14,3,0.9,NA,NA,97.5,0.5,77.8
"15","VES","Caracterizacion","Pseudopaludicola pusilla",FALSE,15,3,0.9,NA,NA,98.4,0.5,83.3
"16","VES","Caracterizacion","Allobates niputidea",FALSE,16,3,0.9,NA,NA,99.4,0.5,88.9
"17","VES","Caracterizacion","Elachistocleis pearsei",FALSE,17,1,0.3,NA,NA,99.7,0,94.4
"18","VES","Caracterizacion","Leptodactylus insularum",FALSE,18,1,0.3,NA,NA,100,0,100
"19","VES","Kale","Engystomops pustulosus",TRUE,1,210,23.1,NA,NA,23.1,2.3,4.2
"20","VES","Kale","Dendropsophus microcephalus",TRUE,2,144,15.8,NA,NA,38.9,2.2,8.3
"21","VES","Kale","Boana pugnax",TRUE,3,77,8.5,NA,NA,47.3,1.9,12.5
"22","VES","Kale","Scinax ruber",FALSE,4,74,8.1,NA,NA,55.4,1.9,16.7
"23","VES","Kale","Scarthyla vigilans",FALSE,5,72,7.9,NA,NA,63.3,1.9,20.8
"24","VES","Kale","Dendrobates truncatus",FALSE,6,44,4.8,NA,NA,68.2,1.6,25
"25","VES","Kale","Leptodactylus fragilis",FALSE,7,37,4.1,NA,NA,72.2,1.6,29.2
"26","VES","Kale","Leptodactylus insularum",FALSE,8,32,3.5,NA,NA,75.7,1.5,33.3
"27","VES","Kale","Leptodactylus fuscus",FALSE,9,32,3.5,NA,NA,79.3,1.5,37.5
"28","VES","Kale","Craugastor metriosistus",FALSE,10,30,3.3,NA,NA,82.5,1.5,41.7
"29","VES","Kale","Scinax rostratus",FALSE,11,29,3.2,NA,NA,85.7,1.5,45.8
"30","VES","Kale","Lithobates vaillanti",FALSE,12,28,3.1,NA,NA,88.8,1.4,50
"31","VES","Kale","Pseudis paradoxa",FALSE,13,27,3,NA,NA,91.8,1.4,54.2
"32","VES","Kale","Pseudopaludicola pusilla",FALSE,14,24,2.6,NA,NA,94.4,1.4,58.3
"33","VES","Kale","Smilisca phaeota",FALSE,15,9,1,NA,NA,95.4,1,62.5
"34","VES","Kale","Pristimantis gaigei",FALSE,16,8,0.9,NA,NA,96.3,0.9,66.7
"35","VES","Kale","Leptodactylus savagei",FALSE,17,7,0.8,NA,NA,97,0.8,70.8
"36","VES","Kale","Elachistocleis pearsei",FALSE,18,7,0.8,NA,NA,97.8,0.8,75
"37","VES","Kale","Bolitoglossa lozanoi",FALSE,19,5,0.5,NA,NA,98.4,0.7,79.2
"38","VES","Kale","Rhinella humboldti",FALSE,20,4,0.4,NA,NA,98.8,0.6,83.3
"39","VES","Kale","Elachistocleis panamensis",FALSE,21,4,0.4,NA,NA,99.2,0.6,87.5
"40","VES","Kale","Phyllomedusa venusta",FALSE,22,3,0.3,NA,NA,99.6,0.5,91.7
"41","VES","Kale","Rhinella horribilis",FALSE,23,3,0.3,NA,NA,99.9,0.5,95.8
"42","VES","Kale","Pleurodema brachyops",FALSE,24,1,0.1,NA,NA,100,0,100
"43","VES","Platero","Engystomops pustulosus",TRUE,1,96,19.2,NA,NA,19.2,2,4.2
"44","VES","Platero","Dendropsophus microcephalus",TRUE,2,72,14.4,NA,NA,33.6,1.9,8.3
"45","VES","Platero","Scarthyla vigilans",TRUE,3,47,9.4,NA,NA,43,1.7,12.5
"46","VES","Platero","Scinax ruber",FALSE,4,42,8.4,NA,NA,51.4,1.6,16.7
"47","VES","Platero","Pseudopaludicola pusilla",FALSE,5,42,8.4,NA,NA,59.8,1.6,20.8
"48","VES","Platero","Lithobates vaillanti",FALSE,6,35,7,NA,NA,66.8,1.5,25
"49","VES","Platero","Boana pugnax",FALSE,7,29,5.8,NA,NA,72.6,1.5,29.2
"50","VES","Platero","Scinax rostratus",FALSE,8,28,5.6,NA,NA,78.2,1.4,33.3
"51","VES","Platero","Dendrobates truncatus",FALSE,9,23,4.6,NA,NA,82.8,1.4,37.5
"52","VES","Platero","Craugastor metriosistus",FALSE,10,20,4,NA,NA,86.8,1.3,41.7
"53","VES","Platero","Rhinella horribilis",FALSE,11,16,3.2,NA,NA,90,1.2,45.8
"54","VES","Platero","Leptodactylus fuscus",FALSE,12,12,2.4,NA,NA,92.4,1.1,50
"55","VES","Platero","Leptodactylus insularum",FALSE,13,11,2.2,NA,NA,94.6,1,54.2
"56","VES","Platero","Elachistocleis pearsei",FALSE,14,4,0.8,NA,NA,95.4,0.6,58.3
"57","VES","Platero","Leptodactylus fragilis",FALSE,15,4,0.8,NA,NA,96.2,0.6,62.5
"58","VES","Platero","Leptodactylus savagei",FALSE,16,3,0.6,NA,NA,96.8,0.5,66.7
"59","VES","Platero","Bolitoglossa lozanoi",FALSE,17,3,0.6,NA,NA,97.4,0.5,70.8
