"","Platero","Caracterizacion","Kale"
"Dendrobates truncatus",23,142,35
"Anura",3,0,0
"Pseudopaludicola pusilla",42,3,24
"Scinax rostratus",25,11,28
"Scinax ruber",42,5,74
"Engystomops pustulosus",96,54,199
"Rhinella horribilis",16,6,3
"Craugastor metriosistus",20,28,25
"Rhinella margaritifera",1,0,0
"Leptodactylus insularum",11,1,32
"Lithobates vaillanti",35,12,28
"Scarthyla vigilans",42,0,72
"Boana pugnax",26,11,73
"Pristimantis gaigei",0,7,4
"Smilisca phaeota",0,4,0
"Bolitoglossa lozanoi",2,3,4
"Phyllomedusa venusta",3,4,2
"Dendropsophus microcephalus",70,1,143
"Leptodactylus fuscus",12,3,32
"Elachistocleis pearsei",4,1,7
"Allobates niputidea",0,3,0
"Leptodactylus savagei",3,3,5
"Leptodactylus colombiensis",2,0,0
"Leptodactylus fragilis",4,0,37
"Pleurodema brachyops",3,0,1
"Rhinella humboldti",2,0,4
"Elachistocleis panamensis",0,0,4
"Pseudis paradoxa",1,0,27
"Trachycephalus typhonius",1,0,0
