"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Bosque Abierto","Species richness",111,127.759,7.593,118.185,150.087,4,267,111,0.9123,36,29,11,35,0,0,0,0,0,0
"2","Bosque Abierto","Shannon diversity",96.931,111.956,3.954,104.205,119.707,4,267,111,0.9123,36,29,11,35,0,0,0,0,0,0
"3","Bosque Abierto","Simpson diversity",87.903,98.166,3.179,91.935,104.398,4,267,111,0.9123,36,29,11,35,0,0,0,0,0,0
"4","Bosque Denso","Species richness",49,101.531,25.82,70.108,179.733,2,57,49,0.4826,41,8,0,0,0,0,0,0,0,0
"5","Bosque Denso","Shannon diversity",46.922,101.531,11.196,79.587,123.475,2,57,49,0.4826,41,8,0,0,0,0,0,0,0,0
"6","Bosque Denso","Simpson diversity",44.507,100.25,9.793,81.055,119.445,2,57,49,0.4826,41,8,0,0,0,0,0,0,0,0
"7","Bosque Ripario","Species richness",146,188.677,17.527,165.685,238.523,31,886,146,0.9541,42,20,18,7,8,7,2,4,3,3
"8","Bosque Ripario","Shannon diversity",90.833,100.466,2.971,94.643,106.289,31,886,146,0.9541,42,20,18,7,8,7,2,4,3,3
"9","Bosque Ripario","Simpson diversity",69.395,72.813,2.185,69.395,77.096,31,886,146,0.9541,42,20,18,7,8,7,2,4,3,3
"10","Ciénaga","Species richness",90,102.023,5.28,95.279,117.382,2,134,90,0.8822,46,44,0,0,0,0,0,0,0,0
"11","Ciénaga","Shannon diversity",84.999,102.023,4.208,93.775,110.27,2,134,90,0.8822,46,44,0,0,0,0,0,0,0,0
"12","Ciénaga","Simpson diversity",80.883,101.761,4.538,92.867,110.655,2,134,90,0.8822,46,44,0,0,0,0,0,0,0,0
"13","Herbazal","Species richness",108,163.126,19.156,136.442,214.845,5,194,108,0.7425,61,27,8,5,7,0,0,0,0,0
"14","Herbazal","Shannon diversity",90.534,133.486,8.005,117.797,149.175,5,194,108,0.7425,61,27,8,5,7,0,0,0,0,0
"15","Herbazal","Simpson diversity",75.879,99.384,5.893,87.834,110.935,5,194,108,0.7425,61,27,8,5,7,0,0,0,0,0
"16","Palma","Species richness",113,148.951,14.671,129.659,190.586,16,399,113,0.9019,42,23,10,7,9,6,2,2,1,3
"17","Palma","Shannon diversity",77.566,92.815,4.096,84.788,100.842,16,399,113,0.9019,42,23,10,7,9,6,2,2,1,3
"18","Palma","Simpson diversity",58.551,64.234,2.888,58.573,69.895,16,399,113,0.9019,42,23,10,7,9,6,2,2,1,3
"19","Pastos","Species richness",76,115.683,15.513,94.95,159.099,3,107,76,0.6709,50,21,5,0,0,0,0,0,0,0
"20","Pastos","Shannon diversity",69.877,112.395,9.413,93.946,130.843,3,107,76,0.6709,50,21,5,0,0,0,0,0,0,0
"21","Pastos","Simpson diversity",63.961,105.352,7.313,91.02,119.684,3,107,76,0.6709,50,21,5,0,0,0,0,0,0,0
