"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","Pastos","Species richness",76,88.435,7.661,80.091,113.799,465,76,0.9614
"2","Pastos","Shannon diversity",46.602,51.706,2.198,47.397,56.014,465,76,0.9614
"3","Pastos","Simpson diversity",33.016,35.464,2.241,33.016,39.855,465,76,0.9614
"4","Bosque Ripario","Species richness",145,181.949,17.836,160.067,235.61,2977,145,0.9896
"5","Bosque Ripario","Shannon diversity",57.499,59.398,1.211,57.499,61.771,2977,145,0.9896
"6","Bosque Ripario","Simpson diversity",36.816,37.265,1.095,36.816,39.41,2977,145,0.9896
"7","Bosque Abierto","Species richness",111,135.492,14.332,119.455,181.945,2888,111,0.9927
"8","Bosque Abierto","Shannon diversity",29.339,30.077,0.876,29.339,31.795,2888,111,0.9927
"9","Bosque Abierto","Simpson diversity",11.385,11.426,0.512,11.385,12.43,2888,111,0.9927
"10","Bosque Denso","Species richness",48,73.642,16.062,56.303,127.191,179,48,0.8943
"11","Bosque Denso","Shannon diversity",28.87,35.99,3.667,28.87,43.177,179,48,0.8943
"12","Bosque Denso","Simpson diversity",17.499,19.287,2.704,17.499,24.587,179,48,0.8943
"13","Palma","Species richness",111,135.031,13.303,119.724,177.2,1692,111,0.9864
"14","Palma","Shannon diversity",37.402,39.035,1.193,37.402,41.373,1692,111,0.9864
"15","Palma","Simpson diversity",18.387,18.578,0.905,18.387,20.351,1692,111,0.9864
"16","Herbazal","Species richness",108,151.635,21.504,125.496,216.825,933,108,0.9668
"17","Herbazal","Shannon diversity",50.595,55.143,2.346,50.595,59.74,933,108,0.9668
"18","Herbazal","Simpson diversity",30.385,31.374,1.639,30.385,34.586,933,108,0.9668
