"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Bosque Abierto","Species richness",85,85,0,NA,NA,1,85,85,1,85,0,0,0,0,0,0,0,0,0
"2","Bosque Abierto","Shannon diversity",85,0,0,85,0,1,85,85,1,85,0,0,0,0,0,0,0,0,0
"3","Bosque Abierto","Simpson diversity",85,85,0,85,85,1,85,85,1,85,0,0,0,0,0,0,0,0,0
"4","Bosque Denso","Species richness",66,95.066,12.059,79.309,129.477,2,85,66,0.6943,47,19,0,0,0,0,0,0,0,0
"5","Bosque Denso","Shannon diversity",62.351,95.066,6.043,83.221,106.91,2,85,66,0.6943,47,19,0,0,0,0,0,0,0,0
"6","Bosque Denso","Simpson diversity",58.74,94.447,6.374,81.954,106.94,2,85,66,0.6943,47,19,0,0,0,0,0,0,0,0
"7","Bosque Ripario","Species richness",89,124.217,14.12,105.524,164.06,5,170,89,0.7892,45,23,12,2,7,0,0,0,0,0
"8","Bosque Ripario","Shannon diversity",75.114,103.95,6.296,91.61,116.29,5,170,89,0.7892,45,23,12,2,7,0,0,0,0,0
"9","Bosque Ripario","Simpson diversity",63.938,81.704,4.774,72.347,91.06,5,170,89,0.7892,45,23,12,2,7,0,0,0,0,0
"10","Cienaga","Species richness",123,185.65,25.052,152.451,256.275,28,585,123,0.9218,47,17,8,11,2,4,3,5,6,3
"11","Cienaga","Shannon diversity",77.257,90.136,3.751,82.785,97.487,28,585,123,0.9218,47,17,8,11,2,4,3,5,6,3
"12","Cienaga","Simpson diversity",58.63,62.762,2.581,58.63,67.82,28,585,123,0.9218,47,17,8,11,2,4,3,5,6,3
"13","Cultivos","Species richness",27,27,0,NA,NA,1,27,27,1,27,0,0,0,0,0,0,0,0,0
"14","Cultivos","Shannon diversity",27,0,0,27,0,1,27,27,1,27,0,0,0,0,0,0,0,0,0
"15","Cultivos","Simpson diversity",27,27,0,27,27,1,27,27,1,27,0,0,0,0,0,0,0,0,0
"16","Herbazal","Species richness",58,58,0,NA,NA,1,58,58,1,58,0,0,0,0,0,0,0,0,0
"17","Herbazal","Shannon diversity",58,0,0,58,0,1,58,58,1,58,0,0,0,0,0,0,0,0,0
"18","Herbazal","Simpson diversity",58,58,0,58,58,1,58,58,1,58,0,0,0,0,0,0,0,0,0
"19","Palma","Species richness",53,93.091,18.42,70.003,147.528,2,64,53,0.5693,42,11,0,0,0,0,0,0,0,0
"20","Palma","Shannon diversity",50.431,93.091,8.222,76.976,109.206,2,64,53,0.5693,42,11,0,0,0,0,0,0,0,0
"21","Palma","Simpson diversity",47.628,92.136,7.778,76.892,107.38,2,64,53,0.5693,42,11,0,0,0,0,0,0,0,0
"22","Pastos","Species richness",132,166.288,13.743,148.091,205.061,28,606,132,0.9321,43,26,11,9,6,5,3,1,9,5
"23","Pastos","Shannon diversity",84.44,96.747,3.695,89.505,103.99,28,606,132,0.9321,43,26,11,9,6,5,3,1,9,5
"24","Pastos","Simpson diversity",62.583,67.222,2.753,62.583,72.617,28,606,132,0.9321,43,26,11,9,6,5,3,1,9,5
"25","Vegetacion Secundaria","Species richness",35,63,15.875,44.949,113.802,2,42,35,0.5556,28,7,0,0,0,0,0,0,0,0
"26","Vegetacion Secundaria","Shannon diversity",33.335,63,6.614,50.036,75.964,2,42,35,0.5556,28,7,0,0,0,0,0,0,0,0
"27","Vegetacion Secundaria","Simpson diversity",31.5,62,6.856,48.562,75.438,2,42,35,0.5556,28,7,0,0,0,0,0,0,0,0
"28","Vias","Species richness",118,176.333,20.278,148.089,231.089,8,244,118,0.7821,60,27,12,9,6,1,2,1,0,0
"29","Vias","Shannon diversity",95.142,135.181,8.016,119.471,150.892,8,244,118,0.7821,60,27,12,9,6,1,2,1,0,0
"30","Vias","Simpson diversity",77.521,99.134,5.976,87.421,110.846,8,244,118,0.7821,60,27,12,9,6,1,2,1,0,0
"31","Zonas Pantanosas","Species richness",139,166.191,10.912,151.75,196.99,17,496,139,0.9207,43,32,16,15,9,4,5,2,0,3
"32","Zonas Pantanosas","Shannon diversity",98.113,115.107,3.67,107.913,122.301,17,496,139,0.9207,43,32,16,15,9,4,5,2,0,3
"33","Zonas Pantanosas","Simpson diversity",73.923,81.654,3.413,74.965,88.343,17,496,139,0.9207,43,32,16,15,9,4,5,2,0,3
