"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","Pastos","Species richness",118,137.168,9.64,125.557,166.616,1167,118,0.9769
"2","Pastos","Shannon diversity",54.912,58.55,2.095,54.912,62.655,1167,118,0.9769
"3","Pastos","Simpson diversity",31.687,32.544,1.766,31.687,36.004,1167,118,0.9769
"4","Vias","Species richness",138,166.4,15.191,148.625,213.91,3034,138,0.9918
"5","Vias","Shannon diversity",37.384,38.488,1.106,37.384,40.655,3034,138,0.9918
"6","Vias","Simpson diversity",13.298,13.352,0.632,13.298,14.591,3034,138,0.9918
"7","Vegetacion Secundaria","Species richness",53,89.18,19,66.753,148.182,135,53,0.8011
"8","Vegetacion Secundaria","Shannon diversity",36.831,52.687,5.886,41.151,64.224,135,53,0.8011
"9","Vegetacion Secundaria","Simpson diversity",26.375,32.536,4.587,26.375,41.526,135,53,0.8011
"10","Bosque Denso","Species richness",26,37.826,9.042,29.128,70.704,69,26,0.8286
"11","Bosque Denso","Shannon diversity",17.516,23.723,3.45,17.516,30.485,69,26,0.8286
"12","Bosque Denso","Simpson diversity",11.641,13.8,2.853,11.641,19.392,69,26,0.8286
"13","Bosque Abierto","Species richness",58,66.5,5.602,60.62,85.583,259,58,0.9387
"14","Bosque Abierto","Shannon diversity",33.936,39.127,2.881,33.936,44.774,259,58,0.9387
"15","Bosque Abierto","Simpson diversity",21.438,23.283,2.398,21.438,27.984,259,58,0.9387
"16","Herbazal","Species richness",89,125.398,19.109,102.839,184.732,706,89,0.9618
"17","Herbazal","Shannon diversity",45.456,49.962,2.196,45.658,54.266,706,89,0.9618
"18","Herbazal","Simpson diversity",29.697,30.957,1.728,29.697,34.344,706,89,0.9618
"19","Palma","Species richness",130,143.58,7.149,135.151,165.8,1952,130,0.9872
"20","Palma","Shannon diversity",46.802,48.707,1.626,46.802,51.893,1952,130,0.9872
"21","Palma","Simpson diversity",23.411,23.683,1.155,23.411,25.947,1952,130,0.9872
"22","Cultivos","Species richness",35,45.465,7.606,37.92,72.503,108,35,0.881
"23","Cultivos","Shannon diversity",23.787,30.061,3.027,24.127,35.994,108,35,0.881
"24","Cultivos","Simpson diversity",15.978,18.579,3.003,15.978,24.465,108,35,0.881
"25","Bosque Ripario","Species richness",122,193.953,34.963,151.184,299.398,1527,122,0.9764
"26","Bosque Ripario","Shannon diversity",56.761,60.51,1.691,57.196,63.824,1527,122,0.9764
"27","Bosque Ripario","Simpson diversity",38.805,39.79,1.387,38.805,42.508,1527,122,0.9764
"28","Zonas Pantanosas","Species richness",36,48.003,8.77,39.331,79.254,177,36,0.927
"29","Zonas Pantanosas","Shannon diversity",20.924,24.282,2.045,20.924,28.291,177,36,0.927
"30","Zonas Pantanosas","Simpson diversity",14.286,15.452,1.817,14.286,19.015,177,36,0.927
