"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","Bosque Ripario","Species richness",20,39.997,19.941,23.924,121.909,80,20,0.8881
"2","Bosque Ripario","Shannon diversity",11.319,14.402,2.424,11.319,19.153,80,20,0.8881
"3","Bosque Ripario","Simpson diversity",7.111,7.707,1.446,7.111,10.542,80,20,0.8881
"4","Palma","Species richness",6,16.714,14.743,7.421,86.784,7,6,0.3304
"5","Palma","Shannon diversity",5.742,17.62,9.472,5.742,36.185,7,6,0.3304
"6","Palma","Simpson diversity",5.444,21,6.783,7.705,34.295,7,6,0.3304
"7","Vias","Species richness",5,10.25,6.163,5.847,37.541,8,5,0.5435
"8","Vias","Shannon diversity",4,7.698,3.236,4,14.041,8,5,0.5435
"9","Vias","Simpson diversity",3.2,4.667,2.719,3.2,9.995,8,5,0.5435
"10","Bosque Denso","Species richness",3,3.8,1.734,3.06,13.615,5,3,0.7333
"11","Bosque Denso","Shannon diversity",2.586,3.699,1.535,2.586,6.707,5,3,0.7333
"12","Bosque Denso","Simpson diversity",2.273,3.333,2.252,2.273,7.748,5,3,0.7333
