"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","Bosque Ripario","Species richness",16,23.993,8.111,17.536,57.583,47,16,0.8538
"2","Bosque Ripario","Shannon diversity",11.139,14.642,2.684,11.139,19.902,47,16,0.8538
"3","Bosque Ripario","Simpson diversity",8.336,9.917,1.913,8.336,13.667,47,16,0.8538
"4","Palma","Species richness",4,8.5,5.275,4.727,31.843,4,4,0.1818
"5","Palma","Shannon diversity",4,12.275,3.487,5.44,19.11,4,4,0.1818
"6","Palma","Simpson diversity",4,4,1.436,4,6.814,4,4,0.1818
"7","Vias","Species richness",5,10.25,6.163,5.847,37.541,8,5,0.5435
"8","Vias","Shannon diversity",4,7.698,3.015,4,13.608,8,5,0.5435
"9","Vias","Simpson diversity",3.2,4.667,3.739,3.2,11.995,8,5,0.5435
"10","Bosque Denso","Species richness",3,3.8,1.734,3.06,13.615,5,3,0.7333
"11","Bosque Denso","Shannon diversity",2.586,3.699,1.408,2.586,6.459,5,3,0.7333
"12","Bosque Denso","Simpson diversity",2.273,3.333,1.996,2.273,7.245,5,3,0.7333
