"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Bosque Abierto","Species richness",89,124.294,15.269,104.672,168.482,4,191,89,0.8368,40,17,11,21,0,0,0,0,0,0
"2","Bosque Abierto","Shannon diversity",75.898,97.067,5.782,85.734,108.4,4,191,89,0.8368,40,17,11,21,0,0,0,0,0,0
"3","Bosque Abierto","Simpson diversity",67.184,77.572,3.904,69.921,85.224,4,191,89,0.8368,40,17,11,21,0,0,0,0,0,0
"4","Bosque Denso","Species richness",30,54,14.697,37.941,102.537,2,36,30,0.5556,24,6,0,0,0,0,0,0,0,0
"5","Bosque Denso","Shannon diversity",28.573,54,7.046,40.19,67.81,2,36,30,0.5556,24,6,0,0,0,0,0,0,0,0
"6","Bosque Denso","Simpson diversity",27,53,5.986,41.267,64.733,2,36,30,0.5556,24,6,0,0,0,0,0,0,0,0
"7","Bosque Ripario","Species richness",117,144.903,12.587,129.004,181.862,29,626,117,0.9479,34,20,12,8,5,4,4,3,4,2
"8","Bosque Ripario","Shannon diversity",74.8,83.618,2.895,77.944,89.291,29,626,117,0.9479,34,20,12,8,5,4,4,3,4,2
"9","Bosque Ripario","Simpson diversity",56.959,60.437,2.412,56.959,65.165,29,626,117,0.9479,34,20,12,8,5,4,4,3,4,2
"10","Ciénaga","Species richness",72,84.5,5.745,77.3,101.482,2,104,72,0.8521,40,32,0,0,0,0,0,0,0,0
"11","Ciénaga","Shannon diversity",67.887,84.5,4.196,76.277,92.723,2,104,72,0.8521,40,32,0,0,0,0,0,0,0,0
"12","Ciénaga","Simpson diversity",64.381,84.187,4.072,76.207,92.168,2,104,72,0.8521,40,32,0,0,0,0,0,0,0,0
"13","Herbazal","Species richness",86,145.137,22.52,114.749,207.644,5,144,86,0.6879,53,19,6,5,3,0,0,0,0,0
"14","Herbazal","Shannon diversity",72.921,117.374,9.828,98.111,136.636,5,144,86,0.6879,53,19,6,5,3,0,0,0,0,0
"15","Herbazal","Simpson diversity",61.349,85.115,6.187,72.99,97.241,5,144,86,0.6879,53,19,6,5,3,0,0,0,0,0
"16","Palma","Species richness",83,107.077,11.043,93.225,139.692,14,259,83,0.8839,33,21,9,4,1,3,3,2,2,0
"17","Palma","Shannon diversity",56.427,68.978,4.099,60.945,77.011,14,259,83,0.8839,33,21,9,4,1,3,3,2,2,0
"18","Palma","Simpson diversity",41.179,45.363,2.455,41.179,50.174,14,259,83,0.8839,33,21,9,4,1,3,3,2,2,0
"19","Pastos","Species richness",50,109.259,28.295,74.378,194.048,3,61,50,0.4647,40,9,1,0,0,0,0,0,0,0
"20","Pastos","Shannon diversity",47.102,107.745,21.057,66.475,149.016,3,61,50,0.4647,40,9,1,0,0,0,0,0,0,0
"21","Pastos","Simpson diversity",43.776,102,12.669,77.169,126.831,3,61,50,0.4647,40,9,1,0,0,0,0,0,0,0
