"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Bosque Abierto","Species richness",67,67,0,NA,NA,1,67,67,1,67,0,0,0,0,0,0,0,0,0
"2","Bosque Abierto","Shannon diversity",67,0,0,67,0,1,67,67,1,67,0,0,0,0,0,0,0,0,0
"3","Bosque Abierto","Simpson diversity",67,67,0,67,67,1,67,67,1,67,0,0,0,0,0,0,0,0,0
"4","Bosque Denso","Species richness",52,85.333,15.396,66.079,130.92,2,64,52,0.6094,40,12,0,0,0,0,0,0,0,0
"5","Bosque Denso","Shannon diversity",49.351,85.333,7.035,71.545,99.122,2,64,52,0.6094,40,12,0,0,0,0,0,0,0,0
"6","Bosque Denso","Simpson diversity",46.545,84.5,7.379,70.038,98.962,2,64,52,0.6094,40,12,0,0,0,0,0,0,0,0
"7","Bosque Ripario","Species richness",67,111.827,19.361,86.93,167.824,5,108,67,0.6791,41,15,7,4,0,0,0,0,0,0
"8","Bosque Ripario","Shannon diversity",58.592,95.962,9.48,77.38,114.543,5,108,67,0.6791,41,15,7,4,0,0,0,0,0,0
"9","Bosque Ripario","Simpson diversity",51.158,77.24,6.062,65.359,89.121,5,108,67,0.6791,41,15,7,4,0,0,0,0,0,0
"10","Cienaga","Species richness",102,142.837,17.734,120.083,194.224,26,426,102,0.9139,38,17,7,7,3,6,5,3,2,3
"11","Cienaga","Shannon diversity",67.512,79.757,3.443,73.009,86.505,26,426,102,0.9139,38,17,7,7,3,6,5,3,2,3
"12","Cienaga","Simpson diversity",51.585,56.341,2.51,51.585,61.259,26,426,102,0.9139,38,17,7,7,3,6,5,3,2,3
"13","Cultivos","Species richness",21,21,0,NA,NA,1,21,21,1,21,0,0,0,0,0,0,0,0,0
"14","Cultivos","Shannon diversity",21,0,0,21,0,1,21,21,1,21,0,0,0,0,0,0,0,0,0
"15","Cultivos","Simpson diversity",21,21,0,21,21,1,21,21,1,21,0,0,0,0,0,0,0,0,0
"16","Herbazal","Species richness",37,37,0,NA,NA,1,37,37,1,37,0,0,0,0,0,0,0,0,0
"17","Herbazal","Shannon diversity",37,0,0,37,0,1,37,37,1,37,0,0,0,0,0,0,0,0,0
"18","Herbazal","Simpson diversity",37,37,0,37,37,1,37,37,1,37,0,0,0,0,0,0,0,0,0
"19","Palma","Species richness",30,240.25,224.75,67.99,1193.595,2,31,30,0.1249,29,1,0,0,0,0,0,0,0,0
"20","Palma","Shannon diversity",29.644,240.25,82.642,78.274,402.226,2,31,30,0.1249,29,1,0,0,0,0,0,0,0,0
"21","Palma","Simpson diversity",29.121,233,64.639,106.31,359.69,2,31,30,0.1249,29,1,0,0,0,0,0,0,0,0
"22","Pastos","Species richness",96,120.891,11.38,106.598,154.463,25,370,96,0.9153,33,21,10,5,4,6,4,2,2,1
"23","Pastos","Shannon diversity",63.476,74.834,3.648,67.685,81.983,25,370,96,0.9153,33,21,10,5,4,6,4,2,2,1
"24","Pastos","Simpson diversity",46.47,50.921,2.72,46.47,56.253,25,370,96,0.9153,33,21,10,5,4,6,4,2,2,1
"25","Vegetacion Secundaria","Species richness",16,72.25,63.75,25.472,350.034,2,17,16,0.2215,15,1,0,0,0,0,0,0,0,0
"26","Vegetacion Secundaria","Shannon diversity",15.669,72.25,22.786,27.59,116.91,2,17,16,0.2215,15,1,0,0,0,0,0,0,0,0
"27","Vegetacion Secundaria","Simpson diversity",15.211,68.5,21.451,26.457,110.543,2,17,16,0.2215,15,1,0,0,0,0,0,0,0,0
"28","Vias","Species richness",85,183,38.341,131.773,290.333,8,141,85,0.6293,56,14,7,6,0,2,0,0,0,0
"29","Vias","Shannon diversity",70.742,131.69,15.247,101.807,161.573,8,141,85,0.6293,56,14,7,6,0,2,0,0,0,0
"30","Vias","Simpson diversity",57.962,85.632,9.056,67.883,103.382,8,141,85,0.6293,56,14,7,6,0,2,0,0,0,0
"31","Zonas Pantanosas","Species richness",108,126.523,8.295,116.013,150.817,16,325,108,0.9037,35,31,13,10,6,2,0,2,5,2
"32","Zonas Pantanosas","Shannon diversity",79.893,96.633,4.033,88.729,104.536,16,325,108,0.9037,35,31,13,10,6,2,0,2,5,2
"33","Zonas Pantanosas","Simpson diversity",61.02,70.275,4.02,62.396,78.154,16,325,108,0.9037,35,31,13,10,6,2,0,2,5,2
