"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","Pastos","Species richness",85,116.974,15.233,98.177,162.585,544,85,0.9431
"2","Pastos","Shannon diversity",34.254,38.559,2.56,34.254,43.577,544,85,0.9431
"3","Pastos","Simpson diversity",14.809,15.195,1.533,14.809,18.2,544,85,0.9431
"4","Palma","Species richness",96,114.597,10.396,102.692,147.681,1020,96,0.9785
"5","Palma","Shannon diversity",40.392,42.931,1.649,40.392,46.163,1020,96,0.9785
"6","Palma","Simpson diversity",21.625,22.071,1.305,21.625,24.63,1020,96,0.9785
"7","Bosque Ripario","Species richness",102,120.874,10.309,108.933,153.379,986,102,0.9767
"8","Bosque Ripario","Shannon diversity",53.926,57.636,1.889,53.934,61.338,986,102,0.9767
"9","Bosque Ripario","Simpson diversity",37.141,38.555,1.73,37.141,41.946,986,102,0.9767
"10","Vias","Species richness",108,124.432,8.593,114.269,151.075,1076,108,0.9768
"11","Vias","Shannon diversity",45.702,48.686,1.989,45.702,52.584,1076,108,0.9768
"12","Vias","Simpson diversity",24.151,24.682,1.396,24.151,27.418,1076,108,0.9768
"13","Vegetacion Secundaria","Species richness",30,47.986,12.045,35.455,89.299,61,30,0.7415
"14","Vegetacion Secundaria","Shannon diversity",22.969,35.482,5.588,24.53,46.433,61,30,0.7415
"15","Vegetacion Secundaria","Simpson diversity",16.991,23.165,5.387,16.991,33.722,61,30,0.7415
"16","Cultivos","Species richness",16,23.952,8.072,17.528,57.384,38,16,0.82
"17","Cultivos","Shannon diversity",12.887,18.076,3.48,12.887,24.896,38,16,0.82
"18","Cultivos","Simpson diversity",10.776,14.646,2.933,10.776,20.394,38,16,0.82
"19","Bosque Denso","Species richness",21,62.267,37.64,29.981,210.622,43,21,0.6999
"20","Bosque Denso","Shannon diversity",16.145,30.088,8.411,16.145,46.573,43,21,0.6999
"21","Bosque Denso","Simpson diversity",12.752,17.706,4.586,12.752,26.695,43,21,0.6999
"22","Bosque Abierto","Species richness",37,50.96,10.315,40.829,87.9,114,37,0.8869
"23","Bosque Abierto","Shannon diversity",27.605,35.215,3.422,28.508,41.922,114,37,0.8869
"24","Bosque Abierto","Simpson diversity",21.166,25.764,3.507,21.166,32.637,114,37,0.8869
"25","Herbazal","Species richness",67,86.949,11.804,73.816,125.383,389,67,0.9487
"26","Herbazal","Shannon diversity",39.277,44.363,2.217,40.017,48.709,389,67,0.9487
"27","Herbazal","Simpson diversity",27.143,29.104,2.169,27.143,33.356,389,67,0.9487
"28","Zonas Pantanosas","Species richness",27,41.26,11.078,30.709,81.83,103,27,0.8844
"29","Zonas Pantanosas","Shannon diversity",15.433,19.166,2.614,15.433,24.288,103,27,0.8844
"30","Zonas Pantanosas","Simpson diversity",9.481,10.341,1.943,9.481,14.15,103,27,0.8844
