"","evenPer","order","observado","estimado","s.e.","LCL","UCL","parentEventID","grp","cmb_smpEf"
"1","_A_H_H___2_8_3___A___P_3_","Species richness",4,7.6,5.817,4.391,37.177,"AHH_283_A_P3_R1","PntFijo",NA
"2","_A_H_H___2_8_3___A___P_3_","Shannon diversity",3.789,8.182,4.726,3.789,17.445,"AHH_283_A_P3_R1","PntFijo",NA
"3","_A_H_H___2_8_3___A___P_3_","Simpson diversity",3.571,10,3.125,3.876,16.124,"AHH_283_A_P3_R1","PntFijo",NA
"4","_A_H_H___2_8_3___A___P_3_","Species richness",6,16.714,14.743,7.421,86.784,"AHH_283_A_P3_R2","PntFijo",NA
"5","_A_H_H___2_8_3___A___P_3_","Shannon diversity",5.742,17.62,9.594,5.742,36.424,"AHH_283_A_P3_R2","PntFijo",NA
"6","_A_H_H___2_8_3___A___P_3_","Simpson diversity",5.444,21,6.375,8.506,33.494,"AHH_283_A_P3_R2","PntFijo",NA
"7","_A_H_H___2_8_3___A___P_3_","Species richness",5,10.455,6.395,5.881,38.752,"AHH_283_A_P3_R3","PntFijo",NA
"8","_A_H_H___2_8_3___A___P_3_","Shannon diversity",3.189,5.156,1.735,3.189,8.556,"AHH_283_A_P3_R3","PntFijo",NA
"9","_A_H_H___2_8_3___A___P_3_","Simpson diversity",2.283,2.283,1.405,2.283,5.036,"AHH_283_A_P3_R3","PntFijo",NA
"10","_A_N_H___1_2_8___A___P_1_","Species richness",7,8.393,2.151,7.16,19.128,"ANH_128","PntFijo",NA
"11","_A_N_H___1_2_8___A___P_1_","Shannon diversity",5.854,8.016,1.974,5.854,11.884,"ANH_128","PntFijo",NA
"12","_A_N_H___1_2_8___A___P_1_","Simpson diversity",4.9,7,1.879,4.9,10.684,"ANH_128","PntFijo",NA
"13","_A_N_H___1_2_8___A___P_2_","Species richness",10,18.55,9.687,11.44,60.754,"ANH_128","PntFijo",NA
"14","_A_N_H___1_2_8___A___P_2_","Shannon diversity",7.708,12.473,3.729,7.708,19.782,"ANH_128","PntFijo",NA
"15","_A_N_H___1_2_8___A___P_2_","Simpson diversity",6.061,8.261,2.93,6.061,14.004,"ANH_128","PntFijo",NA
"16","_A_N_H___1_2_8___A___P_3_","Species richness",8,19.538,15.849,9.534,94.807,"ANH_128","PntFijo",NA
"17","_A_N_H___1_2_8___A___P_3_","Shannon diversity",7.038,14.126,6.944,7.038,27.737,"ANH_128","PntFijo",NA
"18","_A_N_H___1_2_8___A___P_3_","Simpson diversity",6.259,11.143,8.033,6.259,26.888,"ANH_128","PntFijo",NA
"19","_A_N_H___1_5_4___A___P_1_","Species richness",5,5.234,0.694,5.012,9.518,"ANH_154","PntFijo",NA
"20","_A_N_H___1_5_4___A___P_1_","Shannon diversity",4.156,4.822,1.05,4.156,6.881,"ANH_154","PntFijo",NA
"21","_A_N_H___1_5_4___A___P_1_","Simpson diversity",3.657,4.444,1.056,3.657,6.514,"ANH_154","PntFijo",NA
"22","_A_N_H___1_5_4___A___P_2_","Species richness",5,13,8.069,6.549,46.319,"ANH_154","PntFijo",NA
"23","_A_N_H___1_5_4___A___P_2_","Shannon diversity",5,18.564,5.769,7.258,29.87,"ANH_154","PntFijo",NA
"24","_A_N_H___1_5_4___A___P_2_","Simpson diversity",5,5,2.66,5,10.214,"ANH_154","PntFijo",NA
"25","_A_N_H___1_5_4___A___P_3_","Species richness",11,26,15.492,13.824,90.677,"ANH_154","PntFijo",NA
"26","_A_N_H___1_5_4___A___P_3_","Shannon diversity",9.514,21.315,9.943,9.514,40.803,"ANH_154","PntFijo",NA
"27","_A_N_H___1_5_4___A___P_3_","Simpson diversity",8,15,8.094,8,30.864,"ANH_154","PntFijo",NA
"28","_A_N_H___1_6_9___A___P_1_","Species richness",20,31.764,9.474,22.942,67.034,"ANH_169","PntFijo",NA
"29","_A_N_H___1_6_9___A___P_1_","Shannon diversity",16.951,27.592,5.696,16.951,38.756,"ANH_169","PntFijo",NA
"30","_A_N_H___1_6_9___A___P_1_","Simpson diversity",14.4,23.333,5.145,14.4,33.418,"ANH_169","PntFijo",NA
"31","_A_N_H___1_6_9___A___P_2_","Species richness",20,37.5,14.005,24.407,89.487,"ANH_169","PntFijo",NA
"32","_A_N_H___1_6_9___A___P_2_","Shannon diversity",16.062,27.9,6.481,16.062,40.603,"ANH_169","PntFijo",NA
"33","_A_N_H___1_6_9___A___P_2_","Simpson diversity",12.462,18.529,5.689,12.462,29.68,"ANH_169","PntFijo",NA
"34","_A_N_H___1_6_9___A___P_3_","Species richness",29,57.333,19.437,37.389,124.699,"ANH_169","PntFijo",NA
