"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","Punto Fijo","Species richness",173,187.878,7.8,178.664,212.082,4397,173,0.9943
"2","Punto Fijo","Shannon diversity",64.456,65.942,1.15,64.456,68.197,4397,173,0.9943
"3","Punto Fijo","Simpson diversity",37.026,37.332,0.947,37.026,39.188,4397,173,0.9943
"4","Recorrido en lancha","Species richness",72,85.122,8.324,76.197,113.021,897,72,0.9811
"5","Recorrido en lancha","Shannon diversity",28.527,30.037,1.201,28.527,32.39,897,72,0.9811
"6","Recorrido en lancha","Simpson diversity",16.994,17.303,0.893,16.994,19.052,897,72,0.9811
"7","Accidental","Species richness",2,2.5,1.107,2.037,8.808,2,2,0.6667
"8","Accidental","Shannon diversity",2,3.375,1.111,2,5.552,2,2,0.6667
"9","Accidental","Simpson diversity",2,2,0.468,2,2.917,2,2,0.6667
"10","Redes de Niebla","Species richness",26,74.364,43.43,36.714,244.311,77,26,0.8189
"11","Redes de Niebla","Shannon diversity",16.697,25.08,4.785,16.697,34.459,77,26,0.8189
"12","Redes de Niebla","Simpson diversity",11.648,13.546,2.432,11.648,18.312,77,26,0.8189
