"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Bosque Abierto","Species richness",111,127.759,7.593,118.185,150.087,4,267,111,0.9123,36,29,11,35,0,0,0,0,0,0
"2","Bosque Abierto","Shannon diversity",96.931,111.956,4.117,103.887,120.025,4,267,111,0.9123,36,29,11,35,0,0,0,0,0,0
"3","Bosque Abierto","Simpson diversity",87.903,98.166,3.422,91.459,104.874,4,267,111,0.9123,36,29,11,35,0,0,0,0,0,0
"4","Bosque Denso","Species richness",49,101.531,25.82,70.108,179.733,2,57,49,0.4826,41,8,0,0,0,0,0,0,0,0
"5","Bosque Denso","Shannon diversity",46.922,101.531,10.319,81.307,121.756,2,57,49,0.4826,41,8,0,0,0,0,0,0,0,0
"6","Bosque Denso","Simpson diversity",44.507,100.25,8.942,82.725,117.775,2,57,49,0.4826,41,8,0,0,0,0,0,0,0,0
"7","Bosque Ripario","Species richness",141,174.583,13.979,156.342,214.514,29,824,141,0.9534,40,23,13,11,5,6,5,2,2,4
"8","Bosque Ripario","Shannon diversity",88.704,98.052,2.88,92.406,103.697,29,824,141,0.9534,40,23,13,11,5,6,5,2,2,4
"9","Bosque Ripario","Simpson diversity",67.993,71.5,2.061,67.993,75.539,29,824,141,0.9534,40,23,13,11,5,6,5,2,2,4
"10","Ciénaga","Species richness",90,102.023,5.28,95.279,117.382,2,134,90,0.8822,46,44,0,0,0,0,0,0,0,0
"11","Ciénaga","Shannon diversity",84.999,102.023,4.336,93.525,110.52,2,134,90,0.8822,46,44,0,0,0,0,0,0,0,0
"12","Ciénaga","Simpson diversity",80.883,101.761,4.114,93.697,109.826,2,134,90,0.8822,46,44,0,0,0,0,0,0,0,0
"13","Herbazal","Species richness",102,158.25,19.976,130.627,212.528,4,170,102,0.7214,60,24,10,8,0,0,0,0,0,0
"14","Herbazal","Shannon diversity",88.7,134.405,10.062,114.683,154.127,4,170,102,0.7214,60,24,10,8,0,0,0,0,0,0
"15","Herbazal","Simpson diversity",77.273,105.875,6.471,93.193,118.557,4,170,102,0.7214,60,24,10,8,0,0,0,0,0,0
"16","Palma","Species richness",112,154.955,17.054,132.293,202.921,15,368,112,0.8857,45,22,11,9,5,6,2,1,0,3
"17","Palma","Shannon diversity",76.785,94.154,4.628,85.084,103.224,15,368,112,0.8857,45,22,11,9,5,6,2,1,0,3
"18","Palma","Simpson diversity",57.334,63.282,2.944,57.511,69.054,15,368,112,0.8857,45,22,11,9,5,6,2,1,0,3
"19","Pastos","Species richness",76,115.683,15.513,94.95,159.099,3,107,76,0.6709,50,21,5,0,0,0,0,0,0,0
"20","Pastos","Shannon diversity",69.877,112.395,9.137,94.486,130.304,3,107,76,0.6709,50,21,5,0,0,0,0,0,0,0
"21","Pastos","Simpson diversity",63.961,105.352,7.702,90.255,120.448,3,107,76,0.6709,50,21,5,0,0,0,0,0,0,0
