"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Bosque Abierto","Species richness",36,36,0,NA,NA,1,36,36,1,36,0,0,0,0,0,0,0,0,0
"2","Bosque Abierto","Shannon diversity",36,0,0,36,0,1,36,36,1,36,0,0,0,0,0,0,0,0,0
"3","Bosque Abierto","Simpson diversity",36,36,0,36,36,1,36,36,1,36,0,0,0,0,0,0,0,0,0
"4","Bosque Denso","Species richness",83,114.517,13.003,97.49,151.551,4,148,83,0.7834,43,22,11,7,0,0,0,0,0,0
"5","Bosque Denso","Shannon diversity",72.523,100.571,6.453,87.923,113.219,4,148,83,0.7834,43,22,11,7,0,0,0,0,0,0
"6","Bosque Denso","Simpson diversity",64.047,84.358,4.874,74.805,93.911,4,148,83,0.7834,43,22,11,7,0,0,0,0,0,0
"7","Bosque Ripario","Species richness",114,168.465,22.33,139.154,231.935,23,499,114,0.9148,44,17,10,4,5,7,3,5,3,1
"8","Bosque Ripario","Shannon diversity",73.311,86.297,3.927,78.6,93.993,23,499,114,0.9148,44,17,10,4,5,7,3,5,3,1
"9","Bosque Ripario","Simpson diversity",55.867,60.098,2.623,55.867,65.239,23,499,114,0.9148,44,17,10,4,5,7,3,5,3,1
"10","Cultivos","Species richness",26,26,0,NA,NA,1,26,26,1,26,0,0,0,0,0,0,0,0,0
"11","Cultivos","Shannon diversity",26,0,0,26,0,1,26,26,1,26,0,0,0,0,0,0,0,0,0
"12","Cultivos","Simpson diversity",26,26,0,26,26,1,26,26,1,26,0,0,0,0,0,0,0,0,0
"13","Herbazal","Species richness",58,58,0,NA,NA,1,58,58,1,58,0,0,0,0,0,0,0,0,0
"14","Herbazal","Shannon diversity",58,0,0,58,0,1,58,58,1,58,0,0,0,0,0,0,0,0,0
"15","Herbazal","Simpson diversity",58,58,0,58,58,1,58,58,1,58,0,0,0,0,0,0,0,0,0
"16","Palma","Species richness",53,93.091,18.42,70.003,147.528,2,64,53,0.5693,42,11,0,0,0,0,0,0,0,0
"17","Palma","Shannon diversity",50.431,93.091,7.862,77.682,108.5,2,64,53,0.5693,42,11,0,0,0,0,0,0,0,0
"18","Palma","Simpson diversity",47.628,92.136,8.347,75.777,108.496,2,64,53,0.5693,42,11,0,0,0,0,0,0,0,0
"19","Pastos","Species richness",127,163.96,14.69,144.448,205.292,22,550,127,0.9241,44,25,12,7,2,6,4,5,6,4
"20","Pastos","Shannon diversity",81.89,94.646,3.448,87.888,101.405,22,550,127,0.9241,44,25,12,7,2,6,4,5,6,4
"21","Pastos","Simpson diversity",61.136,65.581,2.431,61.136,70.345,22,550,127,0.9241,44,25,12,7,2,6,4,5,6,4
"22","Vegetacion Secundaria","Species richness",35,63,15.875,44.949,113.802,2,42,35,0.5556,28,7,0,0,0,0,0,0,0,0
"23","Vegetacion Secundaria","Shannon diversity",33.335,63,7.013,49.255,76.745,2,42,35,0.5556,28,7,0,0,0,0,0,0,0,0
"24","Vegetacion Secundaria","Simpson diversity",31.5,62,6.919,48.44,75.56,2,42,35,0.5556,28,7,0,0,0,0,0,0,0,0
"25","Vias","Species richness",118,176.333,20.278,148.089,231.089,8,244,118,0.7821,60,27,12,9,6,1,2,1,0,0
"26","Vias","Shannon diversity",95.142,135.181,8.451,118.618,151.745,8,244,118,0.7821,60,27,12,9,6,1,2,1,0,0
"27","Vias","Simpson diversity",77.521,99.134,5.649,88.062,110.206,8,244,118,0.7821,60,27,12,9,6,1,2,1,0,0
"28","Zonas Pantanosas","Species richness",135,155.741,8.701,144.421,180.661,15,468,135,0.9243,40,36,15,16,4,6,4,1,1,2
"29","Zonas Pantanosas","Shannon diversity",95.954,111.992,3.923,104.302,119.682,15,468,135,0.9243,40,36,15,16,4,6,4,1,1,2
"30","Zonas Pantanosas","Simpson diversity",72.142,79.5,3.191,73.247,85.754,15,468,135,0.9243,40,36,15,16,4,6,4,1,1,2
