"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","Bosque Ripario","Species richness",20,39.997,19.941,23.924,121.909,80,20,0.8881
"2","Bosque Ripario","Shannon diversity",11.319,14.402,2.635,11.319,19.567,80,20,0.8881
"3","Bosque Ripario","Simpson diversity",7.111,7.707,1.412,7.111,10.475,80,20,0.8881
"4","Palma","Species richness",6,16.714,14.743,7.421,86.784,7,6,0.3304
"5","Palma","Shannon diversity",5.742,17.62,8.269,5.742,33.828,7,6,0.3304
"6","Palma","Simpson diversity",5.444,21,6.745,7.781,34.219,7,6,0.3304
"7","Vias","Species richness",5,10.25,6.163,5.847,37.541,8,5,0.5435
"8","Vias","Shannon diversity",4,7.698,3.26,4,14.089,8,5,0.5435
"9","Vias","Simpson diversity",3.2,4.667,3.554,3.2,11.632,8,5,0.5435
"10","Bosque Denso","Species richness",3,3.8,1.734,3.06,13.615,5,3,0.7333
"11","Bosque Denso","Shannon diversity",2.586,3.699,1.729,2.586,7.087,5,3,0.7333
"12","Bosque Denso","Simpson diversity",2.273,3.333,1.883,2.273,7.023,5,3,0.7333
