"","evenPer","order","observado","estimado","s.e.","LCL","UCL","parentEventID","grp","cmb_smpEf"
"1","_A_H_H___2_8_3___A___P_3_","Species richness",4,7.6,5.817,4.391,37.177,"AHH_283_A_P3_R1","PntFijo",NA
"2","_A_H_H___2_8_3___A___P_3_","Shannon diversity",3.789,8.182,4.708,3.789,17.408,"AHH_283_A_P3_R1","PntFijo",NA
"3","_A_H_H___2_8_3___A___P_3_","Simpson diversity",3.571,10,3.122,3.881,16.119,"AHH_283_A_P3_R1","PntFijo",NA
"4","_A_H_H___2_8_3___A___P_3_","Species richness",6,16.714,14.743,7.421,86.784,"AHH_283_A_P3_R2","PntFijo",NA
"5","_A_H_H___2_8_3___A___P_3_","Shannon diversity",5.742,17.62,8.76,5.742,34.789,"AHH_283_A_P3_R2","PntFijo",NA
"6","_A_H_H___2_8_3___A___P_3_","Simpson diversity",5.444,21,6.795,7.682,34.318,"AHH_283_A_P3_R2","PntFijo",NA
"7","_A_H_H___2_8_3___A___P_3_","Species richness",5,10.455,6.395,5.881,38.752,"AHH_283_A_P3_R3","PntFijo",NA
"8","_A_H_H___2_8_3___A___P_3_","Shannon diversity",3.189,5.156,1.797,3.189,8.677,"AHH_283_A_P3_R3","PntFijo",NA
"9","_A_H_H___2_8_3___A___P_3_","Simpson diversity",2.283,2.283,1.17,2.283,4.576,"AHH_283_A_P3_R3","PntFijo",NA
"10","_A_N_H___1_2_8___A___P_1_","Species richness",25,44.237,14.106,30.318,94.582,"ANH_128","PntFijo",NA
"11","_A_N_H___1_2_8___A___P_1_","Shannon diversity",18.096,28.077,4.936,18.404,37.751,"ANH_128","PntFijo",NA
"12","_A_N_H___1_2_8___A___P_1_","Simpson diversity",12.678,16.261,4.274,12.678,24.638,"ANH_128","PntFijo",NA
"13","_A_N_H___1_2_8___A___P_2_","Species richness",26,33.843,5.932,28.099,55.306,"ANH_128","PntFijo",NA
"14","_A_N_H___1_2_8___A___P_2_","Shannon diversity",21.293,31.042,4.246,22.72,39.363,"ANH_128","PntFijo",NA
"15","_A_N_H___1_2_8___A___P_2_","Simpson diversity",16.781,24.519,4.745,16.781,33.819,"ANH_128","PntFijo",NA
