"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Bosque Abierto","Species richness",111,127.759,7.593,118.185,150.087,4,267,111,0.9123,36,29,11,35,0,0,0,0,0,0
"2","Bosque Abierto","Shannon diversity",96.931,111.956,4.046,104.026,119.886,4,267,111,0.9123,36,29,11,35,0,0,0,0,0,0
"3","Bosque Abierto","Simpson diversity",87.903,98.166,3.225,91.846,104.486,4,267,111,0.9123,36,29,11,35,0,0,0,0,0,0
"4","Bosque Denso","Species richness",48,98,24.749,67.976,173.151,2,56,48,0.4898,40,8,0,0,0,0,0,0,0,0
"5","Bosque Denso","Shannon diversity",45.939,98,9.487,79.405,116.595,2,56,48,0.4898,40,8,0,0,0,0,0,0,0,0
"6","Bosque Denso","Simpson diversity",43.556,96.75,9.581,77.971,115.529,2,56,48,0.4898,40,8,0,0,0,0,0,0,0,0
"7","Bosque Ripario","Species richness",140,176.873,15.016,157.111,219.457,26,793,140,0.9493,42,23,13,10,3,6,5,3,3,4
"8","Bosque Ripario","Shannon diversity",87.665,97.325,2.973,91.499,103.152,26,793,140,0.9493,42,23,13,10,3,6,5,3,3,4
"9","Bosque Ripario","Simpson diversity",67.006,70.325,2.243,67.006,74.721,26,793,140,0.9493,42,23,13,10,3,6,5,3,3,4
"10","Herbazal","Species richness",102,163.364,21.99,133.049,223.277,4,173,102,0.7213,60,22,11,9,0,0,0,0,0,0
"11","Herbazal","Shannon diversity",88.143,133.973,9.93,114.51,153.436,4,173,102,0.7213,60,22,11,9,0,0,0,0,0,0
"12","Herbazal","Simpson diversity",76.545,102.622,6.102,90.661,114.582,4,173,102,0.7213,60,22,11,9,0,0,0,0,0,0
"13","Palma","Species richness",110,148.79,15.721,128.062,193.305,13,366,110,0.8917,43,22,11,9,5,6,2,1,0,3
"14","Palma","Shannon diversity",75.717,91.662,4.197,83.436,99.889,13,366,110,0.8917,43,22,11,9,5,6,2,1,0,3
"15","Palma","Simpson diversity",56.761,61.919,2.926,56.761,67.654,13,366,110,0.8917,43,22,11,9,5,6,2,1,0,3
"16","Pastos","Species richness",76,115.683,15.513,94.95,159.099,3,107,76,0.6709,50,21,5,0,0,0,0,0,0,0
"17","Pastos","Shannon diversity",69.877,112.395,9.666,93.449,131.34,3,107,76,0.6709,50,21,5,0,0,0,0,0,0,0
"18","Pastos","Simpson diversity",63.961,105.352,6.523,92.566,118.138,3,107,76,0.6709,50,21,5,0,0,0,0,0,0,0
