"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Bosque Abierto","Species richness",36,36,0,NA,NA,1,36,36,1,36,0,0,0,0,0,0,0,0,0
"2","Bosque Abierto","Shannon diversity",36,0,0,36,0,1,36,36,1,36,0,0,0,0,0,0,0,0,0
"3","Bosque Abierto","Simpson diversity",36,36,0,36,36,1,36,36,1,36,0,0,0,0,0,0,0,0,0
"4","Bosque Denso","Species richness",83,114.517,13.003,97.49,151.551,4,148,83,0.7834,43,22,11,7,0,0,0,0,0,0
"5","Bosque Denso","Shannon diversity",72.523,100.571,7.128,86.601,114.541,4,148,83,0.7834,43,22,11,7,0,0,0,0,0,0
"6","Bosque Denso","Simpson diversity",64.047,84.358,5.132,74.299,94.417,4,148,83,0.7834,43,22,11,7,0,0,0,0,0,0
"7","Bosque Ripario","Species richness",114,168.465,22.33,139.154,231.935,23,499,114,0.9148,44,17,10,4,5,7,3,5,3,1
"8","Bosque Ripario","Shannon diversity",73.311,86.297,3.861,78.729,93.864,23,499,114,0.9148,44,17,10,4,5,7,3,5,3,1
"9","Bosque Ripario","Simpson diversity",55.867,60.098,2.659,55.867,65.31,23,499,114,0.9148,44,17,10,4,5,7,3,5,3,1
"10","Cultivos","Species richness",26,26,0,NA,NA,1,26,26,1,26,0,0,0,0,0,0,0,0,0
"11","Cultivos","Shannon diversity",26,0,0,26,0,1,26,26,1,26,0,0,0,0,0,0,0,0,0
"12","Cultivos","Simpson diversity",26,26,0,26,26,1,26,26,1,26,0,0,0,0,0,0,0,0,0
"13","Herbazal","Species richness",58,58,0,NA,NA,1,58,58,1,58,0,0,0,0,0,0,0,0,0
"14","Herbazal","Shannon diversity",58,0,0,58,0,1,58,58,1,58,0,0,0,0,0,0,0,0,0
"15","Herbazal","Simpson diversity",58,58,0,58,58,1,58,58,1,58,0,0,0,0,0,0,0,0,0
"16","Palma","Species richness",53,93.091,18.42,70.003,147.528,2,64,53,0.5693,42,11,0,0,0,0,0,0,0,0
"17","Palma","Shannon diversity",50.431,93.091,8.052,77.309,108.873,2,64,53,0.5693,42,11,0,0,0,0,0,0,0,0
"18","Palma","Simpson diversity",47.628,92.136,7.664,77.116,107.157,2,64,53,0.5693,42,11,0,0,0,0,0,0,0,0
"19","Pastos","Species richness",128,170.021,16.606,147.917,216.657,22,559,128,0.9232,45,23,13,8,2,6,3,6,5,4
"20","Pastos","Shannon diversity",82.303,95.361,3.579,88.345,102.376,22,559,128,0.9232,45,23,13,8,2,6,3,6,5,4
"21","Pastos","Simpson diversity",61.379,65.744,2.736,61.379,71.105,22,559,128,0.9232,45,23,13,8,2,6,3,6,5,4
"22","Vegetacion Secundaria","Species richness",35,63,15.875,44.949,113.802,2,42,35,0.5556,28,7,0,0,0,0,0,0,0,0
"23","Vegetacion Secundaria","Shannon diversity",33.335,63,6.471,50.317,75.683,2,42,35,0.5556,28,7,0,0,0,0,0,0,0,0
"24","Vegetacion Secundaria","Simpson diversity",31.5,62,6.957,48.365,75.635,2,42,35,0.5556,28,7,0,0,0,0,0,0,0,0
"25","Vias","Species richness",118,176.333,20.278,148.089,231.089,8,244,118,0.7821,60,27,12,9,6,1,2,1,0,0
"26","Vias","Shannon diversity",95.142,135.181,7.437,120.605,149.758,8,244,118,0.7821,60,27,12,9,6,1,2,1,0,0
"27","Vias","Simpson diversity",77.521,99.134,5.506,88.342,109.925,8,244,118,0.7821,60,27,12,9,6,1,2,1,0,0
"28","Zonas Pantanosas","Species richness",135,155.741,8.701,144.421,180.661,15,468,135,0.9243,40,36,15,16,4,6,4,1,1,2
"29","Zonas Pantanosas","Shannon diversity",95.954,111.992,3.973,104.206,119.778,15,468,135,0.9243,40,36,15,16,4,6,4,1,1,2
"30","Zonas Pantanosas","Simpson diversity",72.142,79.5,3.313,73.008,85.993,15,468,135,0.9243,40,36,15,16,4,6,4,1,1,2
