"","evenPer","order","observado","estimado","s.e.","LCL","UCL","parentEventID","grp","cmb_smpEf"
"1","ANH_128_21","Species richness",39,61.336,15.973,45.338,117.717,"ANH_128","PntFijo",1
"2","ANH_128_21","Shannon diversity",27.856,35.26,3.63,28.145,42.374,"ANH_128","PntFijo",1
"3","ANH_128_21","Simpson diversity",21.648,25.523,2.649,21.648,30.715,"ANH_128","PntFijo",1
"4","ANH_154_21","Species richness",32,38.467,4.92,33.72,56.318,"ANH_154","PntFijo",1
"5","ANH_154_21","Shannon diversity",24.118,31.3,3.057,25.308,37.292,"ANH_154","PntFijo",1
"6","ANH_154_21","Simpson diversity",18.469,23.469,2.958,18.469,29.266,"ANH_154","PntFijo",1
"7","ANH_169_21","Species richness",70,107.418,20.209,83.882,170.858,"ANH_169","PntFijo",1
"8","ANH_169_21","Shannon diversity",47.202,58.189,3.996,50.357,66.022,"ANH_169","PntFijo",1
"9","ANH_169_21","Simpson diversity",34.941,39.923,3.811,34.941,47.392,"ANH_169","PntFijo",1
"10","ANH_185_21","Species richness",52,67.939,10.545,56.893,103.922,"ANH_185","PntFijo",1
"11","ANH_185_21","Shannon diversity",30.964,35.665,2.385,30.989,40.34,"ANH_185","PntFijo",1
"12","ANH_185_21","Simpson diversity",21.331,23.133,2.064,21.331,27.179,"ANH_185","PntFijo",1
"13","ANH_189_21","Species richness",26,37.826,9.042,29.128,70.704,"ANH_189","PntFijo",1
"14","ANH_189_21","Shannon diversity",17.516,23.723,3.737,17.516,31.047,"ANH_189","PntFijo",1
"15","ANH_189_21","Simpson diversity",11.641,13.8,3.281,11.641,20.231,"ANH_189","PntFijo",1
"16","ANH_191_21","Species richness",61,69.147,5.713,63.359,89.139,"ANH_191","PntFijo",1
"17","ANH_191_21","Shannon diversity",34.418,37.762,1.896,34.418,41.479,"ANH_191","PntFijo",1
"18","ANH_191_21","Simpson diversity",23.042,24.365,1.908,23.042,28.104,"ANH_191","PntFijo",1
