"","samplingProtocol","Grouping","species","labelit","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"1","Punto Fijo","Bosque Abierto_21","Progne tapera",TRUE,1,750,26,NA,NA,26,2.9,0.9
"2","Punto Fijo","Bosque Abierto_21","Hirundo rustica",TRUE,2,248,8.6,NA,NA,34.6,2.4,1.8
"3","Punto Fijo","Bosque Abierto_21","Eupsittula pertinax",TRUE,3,139,4.8,NA,NA,39.4,2.1,2.7
"4","Punto Fijo","Bosque Abierto_21","Jacana jacana",FALSE,4,110,3.8,NA,NA,43.2,2,3.6
"5","Punto Fijo","Bosque Abierto_21","Crotophaga major",FALSE,5,99,3.4,NA,NA,46.6,2,4.5
"6","Punto Fijo","Bosque Abierto_21","Patagioenas cayennensis",FALSE,6,96,3.3,NA,NA,49.9,2,5.4
"7","Punto Fijo","Bosque Abierto_21","Quiscalus lugubris",FALSE,7,89,3.1,NA,NA,53,1.9,6.3
"8","Punto Fijo","Bosque Abierto_21","Crotophaga ani",FALSE,8,79,2.7,NA,NA,55.7,1.9,7.2
"9","Punto Fijo","Bosque Abierto_21","Dendrocygna autumnalis",FALSE,9,72,2.5,NA,NA,58.2,1.9,8.1
"10","Punto Fijo","Bosque Abierto_21","Pitangus sulphuratus",FALSE,10,68,2.4,NA,NA,60.6,1.8,9
"11","Punto Fijo","Bosque Abierto_21","Ortalis garrula",FALSE,11,65,2.3,NA,NA,62.8,1.8,9.9
"12","Punto Fijo","Bosque Abierto_21","Bubulcus ibis",FALSE,12,65,2.3,NA,NA,65.1,1.8,10.8
"13","Punto Fijo","Bosque Abierto_21","Chrysomus icterocephalus",FALSE,13,61,2.1,NA,NA,67.2,1.8,11.7
"14","Punto Fijo","Bosque Abierto_21","Columbina talpacoti",FALSE,14,47,1.6,NA,NA,68.8,1.7,12.6
"15","Punto Fijo","Bosque Abierto_21","Campylorhynchus griseus",FALSE,15,41,1.4,NA,NA,70.3,1.6,13.5
"16","Punto Fijo","Bosque Abierto_21","Saltator coerulescens",FALSE,16,40,1.4,NA,NA,71.6,1.6,14.4
"17","Punto Fijo","Bosque Abierto_21","Porphyrio martinica",FALSE,17,40,1.4,NA,NA,73,1.6,15.3
