"","samplingProtocol","Grouping","species","labelit","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"1","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Bubulcus ibis",TRUE,1,15,15.3,NA,NA,15.3,1.2,3.1
"2","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Jacana jacana",TRUE,2,12,12.2,NA,NA,27.6,1.1,6.2
"3","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Fluvicola pica",TRUE,3,6,6.1,NA,NA,33.7,0.8,9.4
"4","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Todirostrum cinereum",FALSE,4,6,6.1,NA,NA,39.8,0.8,12.5
"5","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Donacobius atricapilla",FALSE,5,5,5.1,NA,NA,44.9,0.7,15.6
"6","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Eupsittula pertinax",FALSE,6,5,5.1,NA,NA,50,0.7,18.8
"7","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Columbina talpacoti",FALSE,7,4,4.1,NA,NA,54.1,0.6,21.9
"8","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Crotophaga ani",FALSE,8,4,4.1,NA,NA,58.2,0.6,25
"9","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Leptotila verreauxi",FALSE,9,4,4.1,NA,NA,62.2,0.6,28.1
"10","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Patagioenas cayennensis",FALSE,10,3,3.1,NA,NA,65.3,0.5,31.2
"11","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Milvago chimachima",FALSE,11,3,3.1,NA,NA,68.4,0.5,34.4
"12","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Pitangus sulphuratus",FALSE,12,3,3.1,NA,NA,71.4,0.5,37.5
"13","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Saltator coerulescens",FALSE,13,2,2,NA,NA,73.5,0.3,40.6
"14","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Phimosus infuscatus",FALSE,14,2,2,NA,NA,75.5,0.3,43.8
"15","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Hypnelus ruficollis",FALSE,15,2,2,NA,NA,77.6,0.3,46.9
"16","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Certhiaxis cinnamomeus",FALSE,16,2,2,NA,NA,79.6,0.3,50
"17","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Chrysomus icterocephalus",FALSE,17,2,2,NA,NA,81.6,0.3,53.1
"18","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Sakesphorus canadensis",FALSE,18,2,2,NA,NA,83.7,0.3,56.2
"19","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Thraupis episcopus",FALSE,19,2,2,NA,NA,85.7,0.3,59.4
"20","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Ardea cocoi",FALSE,20,2,2,NA,NA,87.8,0.3,62.5
"21","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Sporophila funerea",FALSE,21,1,1,NA,NA,88.8,0,65.6
"22","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Rupornis magnirostris",FALSE,22,1,1,NA,NA,89.8,0,68.8
"23","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Ardea alba",FALSE,23,1,1,NA,NA,90.8,0,71.9
"24","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Cantorchilus leucotis",FALSE,24,1,1,NA,NA,91.8,0,75
"25","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Dendrocygna autumnalis",FALSE,25,1,1,NA,NA,92.9,0,78.1
"26","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Sporophila intermedia",FALSE,26,1,1,NA,NA,93.9,0,81.2
"27","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Megarynchus pitangua",FALSE,27,1,1,NA,NA,94.9,0,84.4
