"","samplingProtocol","Grouping","species","labelit","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"1","Punto Fijo","Caracterizacion","Crotophaga ani",TRUE,1,87,9.6,NA,NA,9.6,1.9,0.9
"2","Punto Fijo","Caracterizacion","Coereba flaveola",TRUE,2,46,5.1,NA,NA,14.7,1.7,1.8
"3","Punto Fijo","Caracterizacion","Manacus manacus",TRUE,3,39,4.3,NA,NA,19,1.6,2.7
"4","Punto Fijo","Caracterizacion","Crotophaga major",FALSE,4,36,4,NA,NA,23,1.6,3.6
"5","Punto Fijo","Caracterizacion","Milvago chimachima",FALSE,5,35,3.9,NA,NA,26.8,1.5,4.5
"6","Punto Fijo","Caracterizacion","Campylorhynchus griseus",FALSE,6,34,3.8,NA,NA,30.6,1.5,5.5
"7","Punto Fijo","Caracterizacion","Leptotila verreauxi",FALSE,7,28,3.1,NA,NA,33.7,1.4,6.4
"8","Punto Fijo","Caracterizacion","Rupornis magnirostris",FALSE,8,27,3,NA,NA,36.6,1.4,7.3
"9","Punto Fijo","Caracterizacion","Sporophila funerea",FALSE,9,24,2.6,NA,NA,39.3,1.4,8.2
"10","Punto Fijo","Caracterizacion","Poecilotriccus sylvia",FALSE,10,24,2.6,NA,NA,41.9,1.4,9.1
"11","Punto Fijo","Caracterizacion","Momotus subrufescens",FALSE,11,24,2.6,NA,NA,44.6,1.4,10
"12","Punto Fijo","Caracterizacion","Ortalis columbiana",FALSE,12,23,2.5,NA,NA,47.1,1.4,10.9
"13","Punto Fijo","Caracterizacion","Tyrannus melancholicus",FALSE,13,22,2.4,NA,NA,49.6,1.3,11.8
"14","Punto Fijo","Caracterizacion","Thamnophilus nigriceps",FALSE,14,20,2.2,NA,NA,51.8,1.3,12.7
"15","Punto Fijo","Caracterizacion","Patagioenas cayennensis",FALSE,15,20,2.2,NA,NA,54,1.3,13.6
"16","Punto Fijo","Caracterizacion","Columbina talpacoti",FALSE,16,19,2.1,NA,NA,56.1,1.3,14.5
"17","Punto Fijo","Caracterizacion","Cathartes aura",FALSE,17,17,1.9,NA,NA,57.9,1.2,15.5
"18","Punto Fijo","Caracterizacion","Bubulcus ibis",FALSE,18,16,1.8,NA,NA,59.7,1.2,16.4
"19","Punto Fijo","Caracterizacion","Volatinia jacarina",FALSE,19,15,1.7,NA,NA,61.4,1.2,17.3
"20","Punto Fijo","Caracterizacion","Crypturellus soui",FALSE,20,15,1.7,NA,NA,63,1.2,18.2
"21","Punto Fijo","Caracterizacion","Chrysolampis mosquitus",FALSE,21,13,1.4,NA,NA,64.5,1.1,19.1
"22","Punto Fijo","Caracterizacion","Coragyps atratus",FALSE,22,13,1.4,NA,NA,65.9,1.1,20
"23","Punto Fijo","Caracterizacion","Psarocolius decumanus",FALSE,23,12,1.3,NA,NA,67.2,1.1,20.9
"24","Punto Fijo","Caracterizacion","Cathartes burrovianus",FALSE,24,11,1.2,NA,NA,68.4,1,21.8
"25","Punto Fijo","Caracterizacion","Thraupis palmarum",FALSE,25,11,1.2,NA,NA,69.6,1,22.7
"26","Punto Fijo","Caracterizacion","Myiarchus crinitus",FALSE,26,10,1.1,NA,NA,70.8,1,23.6
"27","Punto Fijo","Caracterizacion","Melanerpes rubricapillus",FALSE,27,10,1.1,NA,NA,71.9,1,24.5
"28","Punto Fijo","Caracterizacion","Columbina minuta",FALSE,28,9,1,NA,NA,72.8,1,25.5
"29","Punto Fijo","Caracterizacion","Ortalis garrula",FALSE,29,9,1,NA,NA,73.8,1,26.4
"30","Punto Fijo","Caracterizacion","Setophaga castanea",FALSE,30,9,1,NA,NA,74.8,1,27.3
"31","Punto Fijo","Caracterizacion","Xiphorhynchus susurrans",FALSE,31,8,0.9,NA,NA,75.7,0.9,28.2
"32","Punto Fijo","Caracterizacion","Formicivora grisea",FALSE,32,8,0.9,NA,NA,76.6,0.9,29.1
"33","Punto Fijo","Caracterizacion","Mionectes oleagineus",FALSE,33,8,0.9,NA,NA,77.5,0.9,30
"34","Punto Fijo","Caracterizacion","Colinus cristatus",FALSE,34,7,0.8,NA,NA,78.3,0.8,30.9
"35","Punto Fijo","Caracterizacion","Caracara cheriway",FALSE,35,7,0.8,NA,NA,79,0.8,31.8
"36","Punto Fijo","Caracterizacion","Pitangus sulphuratus",FALSE,36,6,0.7,NA,NA,79.7,0.8,32.7
"37","Punto Fijo","Caracterizacion","Cercomacra nigricans",FALSE,37,6,0.7,NA,NA,80.4,0.8,33.6
"38","Punto Fijo","Caracterizacion","Thraupis episcopus",FALSE,38,6,0.7,NA,NA,81,0.8,34.5
"39","Punto Fijo","Caracterizacion","Pheugopedius fasciatoventris",FALSE,39,6,0.7,NA,NA,81.7,0.8,35.5
"40","Punto Fijo","Caracterizacion","Pteroglossus torquatus",FALSE,40,6,0.7,NA,NA,82.3,0.8,36.4
"41","Punto Fijo","Caracterizacion","Hirundo rustica",FALSE,41,6,0.7,NA,NA,83,0.8,37.3
"42","Punto Fijo","Caracterizacion","Buteogallus meridionalis",FALSE,42,6,0.7,NA,NA,83.7,0.8,38.2
"43","Punto Fijo","Caracterizacion","Cyanocorax affinis",FALSE,43,5,0.6,NA,NA,84.2,0.7,39.1
"44","Punto Fijo","Caracterizacion","Catharus ustulatus",FALSE,44,5,0.6,NA,NA,84.8,0.7,40
"45","Punto Fijo","Caracterizacion","Streptoprocne zonaris",FALSE,45,5,0.6,NA,NA,85.3,0.7,40.9
"46","Punto Fijo","Caracterizacion","Dendroplex picus",FALSE,46,5,0.6,NA,NA,85.9,0.7,41.8
"47","Punto Fijo","Caracterizacion","Amazilia tzacatl",FALSE,47,5,0.6,NA,NA,86.4,0.7,42.7
"48","Punto Fijo","Caracterizacion","Icterus auricapillus",FALSE,48,5,0.6,NA,NA,87,0.7,43.6
"49","Punto Fijo","Caracterizacion","Attila spadiceus",FALSE,49,4,0.4,NA,NA,87.4,0.6,44.5
"50","Punto Fijo","Caracterizacion","Tyrannulus elatus",FALSE,50,4,0.4,NA,NA,87.9,0.6,45.5
"51","Punto Fijo","Caracterizacion","Piranga olivacea",FALSE,51,4,0.4,NA,NA,88.3,0.6,46.4
"52","Punto Fijo","Caracterizacion","Amazona farinosa",FALSE,52,4,0.4,NA,NA,88.7,0.6,47.3
"53","Punto Fijo","Caracterizacion","Empidonax virescens",FALSE,53,4,0.4,NA,NA,89.2,0.6,48.2
"54","Punto Fijo","Caracterizacion","Myiozetetes cayanensis",FALSE,54,4,0.4,NA,NA,89.6,0.6,49.1
"55","Punto Fijo","Caracterizacion","Vanellus chilensis",FALSE,55,4,0.4,NA,NA,90.1,0.6,50
"56","Punto Fijo","Caracterizacion","Ramphocelus dimidiatus",FALSE,56,3,0.3,NA,NA,90.4,0.5,50.9
"57","Punto Fijo","Caracterizacion","Saltator coerulescens",FALSE,57,3,0.3,NA,NA,90.7,0.5,51.8
"58","Punto Fijo","Caracterizacion","Chrysuronia goudoti",FALSE,58,3,0.3,NA,NA,91.1,0.5,52.7
"59","Punto Fijo","Caracterizacion","Thamnophilus doliatus",FALSE,59,3,0.3,NA,NA,91.4,0.5,53.6
"60","Punto Fijo","Caracterizacion","Ceratopipra erythrocephala",FALSE,60,3,0.3,NA,NA,91.7,0.5,54.5
"61","Punto Fijo","Caracterizacion","Herpetotheres cachinnans",FALSE,61,3,0.3,NA,NA,92.1,0.5,55.5
"62","Punto Fijo","Caracterizacion","Falco femoralis",FALSE,62,3,0.3,NA,NA,92.4,0.5,56.4
"63","Punto Fijo","Caracterizacion","Ictinia plumbea",FALSE,63,3,0.3,NA,NA,92.7,0.5,57.3
"64","Punto Fijo","Caracterizacion","Icterus nigrogularis",FALSE,64,3,0.3,NA,NA,93,0.5,58.2
"65","Punto Fijo","Caracterizacion","Sporophila minuta",FALSE,65,3,0.3,NA,NA,93.4,0.5,59.1
"66","Punto Fijo","Caracterizacion","Furnarius leucopus",FALSE,66,2,0.2,NA,NA,93.6,0.3,60
"67","Punto Fijo","Caracterizacion","Vireo olivaceus",FALSE,67,2,0.2,NA,NA,93.8,0.3,60.9
"68","Punto Fijo","Caracterizacion","Dendrocincla fuliginosa",FALSE,68,2,0.2,NA,NA,94,0.3,61.8
"69","Punto Fijo","Caracterizacion","Pachyramphus polychopterus",FALSE,69,2,0.2,NA,NA,94.3,0.3,62.7
"70","Punto Fijo","Caracterizacion","Phaethornis anthophilus",FALSE,70,2,0.2,NA,NA,94.5,0.3,63.6
"71","Punto Fijo","Caracterizacion","Elaenia flavogaster",FALSE,71,2,0.2,NA,NA,94.7,0.3,64.5
"72","Punto Fijo","Caracterizacion","Todirostrum cinereum",FALSE,72,2,0.2,NA,NA,94.9,0.3,65.5
"73","Punto Fijo","Caracterizacion","Phaethornis striigularis",FALSE,73,2,0.2,NA,NA,95.1,0.3,66.4
"74","Punto Fijo","Caracterizacion","Buteo nitidus",FALSE,74,2,0.2,NA,NA,95.4,0.3,67.3
"75","Punto Fijo","Caracterizacion","Sakesphorus canadensis",FALSE,75,2,0.2,NA,NA,95.6,0.3,68.2
"76","Punto Fijo","Caracterizacion","Cacicus cela",FALSE,76,2,0.2,NA,NA,95.8,0.3,69.1
"77","Punto Fijo","Caracterizacion","Patagioenas speciosa",FALSE,77,2,0.2,NA,NA,96,0.3,70
"78","Punto Fijo","Caracterizacion","Galbula ruficauda",FALSE,78,2,0.2,NA,NA,96.2,0.3,70.9
"79","Punto Fijo","Caracterizacion","Veniliornis kirkii",FALSE,79,2,0.2,NA,NA,96.5,0.3,71.8
"80","Punto Fijo","Caracterizacion","Piranga rubra",FALSE,80,2,0.2,NA,NA,96.7,0.3,72.7
"81","Punto Fijo","Caracterizacion","Schiffornis stenorhyncha",FALSE,81,1,0.1,NA,NA,96.8,0,73.6
"82","Punto Fijo","Caracterizacion","Myrmeciza longipes",FALSE,82,1,0.1,NA,NA,96.9,0,74.5
"83","Punto Fijo","Caracterizacion","Falco sparverius",FALSE,83,1,0.1,NA,NA,97,0,75.5
"84","Punto Fijo","Caracterizacion","Leistes militaris",FALSE,84,1,0.1,NA,NA,97.1,0,76.4
"85","Punto Fijo","Caracterizacion","Megaceryle torquata",FALSE,85,1,0.1,NA,NA,97.2,0,77.3
"86","Punto Fijo","Caracterizacion","Protonotaria citrea",FALSE,86,1,0.1,NA,NA,97.4,0,78.2
"87","Punto Fijo","Caracterizacion","Forpus conspicillatus",FALSE,87,1,0.1,NA,NA,97.5,0,79.1
"88","Punto Fijo","Caracterizacion","Phaeomyias murina",FALSE,88,1,0.1,NA,NA,97.6,0,80
"89","Punto Fijo","Caracterizacion","Setophaga fusca",FALSE,89,1,0.1,NA,NA,97.7,0,80.9
"90","Punto Fijo","Caracterizacion","Megarynchus pitangua",FALSE,90,1,0.1,NA,NA,97.8,0,81.8
"91","Punto Fijo","Caracterizacion","Florisuga mellivora",FALSE,91,1,0.1,NA,NA,97.9,0,82.7
"92","Punto Fijo","Caracterizacion","Chlorestes julie",FALSE,92,1,0.1,NA,NA,98,0,83.6
"93","Punto Fijo","Caracterizacion","Nyctibius grandis",FALSE,93,1,0.1,NA,NA,98.1,0,84.5
"94","Punto Fijo","Caracterizacion","Chlorostilbon gibsoni",FALSE,94,1,0.1,NA,NA,98.2,0,85.5
"95","Punto Fijo","Caracterizacion","Tyrannus savana",FALSE,95,1,0.1,NA,NA,98.3,0,86.4
"96","Punto Fijo","Caracterizacion","Camptostoma obsoletum",FALSE,96,1,0.1,NA,NA,98.5,0,87.3
"97","Punto Fijo","Caracterizacion","Euphonia laniirostris",FALSE,97,1,0.1,NA,NA,98.6,0,88.2
"98","Punto Fijo","Caracterizacion","Mesembrinibis cayennensis",FALSE,98,1,0.1,NA,NA,98.7,0,89.1
"99","Punto Fijo","Caracterizacion","Onychorhynchus coronatus",FALSE,99,1,0.1,NA,NA,98.8,0,90
"100","Punto Fijo","Caracterizacion","Dryocopus lineatus",FALSE,100,1,0.1,NA,NA,98.9,0,90.9
"101","Punto Fijo","Caracterizacion","Myiarchus tuberculifer",FALSE,101,1,0.1,NA,NA,99,0,91.8
"102","Punto Fijo","Caracterizacion","Legatus leucophaius",FALSE,102,1,0.1,NA,NA,99.1,0,92.7
"103","Punto Fijo","Caracterizacion","Nemosia pileata",FALSE,103,1,0.1,NA,NA,99.2,0,93.6
"104","Punto Fijo","Caracterizacion","Progne tapera",FALSE,104,1,0.1,NA,NA,99.3,0,94.5
"105","Punto Fijo","Caracterizacion","Anthracothorax nigricollis",FALSE,105,1,0.1,NA,NA,99.4,0,95.5
"106","Punto Fijo","Caracterizacion","Myiarchus tyrannulus",FALSE,106,1,0.1,NA,NA,99.6,0,96.4
"107","Punto Fijo","Caracterizacion","Eupsittula pertinax",FALSE,107,1,0.1,NA,NA,99.7,0,97.3
"108","Punto Fijo","Caracterizacion","Turdus nudigenis",FALSE,108,1,0.1,NA,NA,99.8,0,98.2
"109","Punto Fijo","Caracterizacion","Epinecrophylla fulviventris",FALSE,109,1,0.1,NA,NA,99.9,0,99.1
"110","Punto Fijo","Caracterizacion","Glyphorynchus spirurus",FALSE,110,1,0.1,NA,NA,100,0,100
"111","Punto Fijo","Kale","Progne tapera",TRUE,1,751,14,NA,NA,14,2.9,0.6
"112","Punto Fijo","Kale","Campylorhynchus griseus",TRUE,2,339,6.3,NA,NA,20.3,2.5,1.2
"113","Punto Fijo","Kale","Patagioenas cayennensis",TRUE,3,260,4.8,NA,NA,25.1,2.4,1.8
"114","Punto Fijo","Kale","Hirundo rustica",FALSE,4,248,4.6,NA,NA,29.7,2.4,2.3
"115","Punto Fijo","Kale","Crotophaga ani",FALSE,5,196,3.6,NA,NA,33.4,2.3,2.9
"116","Punto Fijo","Kale","Crotophaga major",FALSE,6,188,3.5,NA,NA,36.9,2.3,3.5
"117","Punto Fijo","Kale","Eupsittula pertinax",FALSE,7,148,2.8,NA,NA,39.6,2.2,4.1
"118","Punto Fijo","Kale","Bubulcus ibis",FALSE,8,145,2.7,NA,NA,42.3,2.2,4.7
"119","Punto Fijo","Kale","Pitangus sulphuratus",FALSE,9,138,2.6,NA,NA,44.9,2.1,5.3
"120","Punto Fijo","Kale","Milvago chimachima",FALSE,10,123,2.3,NA,NA,47.2,2.1,5.8
"121","Punto Fijo","Kale","Columbina talpacoti",FALSE,11,120,2.2,NA,NA,49.4,2.1,6.4
"122","Punto Fijo","Kale","Jacana jacana",FALSE,12,115,2.1,NA,NA,51.5,2.1,7
"123","Punto Fijo","Kale","Leptotila verreauxi",FALSE,13,107,2,NA,NA,53.5,2,7.6
"124","Punto Fijo","Kale","Tyrannus melancholicus",FALSE,14,102,1.9,NA,NA,55.4,2,8.2
"125","Punto Fijo","Kale","Quiscalus lugubris",FALSE,15,99,1.8,NA,NA,57.3,2,8.8
"126","Punto Fijo","Kale","Chrysomus icterocephalus",FALSE,16,94,1.7,NA,NA,59,2,9.4
"127","Punto Fijo","Kale","Ortalis garrula",FALSE,17,90,1.7,NA,NA,60.7,2,9.9
"128","Punto Fijo","Kale","Dendrocygna autumnalis",FALSE,18,83,1.5,NA,NA,62.2,1.9,10.5
"129","Punto Fijo","Kale","Thraupis palmarum",FALSE,19,75,1.4,NA,NA,63.6,1.9,11.1
"130","Punto Fijo","Kale","Thraupis episcopus",FALSE,20,72,1.3,NA,NA,64.9,1.9,11.7
"131","Punto Fijo","Kale","Rupornis magnirostris",FALSE,21,66,1.2,NA,NA,66.2,1.8,12.3
"132","Punto Fijo","Kale","Melanerpes rubricapillus",FALSE,22,64,1.2,NA,NA,67.4,1.8,12.9
"133","Punto Fijo","Kale","Ortalis columbiana",FALSE,23,53,1,NA,NA,68.4,1.7,13.5
"134","Punto Fijo","Kale","Manacus manacus",FALSE,24,50,0.9,NA,NA,69.3,1.7,14
"135","Punto Fijo","Kale","Phimosus infuscatus",FALSE,25,47,0.9,NA,NA,70.2,1.7,14.6
"136","Punto Fijo","Kale","Saltator coerulescens",FALSE,26,47,0.9,NA,NA,71,1.7,15.2
"137","Punto Fijo","Kale","Xiphorhynchus susurrans",FALSE,27,46,0.9,NA,NA,71.9,1.7,15.8
"138","Punto Fijo","Kale","Momotus subrufescens",FALSE,28,46,0.9,NA,NA,72.7,1.7,16.4
"139","Punto Fijo","Kale","Porphyrio martinica",FALSE,29,44,0.8,NA,NA,73.6,1.6,17
"140","Punto Fijo","Kale","Icterus nigrogularis",FALSE,30,43,0.8,NA,NA,74.4,1.6,17.5
"141","Punto Fijo","Kale","Poecilotriccus sylvia",FALSE,31,43,0.8,NA,NA,75.2,1.6,18.1
"142","Punto Fijo","Kale","Coereba flaveola",FALSE,32,42,0.8,NA,NA,75.9,1.6,18.7
"143","Punto Fijo","Kale","Thamnophilus nigriceps",FALSE,33,39,0.7,NA,NA,76.7,1.6,19.3
"144","Punto Fijo","Kale","Myiozetetes cayanensis",FALSE,34,38,0.7,NA,NA,77.4,1.6,19.9
"145","Punto Fijo","Kale","Ramphocelus dimidiatus",FALSE,35,36,0.7,NA,NA,78,1.6,20.5
"146","Punto Fijo","Kale","Fluvicola pica",FALSE,36,35,0.7,NA,NA,78.7,1.5,21.1
"147","Punto Fijo","Kale","Sporophila funerea",FALSE,37,34,0.6,NA,NA,79.3,1.5,21.6
"148","Punto Fijo","Kale","Euphonia laniirostris",FALSE,38,34,0.6,NA,NA,80,1.5,22.2
"149","Punto Fijo","Kale","Cercomacra nigricans",FALSE,39,34,0.6,NA,NA,80.6,1.5,22.8
"150","Punto Fijo","Kale","Crypturellus soui",FALSE,40,33,0.6,NA,NA,81.2,1.5,23.4
"151","Punto Fijo","Kale","Donacobius atricapilla",FALSE,41,33,0.6,NA,NA,81.8,1.5,24
"152","Punto Fijo","Kale","Certhiaxis cinnamomeus",FALSE,42,32,0.6,NA,NA,82.4,1.5,24.6
"153","Punto Fijo","Kale","Furnarius leucopus",FALSE,43,30,0.6,NA,NA,83,1.5,25.1
"154","Punto Fijo","Kale","Pteroglossus torquatus",FALSE,44,27,0.5,NA,NA,83.5,1.4,25.7
"155","Punto Fijo","Kale","Cantorchilus leucotis",FALSE,45,27,0.5,NA,NA,84,1.4,26.3
"156","Punto Fijo","Kale","Dendroplex picus",FALSE,46,25,0.5,NA,NA,84.4,1.4,26.9
"157","Punto Fijo","Kale","Sakesphorus canadensis",FALSE,47,25,0.5,NA,NA,84.9,1.4,27.5
"158","Punto Fijo","Kale","Tyrannus dominicensis",FALSE,48,24,0.4,NA,NA,85.3,1.4,28.1
"159","Punto Fijo","Kale","Megarynchus pitangua",FALSE,49,24,0.4,NA,NA,85.8,1.4,28.7
"160","Punto Fijo","Kale","Megaceryle torquata",FALSE,50,23,0.4,NA,NA,86.2,1.4,29.2
"161","Punto Fijo","Kale","Amazona amazonica",FALSE,51,23,0.4,NA,NA,86.6,1.4,29.8
"162","Punto Fijo","Kale","Ardea cocoi",FALSE,52,22,0.4,NA,NA,87.1,1.3,30.4
"163","Punto Fijo","Kale","Butorides striata",FALSE,53,21,0.4,NA,NA,87.4,1.3,31
"164","Punto Fijo","Kale","Aramides cajaneus",FALSE,54,19,0.4,NA,NA,87.8,1.3,31.6
"165","Punto Fijo","Kale","Chauna chavaria",FALSE,55,18,0.3,NA,NA,88.1,1.3,32.2
"166","Punto Fijo","Kale","Coragyps atratus",FALSE,56,18,0.3,NA,NA,88.5,1.3,32.7
"167","Punto Fijo","Kale","Camptostoma obsoletum",FALSE,57,18,0.3,NA,NA,88.8,1.3,33.3
"168","Punto Fijo","Kale","Formicivora grisea",FALSE,58,18,0.3,NA,NA,89.1,1.3,33.9
"169","Punto Fijo","Kale","Ardea alba",FALSE,59,17,0.3,NA,NA,89.5,1.2,34.5
"170","Punto Fijo","Kale","Hypnelus ruficollis",FALSE,60,16,0.3,NA,NA,89.8,1.2,35.1
"171","Punto Fijo","Kale","Elaenia flavogaster",FALSE,61,16,0.3,NA,NA,90.1,1.2,35.7
"172","Punto Fijo","Kale","Todirostrum cinereum",FALSE,62,16,0.3,NA,NA,90.3,1.2,36.3
"173","Punto Fijo","Kale","Vanellus chilensis",FALSE,63,15,0.3,NA,NA,90.6,1.2,36.8
"174","Punto Fijo","Kale","Legatus leucophaius",FALSE,64,15,0.3,NA,NA,90.9,1.2,37.4
"175","Punto Fijo","Kale","Colaptes punctigula",FALSE,65,13,0.2,NA,NA,91.1,1.1,38
"176","Punto Fijo","Kale","Egretta thula",FALSE,66,13,0.2,NA,NA,91.4,1.1,38.6
"177","Punto Fijo","Kale","Herpetotheres cachinnans",FALSE,67,13,0.2,NA,NA,91.6,1.1,39.2
"178","Punto Fijo","Kale","Pheugopedius fasciatoventris",FALSE,68,13,0.2,NA,NA,91.9,1.1,39.8
"179","Punto Fijo","Kale","Psarocolius decumanus",FALSE,69,12,0.2,NA,NA,92.1,1.1,40.4
"180","Punto Fijo","Kale","Setophaga castanea",FALSE,70,11,0.2,NA,NA,92.3,1,40.9
"181","Punto Fijo","Kale","Tyrannulus elatus",FALSE,71,11,0.2,NA,NA,92.5,1,41.5
"182","Punto Fijo","Kale","Chrysuronia goudoti",FALSE,72,11,0.2,NA,NA,92.7,1,42.1
"183","Punto Fijo","Kale","Myiodynastes maculatus",FALSE,73,11,0.2,NA,NA,92.9,1,42.7
