"","evenPer","order","observado","estimado","s.e.","LCL","UCL","parentEventID","grp","cmb_smpEf"
"1","_A_N_H___1_2_8___A___P_1_","Species richness",22,43.938,15.701,28.22,99.376,"ANH_128","PntFijo",NA
"2","_A_N_H___1_2_8___A___P_1_","Shannon diversity",15.143,27.181,5.89,15.636,38.725,"ANH_128","PntFijo",NA
"3","_A_N_H___1_2_8___A___P_1_","Simpson diversity",9.302,11.818,4.943,9.302,21.507,"ANH_128","PntFijo",NA
"4","_A_N_H___1_2_8___A___P_2_","Species richness",19,22.097,2.975,19.635,34.108,"ANH_128","PntFijo",NA
"5","_A_N_H___1_2_8___A___P_2_","Shannon diversity",17.823,26.611,3.557,19.639,33.583,"ANH_128","PntFijo",NA
"6","_A_N_H___1_2_8___A___P_2_","Simpson diversity",16.86,35.769,4.058,27.817,43.722,"ANH_128","PntFijo",NA
"7","_A_N_H___1_2_8___A___P_3_","Species richness",14,29.789,14.093,17.522,84.783,"ANH_128","PntFijo",NA
"8","_A_N_H___1_2_8___A___P_3_","Shannon diversity",12.834,29.026,12.774,12.834,54.063,"ANH_128","PntFijo",NA
"9","_A_N_H___1_2_8___A___P_3_","Simpson diversity",11.645,28.5,10.15,11.645,48.394,"ANH_128","PntFijo",NA
"10","_A_N_H___1_5_4___A___P_1_","Species richness",7,7.093,0.359,7.004,9.425,"ANH_154","PntFijo",NA
"11","_A_N_H___1_5_4___A___P_1_","Shannon diversity",6.743,8.59,1.584,6.743,11.695,"ANH_154","PntFijo",NA
"12","_A_N_H___1_5_4___A___P_1_","Simpson diversity",6.533,11.375,2.186,7.09,15.66,"ANH_154","PntFijo",NA
"13","_A_N_H___1_5_4___A___P_2_","Species richness",12,16.286,4.596,12.771,35.809,"ANH_154","PntFijo",NA
"14","_A_N_H___1_5_4___A___P_2_","Shannon diversity",10.585,16.265,3.283,10.585,22.699,"ANH_154","PntFijo",NA
"15","_A_N_H___1_5_4___A___P_2_","Simpson diversity",9.383,16.154,3.507,9.383,23.027,"ANH_154","PntFijo",NA
"16","_A_N_H___1_5_4___A___P_3_","Species richness",9,20.136,12.001,10.993,71.23,"ANH_154","PntFijo",NA
"17","_A_N_H___1_5_4___A___P_3_","Shannon diversity",8.549,21.892,10.844,8.549,43.145,"ANH_154","PntFijo",NA
"18","_A_N_H___1_5_4___A___P_3_","Simpson diversity",8.067,27.5,13.049,8.067,53.076,"ANH_154","PntFijo",NA
"19","_A_N_H___1_6_9___A___P_1_","Species richness",22,30.199,6.804,23.984,55.875,"ANH_169","PntFijo",NA
"20","_A_N_H___1_6_9___A___P_1_","Shannon diversity",14.521,19.047,2.636,14.521,24.214,"ANH_169","PntFijo",NA
"21","_A_N_H___1_6_9___A___P_1_","Simpson diversity",9.806,11.461,2.313,9.806,15.993,"ANH_169","PntFijo",NA
"22","_A_N_H___1_6_9___A___P_2_","Species richness",24,65.796,32.57,34.834,185.248,"ANH_169","PntFijo",NA
"23","_A_N_H___1_6_9___A___P_2_","Shannon diversity",17.263,31.962,9.571,17.263,50.721,"ANH_169","PntFijo",NA
"24","_A_N_H___1_6_9___A___P_2_","Simpson diversity",12.571,16.563,4.166,12.571,24.729,"ANH_169","PntFijo",NA
"25","_A_N_H___1_6_9___A___P_3_","Species richness",25,33.233,5.989,27.295,54.533,"ANH_169","PntFijo",NA
"26","_A_N_H___1_6_9___A___P_3_","Shannon diversity",23.083,37.668,4.868,28.127,47.208,"ANH_169","PntFijo",NA
"27","_A_N_H___1_6_9___A___P_3_","Simpson diversity",21.423,46.313,5.829,34.887,57.738,"ANH_169","PntFijo",NA
"28","_A_N_H___1_8_5___A___P_1_","Species richness",28,32.438,3.921,29.001,47.669,"ANH_185","PntFijo",NA
"29","_A_N_H___1_8_5___A___P_1_","Shannon diversity",22.854,29.34,2.807,23.838,34.842,"ANH_185","PntFijo",NA
"30","_A_N_H___1_8_5___A___P_1_","Simpson diversity",19.2,25.818,3.067,19.807,31.83,"ANH_185","PntFijo",NA
"31","_A_N_H___1_8_5___A___P_2_","Species richness",14,33.552,19.509,17.834,113.707,"ANH_185","PntFijo",NA
"32","_A_N_H___1_8_5___A___P_2_","Shannon diversity",10.043,17.496,5.474,10.043,28.225,"ANH_185","PntFijo",NA
