"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Bosque Abierto","Species richness",23,23,0,NA,NA,1,23,23,1,23,0,0,0,0,0,0,0,0,0
"2","Bosque Abierto","Shannon diversity",23,0,0,23,0,1,23,23,1,23,0,0,0,0,0,0,0,0,0
"3","Bosque Abierto","Simpson diversity",23,23,0,23,23,1,23,23,1,23,0,0,0,0,0,0,0,0,0
"4","Bosque Denso","Species richness",58,97.409,19.061,74.045,154.796,4,100,58,0.7203,34,11,8,5,0,0,0,0,0,0
"5","Bosque Denso","Shannon diversity",49.986,76.66,7.888,61.2,92.121,4,100,58,0.7203,34,11,8,5,0,0,0,0,0,0
"6","Bosque Denso","Simpson diversity",43.478,57.365,4.628,48.294,66.436,4,100,58,0.7203,34,11,8,5,0,0,0,0,0,0
"7","Bosque Ripario","Species richness",74,128.4,26.429,96.068,208.101,17,216,74,0.8482,34,10,8,7,3,1,3,5,2,1
"8","Bosque Ripario","Shannon diversity",53.722,71.556,5.486,60.803,82.308,17,216,74,0.8482,34,10,8,7,3,1,3,5,2,1
"9","Bosque Ripario","Simpson diversity",42.492,49.615,3.248,43.25,55.98,17,216,74,0.8482,34,10,8,7,3,1,3,5,2,1
"10","Cultivos","Species richness",9,9,0,NA,NA,1,9,9,1,9,0,0,0,0,0,0,0,0,0
"11","Cultivos","Shannon diversity",9,0,0,9,0,1,9,9,1,9,0,0,0,0,0,0,0,0,0
"12","Cultivos","Simpson diversity",9,9,0,9,9,1,9,9,1,9,0,0,0,0,0,0,0,0,0
"13","Herbazal","Species richness",36,36,0,NA,NA,1,36,36,1,36,0,0,0,0,0,0,0,0,0
"14","Herbazal","Shannon diversity",36,0,0,36,0,1,36,36,1,36,0,0,0,0,0,0,0,0,0
"15","Herbazal","Simpson diversity",36,36,0,36,36,1,36,36,1,36,0,0,0,0,0,0,0,0,0
"16","Palma","Species richness",34,55.125,12.065,41.456,93.85,2,42,34,0.6168,26,8,0,0,0,0,0,0,0,0
"17","Palma","Shannon diversity",32.253,55.125,5.636,44.079,66.171,2,42,34,0.6168,26,8,0,0,0,0,0,0,0,0
"18","Palma","Simpson diversity",30.414,54.312,5.436,43.658,64.967,2,42,34,0.6168,26,8,0,0,0,0,0,0,0,0
"19","Pastos","Species richness",96,128.455,14.776,109.862,171.982,22,360,96,0.9098,34,17,11,9,5,5,3,0,3,2
"20","Pastos","Shannon diversity",64.708,77.22,3.837,69.7,84.741,22,360,96,0.9098,34,17,11,9,5,5,3,0,3,2
"21","Pastos","Simpson diversity",47.542,52.186,2.798,47.542,57.671,22,360,96,0.9098,34,17,11,9,5,5,3,0,3,2
"22","Vegetacion Secundaria","Species richness",29,51.042,13.693,36.194,96.536,2,35,29,0.5682,23,6,0,0,0,0,0,0,0,0
"23","Vegetacion Secundaria","Shannon diversity",27.597,51.042,6.124,39.038,63.045,2,35,29,0.5682,23,6,0,0,0,0,0,0,0,0
"24","Vegetacion Secundaria","Simpson diversity",26.064,50.083,5.901,38.518,61.649,2,35,29,0.5682,23,6,0,0,0,0,0,0,0,0
"25","Vias","Species richness",94,137.826,16.953,115.08,185.114,8,185,94,0.7718,48,23,11,5,5,1,1,0,0,0
"26","Vias","Shannon diversity",77.706,112.128,7.146,98.122,126.133,8,185,94,0.7718,48,23,11,5,5,1,1,0,0,0
"27","Vias","Simpson diversity",64.698,86.709,5.355,76.213,97.205,8,185,94,0.7718,48,23,11,5,5,1,1,0,0,0
"28","Zonas Pantanosas","Species richness",102,143.481,17.583,120.701,194.014,15,324,102,0.884,40,18,12,13,2,6,1,1,2,3
"29","Zonas Pantanosas","Shannon diversity",72.275,89.552,4.961,79.828,99.275,15,324,102,0.884,40,18,12,13,2,6,1,1,2,3
"30","Zonas Pantanosas","Simpson diversity",54.561,61.114,2.942,55.348,66.879,15,324,102,0.884,40,18,12,13,2,6,1,1,2,3
