"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","grp","cmb_smpEf","verbatimLa","verbatimLo","decimalLat","decimalLon","GrupoBiolo","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_Kale","Dis_Plater","DisBosque","Dis_CobNat","Dis_Cienag","Dis_MGSG","Dis_Dre345","UCSuelo","Cobertura","CobAves","CobHerp","CobCopr","CobMarip","CobHorm","CobColl","CobMam","CobBot","Tam_Parche","Plataf","Dis_PlatEf","Orden","Dis_ViaPri","Dia_ViaSec","Red.Hidrica","CuerpAgua","NomCuerpAg","FInt19meanx","HEH18meanx"
"1","ANH_128","Species richness",33,42.633,6.383,35.953,64.43,"PntFijo",1,"7°19' 9,433"" N","73°42' 54,194"" W",7.31928697811,-73.7150539644,"Aves",2284.94001482,717.756889562,3263.65515554,5045.05336902,1730.19920269,14993.3124959,18842.8053136,37.5207111503,37.5207111503,13213.6834013,6834.00808806,3076.79827564,"LVBe3","Pastos","Pastos",NA,NA,NA,NA,NA,NA,NA,10.7040095489,"Caracterizacion",14993.3124959,0,764.574349067,5009.53711016,NA,NA,NA,1,NA
"2","ANH_128","Shannon diversity",29.837,39.771,4.744,30.473,49.069,"PntFijo",1,"7°19' 9,433"" N","73°42' 54,194"" W",7.31928697811,-73.7150539644,"Aves",2284.94001482,717.756889562,3263.65515554,5045.05336902,1730.19920269,14993.3124959,18842.8053136,37.5207111503,37.5207111503,13213.6834013,6834.00808806,3076.79827564,"LVBe3","Pastos","Pastos",NA,NA,NA,NA,NA,NA,NA,10.7040095489,"Caracterizacion",14993.3124959,0,764.574349067,5009.53711016,NA,NA,NA,1,NA
"3","ANH_128","Simpson diversity",27.252,35.69,3.078,29.658,41.723,"PntFijo",1,"7°19' 9,433"" N","73°42' 54,194"" W",7.31928697811,-73.7150539644,"Aves",2284.94001482,717.756889562,3263.65515554,5045.05336902,1730.19920269,14993.3124959,18842.8053136,37.5207111503,37.5207111503,13213.6834013,6834.00808806,3076.79827564,"LVBe3","Pastos","Pastos",NA,NA,NA,NA,NA,NA,NA,10.7040095489,"Caracterizacion",14993.3124959,0,764.574349067,5009.53711016,NA,NA,NA,1,NA
"4","ANH_154","Species richness",21,30.333,6.831,23.585,54.694,"PntFijo",1,"7°22' 48,698"" N","73°43' 54,340"" W",7.38019399369,-73.7317610253,"Aves",5675.6027399,630.641149147,2920.66892271,12014.1873655,2552.05590714,12444.789924,20196.8718305,67.8346020537,67.8346020537,6812.8819015,13699.0061305,2003.93643246,"LVBd2","Vias","Bosque Ripario",NA,NA,NA,NA,NA,NA,NA,841.669467865,"Caracterizacion",12444.789924,0,6129.53308166,6728.25516361,NA,NA,NA,11,NA
"5","ANH_154","Shannon diversity",19.799,32.122,5.059,22.206,42.037,"PntFijo",1,"7°22' 48,698"" N","73°43' 54,340"" W",7.38019399369,-73.7317610253,"Aves",5675.6027399,630.641149147,2920.66892271,12014.1873655,2552.05590714,12444.789924,20196.8718305,67.8346020537,67.8346020537,6812.8819015,13699.0061305,2003.93643246,"LVBd2","Vias","Bosque Ripario",NA,NA,NA,NA,NA,NA,NA,841.669467865,"Caracterizacion",12444.789924,0,6129.53308166,6728.25516361,NA,NA,NA,11,NA
"6","ANH_154","Simpson diversity",18.667,36.333,5.479,25.595,47.072,"PntFijo",1,"7°22' 48,698"" N","73°43' 54,340"" W",7.38019399369,-73.7317610253,"Aves",5675.6027399,630.641149147,2920.66892271,12014.1873655,2552.05590714,12444.789924,20196.8718305,67.8346020537,67.8346020537,6812.8819015,13699.0061305,2003.93643246,"LVBd2","Vias","Bosque Ripario",NA,NA,NA,NA,NA,NA,NA,841.669467865,"Caracterizacion",12444.789924,0,6129.53308166,6728.25516361,NA,NA,NA,11,NA
"7","ANH_169","Species richness",44,53.49,5.582,47.26,71.623,"PntFijo",1,"7°24' 19,904"" N","73°51' 49,795"" W",7.40552896658,-73.8638319913,"Aves",3077.86632622,254.948154347,1272.5170015,1272.5170015,7826.28457048,2674.12413699,14892.5475522,9.51325401912,9.51325401912,5337.00382746,3190.17558074,1707.39924414,"PVAa","Vias","Bosque Abierto",NA,NA,NA,NA,NA,NA,NA,841.669467865,"Kale",2674.12413699,0,2942.88862544,4659.65721021,NA,NA,NA,1,NA
"8","ANH_169","Shannon diversity",40.393,53.124,4.472,44.358,61.889,"PntFijo",1,"7°24' 19,904"" N","73°51' 49,795"" W",7.40552896658,-73.8638319913,"Aves",3077.86632622,254.948154347,1272.5170015,1272.5170015,7826.28457048,2674.12413699,14892.5475522,9.51325401912,9.51325401912,5337.00382746,3190.17558074,1707.39924414,"PVAa","Vias","Bosque Abierto",NA,NA,NA,NA,NA,NA,NA,841.669467865,"Kale",2674.12413699,0,2942.88862544,4659.65721021,NA,NA,NA,1,NA
"9","ANH_169","Simpson diversity",37.341,52.104,3.579,45.09,59.119,"PntFijo",1,"7°24' 19,904"" N","73°51' 49,795"" W",7.40552896658,-73.8638319913,"Aves",3077.86632622,254.948154347,1272.5170015,1272.5170015,7826.28457048,2674.12413699,14892.5475522,9.51325401912,9.51325401912,5337.00382746,3190.17558074,1707.39924414,"PVAa","Vias","Bosque Abierto",NA,NA,NA,NA,NA,NA,NA,841.669467865,"Kale",2674.12413699,0,2942.88862544,4659.65721021,NA,NA,NA,1,NA
"10","ANH_185","Species richness",40,62.042,12.933,47.59,104.009,"PntFijo",1,"7°13' 50,041"" N","73°49' 49,865"" W",7.23056700024,-73.830518,"Aves",1374.29236157,178.834314426,3120.2334641,3485.35705191,4165.73246902,14427.1177129,5943.99253613,18.2104160256,18.2104160256,8285.07904626,30.5536400594,7502.62396414,"PVAa","Pastos","Pastos",NA,NA,NA,NA,NA,NA,NA,21.2723623644,"Platero",5943.99253613,0,416.817067356,620.788127381,NA,NA,NA,1,NA
