"","evenPer","order","observado","estimado","s.e.","LCL","UCL","parentEventID","grp","cmb_smpEf"
"1","_A_N_H___1_2_8___A___P_1_","Species richness",22,43.938,15.701,28.22,99.376,"ANH_128","PntFijo",1
"2","_A_N_H___1_2_8___A___P_1_","Shannon diversity",15.143,27.181,8.248,15.143,43.346,"ANH_128","PntFijo",1
"3","_A_N_H___1_2_8___A___P_1_","Simpson diversity",9.302,11.818,4.461,9.302,20.562,"ANH_128","PntFijo",1
"4","_A_N_H___1_2_8___A___P_2_","Species richness",19,22.097,2.975,19.635,34.108,"ANH_128","PntFijo",1
"5","_A_N_H___1_2_8___A___P_2_","Shannon diversity",17.823,26.611,3.379,19.989,33.233,"ANH_128","PntFijo",1
"6","_A_N_H___1_2_8___A___P_2_","Simpson diversity",16.86,35.769,4.003,27.923,43.616,"ANH_128","PntFijo",1
"7","_A_N_H___1_2_8___A___P_3_","Species richness",14,29.789,14.093,17.522,84.783,"ANH_128","PntFijo",1
"8","_A_N_H___1_2_8___A___P_3_","Shannon diversity",12.834,29.026,12.057,12.834,52.657,"ANH_128","PntFijo",1
"9","_A_N_H___1_2_8___A___P_3_","Simpson diversity",11.645,28.5,9.368,11.645,46.86,"ANH_128","PntFijo",1
"10","_A_N_H___1_5_4___A___P_1_","Species richness",7,7.093,0.359,7.004,9.425,"ANH_154","PntFijo",1
"11","_A_N_H___1_5_4___A___P_1_","Shannon diversity",6.743,8.59,1.864,6.743,12.243,"ANH_154","PntFijo",1
"12","_A_N_H___1_5_4___A___P_1_","Simpson diversity",6.533,11.375,2.094,7.271,15.479,"ANH_154","PntFijo",1
"13","_A_N_H___1_5_4___A___P_2_","Species richness",12,16.286,4.596,12.771,35.809,"ANH_154","PntFijo",1
"14","_A_N_H___1_5_4___A___P_2_","Shannon diversity",10.585,16.265,3.156,10.585,22.45,"ANH_154","PntFijo",1
"15","_A_N_H___1_5_4___A___P_2_","Simpson diversity",9.383,16.154,3.582,9.383,23.174,"ANH_154","PntFijo",1
"16","_A_N_H___1_5_4___A___P_3_","Species richness",9,20.136,12.001,10.993,71.23,"ANH_154","PntFijo",1
"17","_A_N_H___1_5_4___A___P_3_","Shannon diversity",8.549,21.892,13.134,8.549,47.635,"ANH_154","PntFijo",1
"18","_A_N_H___1_5_4___A___P_3_","Simpson diversity",8.067,27.5,11.538,8.067,50.115,"ANH_154","PntFijo",1
"19","_A_N_H___1_6_9___A___P_1_","Species richness",22,30.199,6.804,23.984,55.875,"ANH_169","PntFijo",1
"20","_A_N_H___1_6_9___A___P_1_","Shannon diversity",14.521,19.047,2.824,14.521,24.582,"ANH_169","PntFijo",1
"21","_A_N_H___1_6_9___A___P_1_","Simpson diversity",9.806,11.461,2.274,9.806,15.917,"ANH_169","PntFijo",1
"22","_A_N_H___1_6_9___A___P_2_","Species richness",24,65.796,32.57,34.834,185.248,"ANH_169","PntFijo",1
"23","_A_N_H___1_6_9___A___P_2_","Shannon diversity",17.263,31.962,8.492,17.263,48.605,"ANH_169","PntFijo",1
"24","_A_N_H___1_6_9___A___P_2_","Simpson diversity",12.571,16.563,4.714,12.571,25.803,"ANH_169","PntFijo",1
"25","_A_N_H___1_6_9___A___P_3_","Species richness",25,33.233,5.989,27.295,54.533,"ANH_169","PntFijo",1
"26","_A_N_H___1_6_9___A___P_3_","Shannon diversity",23.083,37.668,4.911,28.042,47.293,"ANH_169","PntFijo",1
"27","_A_N_H___1_6_9___A___P_3_","Simpson diversity",21.423,46.313,5.18,36.161,56.464,"ANH_169","PntFijo",1
"28","_A_N_H___1_8_5___A___P_1_","Species richness",28,32.438,3.921,29.001,47.669,"ANH_185","PntFijo",1
"29","_A_N_H___1_8_5___A___P_1_","Shannon diversity",22.854,29.34,3.131,23.203,35.478,"ANH_185","PntFijo",1
"30","_A_N_H___1_8_5___A___P_1_","Simpson diversity",19.2,25.818,2.858,20.217,31.419,"ANH_185","PntFijo",1
"31","_A_N_H___1_8_5___A___P_2_","Species richness",14,33.552,19.509,17.834,113.707,"ANH_185","PntFijo",1
"32","_A_N_H___1_8_5___A___P_2_","Shannon diversity",10.043,17.496,6.424,10.043,30.088,"ANH_185","PntFijo",1
"33","_A_N_H___1_8_5___A___P_2_","Simpson diversity",7.313,9.442,3.089,7.313,15.497,"ANH_185","PntFijo",1
"34","_A_N_H___1_8_5___A___P_3_","Species richness",24,30.12,5.078,25.481,49.28,"ANH_185","PntFijo",1
"35","_A_N_H___1_8_5___A___P_3_","Shannon diversity",20.615,29.353,3.73,22.043,36.664,"ANH_185","PntFijo",1
