"","samplingProtocol","Grouping","species","labelit","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"1","Punto Fijo","Caracterizacion","Crotophaga ani",TRUE,1,49,9.8,NA,NA,9.8,1.7,1.2
"2","Punto Fijo","Caracterizacion","Milvago chimachima",TRUE,2,25,5,NA,NA,14.8,1.4,2.5
"3","Punto Fijo","Caracterizacion","Leptotila verreauxi",TRUE,3,25,5,NA,NA,19.8,1.4,3.7
"4","Punto Fijo","Caracterizacion","Campylorhynchus griseus",FALSE,4,23,4.6,NA,NA,24.4,1.4,4.9
"5","Punto Fijo","Caracterizacion","Coereba flaveola",FALSE,5,19,3.8,NA,NA,28.1,1.3,6.2
"6","Punto Fijo","Caracterizacion","Poecilotriccus sylvia",FALSE,6,17,3.4,NA,NA,31.5,1.2,7.4
"7","Punto Fijo","Caracterizacion","Columbina talpacoti",FALSE,7,17,3.4,NA,NA,34.9,1.2,8.6
"8","Punto Fijo","Caracterizacion","Bubulcus ibis",FALSE,8,16,3.2,NA,NA,38.1,1.2,9.9
"9","Punto Fijo","Caracterizacion","Manacus manacus",FALSE,9,15,3,NA,NA,41.1,1.2,11.1
"10","Punto Fijo","Caracterizacion","Crotophaga major",FALSE,10,15,3,NA,NA,44.1,1.2,12.3
"11","Punto Fijo","Caracterizacion","Tyrannus melancholicus",FALSE,11,14,2.8,NA,NA,46.9,1.1,13.6
"12","Punto Fijo","Caracterizacion","Chrysolampis mosquitus",FALSE,12,13,2.6,NA,NA,49.5,1.1,14.8
"13","Punto Fijo","Caracterizacion","Rupornis magnirostris",FALSE,13,13,2.6,NA,NA,52.1,1.1,16
"14","Punto Fijo","Caracterizacion","Psarocolius decumanus",FALSE,14,12,2.4,NA,NA,54.5,1.1,17.3
"15","Punto Fijo","Caracterizacion","Crypturellus soui",FALSE,15,12,2.4,NA,NA,56.9,1.1,18.5
"16","Punto Fijo","Caracterizacion","Cathartes burrovianus",FALSE,16,11,2.2,NA,NA,59.1,1,19.8
"17","Punto Fijo","Caracterizacion","Patagioenas cayennensis",FALSE,17,10,2,NA,NA,61.1,1,21
"18","Punto Fijo","Caracterizacion","Coragyps atratus",FALSE,18,10,2,NA,NA,63.1,1,22.2
"19","Punto Fijo","Caracterizacion","Sporophila funerea",FALSE,19,10,2,NA,NA,65.1,1,23.5
"20","Punto Fijo","Caracterizacion","Cathartes aura",FALSE,20,9,1.8,NA,NA,66.9,1,24.7
"21","Punto Fijo","Caracterizacion","Ortalis columbiana",FALSE,21,9,1.8,NA,NA,68.7,1,25.9
"22","Punto Fijo","Caracterizacion","Thraupis palmarum",FALSE,22,8,1.6,NA,NA,70.3,0.9,27.2
"23","Punto Fijo","Caracterizacion","Columbina minuta",FALSE,23,8,1.6,NA,NA,71.9,0.9,28.4
"24","Punto Fijo","Caracterizacion","Formicivora grisea",FALSE,24,7,1.4,NA,NA,73.3,0.8,29.6
