"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Bosque Abierto","Species richness",89,124.294,15.269,104.672,168.482,4,191,89,0.8368,40,17,11,21,0,0,0,0,0,0
"2","Bosque Abierto","Shannon diversity",75.898,97.067,6.318,84.683,109.45,4,191,89,0.8368,40,17,11,21,0,0,0,0,0,0
"3","Bosque Abierto","Simpson diversity",67.184,77.572,3.895,69.939,85.206,4,191,89,0.8368,40,17,11,21,0,0,0,0,0,0
"4","Bosque Denso","Species richness",30,54,14.697,37.941,102.537,2,36,30,0.5556,24,6,0,0,0,0,0,0,0,0
"5","Bosque Denso","Shannon diversity",28.573,54,5.839,42.556,65.444,2,36,30,0.5556,24,6,0,0,0,0,0,0,0,0
"6","Bosque Denso","Simpson diversity",27,53,6.238,40.773,65.227,2,36,30,0.5556,24,6,0,0,0,0,0,0,0,0
"7","Bosque Ripario","Species richness",114,168.945,23.927,138.279,238.345,26,566,114,0.9313,40,14,14,5,6,5,3,4,2,3
"8","Bosque Ripario","Shannon diversity",72.254,83.248,3.281,76.817,89.678,26,566,114,0.9313,40,14,14,5,6,5,3,4,2,3
"9","Bosque Ripario","Simpson diversity",54.987,58.497,2.378,54.987,63.158,26,566,114,0.9313,40,14,14,5,6,5,3,4,2,3
"10","Herbazal","Species richness",81,127.875,18.235,103.46,178.831,4,129,81,0.694,50,20,5,6,0,0,0,0,0,0
"11","Herbazal","Shannon diversity",70.755,111.284,8.642,94.346,128.222,4,129,81,0.694,50,20,5,6,0,0,0,0,0,0
"12","Herbazal","Simpson diversity",61.406,87.461,5.979,75.743,99.18,4,129,81,0.694,50,20,5,6,0,0,0,0,0,0
"13","Palma","Species richness",79,105.453,12.17,90.208,141.437,13,235,79,0.8719,33,19,10,2,2,2,3,1,2,0
"14","Palma","Shannon diversity",54.393,67.65,4.034,59.744,75.557,13,235,79,0.8719,33,19,10,2,2,2,3,1,2,0
"15","Palma","Simpson diversity",40.047,44.448,2.625,40.047,49.592,13,235,79,0.8719,33,19,10,2,2,2,3,1,2,0
"16","Pastos","Species richness",50,109.259,28.295,74.378,194.048,3,61,50,0.4647,40,9,1,0,0,0,0,0,0,0
"17","Pastos","Shannon diversity",47.102,107.745,18.251,71.973,143.517,3,61,50,0.4647,40,9,1,0,0,0,0,0,0,0
"18","Pastos","Simpson diversity",43.776,102,11.561,79.341,124.659,3,61,50,0.4647,40,9,1,0,0,0,0,0,0,0
