"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Bosque Abierto","Species richness",67,67,0,NA,NA,1,67,67,1,67,0,0,0,0,0,0,0,0,0
"2","Bosque Abierto","Shannon diversity",67,0,0,67,0,1,67,67,1,67,0,0,0,0,0,0,0,0,0
"3","Bosque Abierto","Simpson diversity",67,67,0,67,67,1,67,67,1,67,0,0,0,0,0,0,0,0,0
"4","Bosque Denso","Species richness",52,85.333,15.396,66.079,130.92,2,64,52,0.6094,40,12,0,0,0,0,0,0,0,0
"5","Bosque Denso","Shannon diversity",49.351,85.333,7.061,71.494,99.173,2,64,52,0.6094,40,12,0,0,0,0,0,0,0,0
"6","Bosque Denso","Simpson diversity",46.545,84.5,7.146,70.494,98.506,2,64,52,0.6094,40,12,0,0,0,0,0,0,0,0
"7","Bosque Ripario","Species richness",64,101.5,16.31,80.586,148.788,4,97,64,0.6744,40,16,7,1,0,0,0,0,0,0
"8","Bosque Ripario","Shannon diversity",57.457,93.417,8.668,76.428,110.407,4,97,64,0.6744,40,16,7,1,0,0,0,0,0,0
"9","Bosque Ripario","Simpson diversity",51.415,81.459,6.081,69.54,93.379,4,97,64,0.6744,40,16,7,1,0,0,0,0,0,0
"10","Cienaga","Species richness",97,135.812,17.33,113.828,186.518,24,385,97,0.91,36,16,7,7,7,3,4,2,4,4
"11","Cienaga","Shannon diversity",65.769,78.328,3.745,70.988,85.668,24,385,97,0.91,36,16,7,7,7,3,4,2,4,4
"12","Cienaga","Simpson diversity",50.71,55.865,2.729,50.71,61.214,24,385,97,0.91,36,16,7,7,7,3,4,2,4,4
"13","Cultivos","Species richness",21,21,0,NA,NA,1,21,21,1,21,0,0,0,0,0,0,0,0,0
"14","Cultivos","Shannon diversity",21,0,0,21,0,1,21,21,1,21,0,0,0,0,0,0,0,0,0
"15","Cultivos","Simpson diversity",21,21,0,21,21,1,21,21,1,21,0,0,0,0,0,0,0,0,0
"16","Herbazal","Species richness",37,37,0,NA,NA,1,37,37,1,37,0,0,0,0,0,0,0,0,0
"17","Herbazal","Shannon diversity",37,0,0,37,0,1,37,37,1,37,0,0,0,0,0,0,0,0,0
"18","Herbazal","Simpson diversity",37,37,0,37,37,1,37,37,1,37,0,0,0,0,0,0,0,0,0
"19","Palma","Species richness",30,240.25,224.75,67.99,1193.595,2,31,30,0.1249,29,1,0,0,0,0,0,0,0,0
"20","Palma","Shannon diversity",29.644,240.25,75.979,91.335,389.165,2,31,30,0.1249,29,1,0,0,0,0,0,0,0,0
"21","Palma","Simpson diversity",29.121,233,78.631,78.886,387.114,2,31,30,0.1249,29,1,0,0,0,0,0,0,0,0
"22","Pastos","Species richness",90,117.355,12.548,101.617,154.417,22,331,90,0.9055,33,19,7,5,6,5,3,3,0,2
"23","Pastos","Shannon diversity",60.775,72.581,3.662,65.404,79.759,22,331,90,0.9055,33,19,7,5,6,5,3,3,0,2
"24","Pastos","Simpson diversity",45.518,50.269,2.776,45.518,55.711,22,331,90,0.9055,33,19,7,5,6,5,3,3,0,2
"25","Vegetacion Secundaria","Species richness",16,72.25,63.75,25.472,350.034,2,17,16,0.2215,15,1,0,0,0,0,0,0,0,0
"26","Vegetacion Secundaria","Shannon diversity",15.669,72.25,23.005,27.161,117.339,2,17,16,0.2215,15,1,0,0,0,0,0,0,0,0
"27","Vegetacion Secundaria","Simpson diversity",15.211,68.5,25.577,18.37,118.63,2,17,16,0.2215,15,1,0,0,0,0,0,0,0,0
"28","Vias","Species richness",85,183,38.341,131.773,290.333,8,141,85,0.6293,56,14,7,6,0,2,0,0,0,0
"29","Vias","Shannon diversity",70.742,131.69,13.72,104.8,158.58,8,141,85,0.6293,56,14,7,6,0,2,0,0,0,0
"30","Vias","Simpson diversity",57.962,85.632,9.531,66.951,104.313,8,141,85,0.6293,56,14,7,6,0,2,0,0,0,0
"31","Zonas Pantanosas","Species richness",106,130.067,10.282,116.787,159.697,15,306,106,0.8876,38,28,14,9,4,2,0,5,3,1
"32","Zonas Pantanosas","Shannon diversity",78.26,96.5,4.478,87.723,105.276,15,306,106,0.8876,38,28,14,9,4,2,0,5,3,1
"33","Zonas Pantanosas","Simpson diversity",59.717,69.09,3.609,62.017,76.164,15,306,106,0.8876,38,28,14,9,4,2,0,5,3,1
