"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","Dis_Cienag","Dis_MGSG","Dis_Dre345","DisBosque","Dis_CobNat","Tam_Parche","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_ViaPri","Dia_ViaSec","Plataf","CobAves","samplEff.1"
"1","ANH_233","Species richness",19,21.462,2.92,19.392,34.449,5379.68543904,6012.21972206,3233.15925952,9.87933466837,9.87933466837,14.4854172386,4573.89251524,2713.8761345,2594.03763311,6536.90548338,4741.493095,2723.32027248,3088.85023849,"Platero","Bosque Ripario",1
"2","ANH_233","Shannon diversity",14.542,17.319,1.756,14.542,20.76,5379.68543904,6012.21972206,3233.15925952,9.87933466837,9.87933466837,14.4854172386,4573.89251524,2713.8761345,2594.03763311,6536.90548338,4741.493095,2723.32027248,3088.85023849,"Platero","Bosque Ripario",1
"3","ANH_233","Simpson diversity",11.902,14.3,1.755,11.902,17.739,5379.68543904,6012.21972206,3233.15925952,9.87933466837,9.87933466837,14.4854172386,4573.89251524,2713.8761345,2594.03763311,6536.90548338,4741.493095,2723.32027248,3088.85023849,"Platero","Bosque Ripario",1
"4","ANH_236","Species richness",28,37.997,8.911,30.233,72.745,5788.55708149,8936.35853188,1741.34356311,123.630553496,123.630553496,70.602036402,2486.97544432,275.818502102,6710.999983,6710.999983,2245.29378354,2570.77780528,1867.44389654,"Kale","Bosque Ripario",1
"5","ANH_236","Shannon diversity",23.039,29.849,3.071,23.831,35.868,5788.55708149,8936.35853188,1741.34356311,123.630553496,123.630553496,70.602036402,2486.97544432,275.818502102,6710.999983,6710.999983,2245.29378354,2570.77780528,1867.44389654,"Kale","Bosque Ripario",1
"6","ANH_236","Simpson diversity",19.688,25.891,3.395,19.688,32.546,5788.55708149,8936.35853188,1741.34356311,123.630553496,123.630553496,70.602036402,2486.97544432,275.818502102,6710.999983,6710.999983,2245.29378354,2570.77780528,1867.44389654,"Kale","Bosque Ripario",1
"7","ANH_254","Species richness",14,53.536,47.93,20.132,268.89,5705.56410793,2635.76186588,7125.46055163,714.845968573,443.60194045,311.763235134,2136.17242517,2514.72549043,1615.86098806,5339.54788452,6553.52940856,2288.79147995,333.031875501,"Platero","Palma",1
"8","ANH_254","Shannon diversity",8.211,13.213,4.202,8.211,21.449,5705.56410793,2635.76186588,7125.46055163,714.845968573,443.60194045,311.763235134,2136.17242517,2514.72549043,1615.86098806,5339.54788452,6553.52940856,2288.79147995,333.031875501,"Platero","Palma",1
"9","ANH_254","Simpson diversity",5.727,6.474,1.637,5.727,9.682,5705.56410793,2635.76186588,7125.46055163,714.845968573,443.60194045,311.763235134,2136.17242517,2514.72549043,1615.86098806,5339.54788452,6553.52940856,2288.79147995,333.031875501,"Platero","Palma",1
"10","ANH_282","Species richness",25,33.483,6.703,27.166,58.221,1122.43409568,9130.72319884,2191.67035454,1.51836655495,1.51836655495,9.32914430345,3530.95498214,461.029920346,5779.2046379,6588.77394878,7694.27559109,5858.70782428,3170.62739034,"Kale","Herbazal",1
"11","ANH_282","Shannon diversity",20.719,29.333,3.549,22.378,36.288,1122.43409568,9130.72319884,2191.67035454,1.51836655495,1.51836655495,9.32914430345,3530.95498214,461.029920346,5779.2046379,6588.77394878,7694.27559109,5858.70782428,3170.62739034,"Kale","Herbazal",1
"12","ANH_282","Simpson diversity",17.566,25.554,3.602,18.494,32.613,1122.43409568,9130.72319884,2191.67035454,1.51836655495,1.51836655495,9.32914430345,3530.95498214,461.029920346,5779.2046379,6588.77394878,7694.27559109,5858.70782428,3170.62739034,"Kale","Herbazal",1
"13","ANH_361","Species richness",26,34.229,6.827,27.992,59.987,2558.12280081,7919.36379771,2420.237958,0,0,218.109366834,4178.65045516,1053.05538182,4972.97267668,4972.97267668,7889.33511467,5862.54041648,2947.58098365,"Kale","Bosque Ripario",1
"14","ANH_361","Shannon diversity",17.792,22.54,2.601,17.792,27.637,2558.12280081,7919.36379771,2420.237958,0,0,218.109366834,4178.65045516,1053.05538182,4972.97267668,4972.97267668,7889.33511467,5862.54041648,2947.58098365,"Kale","Bosque Ripario",1
"15","ANH_361","Simpson diversity",12.214,14.234,2.833,12.214,19.786,2558.12280081,7919.36379771,2420.237958,0,0,218.109366834,4178.65045516,1053.05538182,4972.97267668,4972.97267668,7889.33511467,5862.54041648,2947.58098365,"Kale","Bosque Ripario",1
"16","ANH_218","Species richness",11,18.795,11.372,11.961,74.218,2021.37946113,5126.05882783,300.6829539,296.654989305,83.4001852686,339.461567954,2989.69702765,366.124837699,4543.75243392,4543.75243392,2783.04555952,2977.12608219,1940.21570821,"Kale","Palma",1
"17","ANH_218","Shannon diversity",8.629,10.896,2.095,8.629,15.003,2021.37946113,5126.05882783,300.6829539,296.654989305,83.4001852686,339.461567954,2989.69702765,366.124837699,4543.75243392,4543.75243392,2783.04555952,2977.12608219,1940.21570821,"Kale","Palma",1
