"","samplingProtocol","Grouping","species","labelit","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"1","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Jacana jacana",TRUE,1,5,13.9,NA,NA,13.9,0.7,5
"2","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Columbina talpacoti",TRUE,2,4,11.1,NA,NA,25,0.6,10
"3","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Patagioenas cayennensis",TRUE,3,3,8.3,NA,NA,33.3,0.5,15
"4","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Leptotila verreauxi",FALSE,4,3,8.3,NA,NA,41.7,0.5,20
"5","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Hypnelus ruficollis",FALSE,5,2,5.6,NA,NA,47.2,0.3,25
"6","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Sakesphorus canadensis",FALSE,6,2,5.6,NA,NA,52.8,0.3,30
"7","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Pitangus sulphuratus",FALSE,7,2,5.6,NA,NA,58.3,0.3,35
"8","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Crotophaga ani",FALSE,8,2,5.6,NA,NA,63.9,0.3,40
"9","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Donacobius atricapilla",FALSE,9,2,5.6,NA,NA,69.4,0.3,45
"10","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Milvago chimachima",FALSE,10,1,2.8,NA,NA,72.2,0,50
"11","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Fluvicola pica",FALSE,11,1,2.8,NA,NA,75,0,55
"12","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Sporophila intermedia",FALSE,12,1,2.8,NA,NA,77.8,0,60
"13","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Sporophila funerea",FALSE,13,1,2.8,NA,NA,80.6,0,65
"14","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Ardea cocoi",FALSE,14,1,2.8,NA,NA,83.3,0,70
"15","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Cantorchilus leucotis",FALSE,15,1,2.8,NA,NA,86.1,0,75
"16","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Todirostrum cinereum",FALSE,16,1,2.8,NA,NA,88.9,0,80
"17","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Protonotaria citrea",FALSE,17,1,2.8,NA,NA,91.7,0,85
"18","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Campylorhynchus griseus",FALSE,18,1,2.8,NA,NA,94.4,0,90
"19","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Pachyramphus cinnamomeus",FALSE,19,1,2.8,NA,NA,97.2,0,95
"20","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_1_","Chrysomus icterocephalus",FALSE,20,1,2.8,NA,NA,100,0,100
"21","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_2_","Crotophaga major",TRUE,1,7,19.4,NA,NA,19.4,0.8,5
"22","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_2_","Butorides striata",TRUE,2,3,8.3,NA,NA,27.8,0.5,10
"23","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_2_","Aramides cajaneus",TRUE,3,3,8.3,NA,NA,36.1,0.5,15
"24","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_2_","Megaceryle torquata",FALSE,4,3,8.3,NA,NA,44.4,0.5,20
"25","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_2_","Ardea alba",FALSE,5,2,5.6,NA,NA,50,0.3,25
"26","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_2_","Patagioenas cayennensis",FALSE,6,2,5.6,NA,NA,55.6,0.3,30
"27","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_2_","Porphyrio martinica",FALSE,7,2,5.6,NA,NA,61.1,0.3,35
"28","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_2_","Stelgidopteryx ruficollis",FALSE,8,2,5.6,NA,NA,66.7,0.3,40
"29","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_2_","Troglodytes aedon",FALSE,9,1,2.8,NA,NA,69.4,0,45
"30","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_2_","Ardea cocoi",FALSE,10,1,2.8,NA,NA,72.2,0,50
"31","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_2_","Chloroceryle amazona",FALSE,11,1,2.8,NA,NA,75,0,55
"32","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_2_","Butorides virescens",FALSE,12,1,2.8,NA,NA,77.8,0,60
"33","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_2_","Setophaga petechia",FALSE,13,1,2.8,NA,NA,80.6,0,65
"34","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_2_","Coragyps atratus",FALSE,14,1,2.8,NA,NA,83.3,0,70
"35","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_2_","Legatus leucophaius",FALSE,15,1,2.8,NA,NA,86.1,0,75
"36","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_2_","Megarynchus pitangua",FALSE,16,1,2.8,NA,NA,88.9,0,80
"37","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_2_","Myiozetetes similis",FALSE,17,1,2.8,NA,NA,91.7,0,85
"38","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_2_","Tigrisoma lineatum",FALSE,18,1,2.8,NA,NA,94.4,0,90
"39","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_2_","Chaetura brachyura",FALSE,19,1,2.8,NA,NA,97.2,0,95
"40","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_2_","Tyrannulus elatus",FALSE,20,1,2.8,NA,NA,100,0,100
"41","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_3_","Eupsittula pertinax",TRUE,1,5,9.8,NA,NA,9.8,0.7,3.4
"42","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_3_","Thraupis palmarum",TRUE,2,4,7.8,NA,NA,17.6,0.6,6.9
"43","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_3_","Sakesphorus canadensis",TRUE,3,3,5.9,NA,NA,23.5,0.5,10.3
"44","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_3_","Colaptes punctigula",FALSE,4,3,5.9,NA,NA,29.4,0.5,13.8
"45","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_3_","Thraupis episcopus",FALSE,5,3,5.9,NA,NA,35.3,0.5,17.2
"46","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_3_","Herpetotheres cachinnans",FALSE,6,3,5.9,NA,NA,41.2,0.5,20.7
"47","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_3_","Campylorhynchus griseus",FALSE,7,3,5.9,NA,NA,47.1,0.5,24.1
"48","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_3_","Hypnelus ruficollis",FALSE,8,2,3.9,NA,NA,51,0.3,27.6
"49","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_3_","Pitangus sulphuratus",FALSE,9,2,3.9,NA,NA,54.9,0.3,31
"50","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_3_","Chrysomus icterocephalus",FALSE,10,2,3.9,NA,NA,58.8,0.3,34.5
"51","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_3_","Legatus leucophaius",FALSE,11,2,3.9,NA,NA,62.7,0.3,37.9
"52","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_3_","Jacana jacana",FALSE,12,2,3.9,NA,NA,66.7,0.3,41.4
"53","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_3_","Melanerpes rubricapillus",FALSE,13,1,2,NA,NA,68.6,0,44.8
"54","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_3_","Anthracothorax nigricollis",FALSE,14,1,2,NA,NA,70.6,0,48.3
"55","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_3_","Columbina talpacoti",FALSE,15,1,2,NA,NA,72.5,0,51.7
"56","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_3_","Tringa solitaria",FALSE,16,1,2,NA,NA,74.5,0,55.2
"57","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_3_","Empidonax virescens",FALSE,17,1,2,NA,NA,76.5,0,58.6
"58","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_3_","Crotophaga ani",FALSE,18,1,2,NA,NA,78.4,0,62.1
"59","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_3_","Ortalis garrula",FALSE,19,1,2,NA,NA,80.4,0,65.5
"60","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_3_","Saltator coerulescens",FALSE,20,1,2,NA,NA,82.4,0,69
"61","Punto Fijo","Bosque Abierto__A_N_H___1_6_9___A___P_3_","Synallaxis candei",FALSE,21,1,2,NA,NA,84.3,0,72.4
