"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Bosque Ripario","Species richness",5,5.909,2.017,5.067,17.413,11,18,5,0.9074,2,0,0,1,1,0,1,0,0,0
"2","Bosque Ripario","Shannon diversity",3.969,4.574,0.59,3.969,5.731,11,18,5,0.9074,2,0,0,1,1,0,1,0,0,0
"3","Bosque Ripario","Simpson diversity",3.522,3.85,0.535,3.522,4.898,11,18,5,0.9074,2,0,0,1,1,0,1,0,0,0
"4","Herbazal","Species richness",4,4.8,1.774,4.059,14.915,5,8,4,0.8333,2,0,2,0,0,0,0,0,0,0
"5","Herbazal","Shannon diversity",3.51,4.51,1.347,3.51,7.149,5,8,4,0.8333,2,0,2,0,0,0,0,0,0,0
"6","Herbazal","Simpson diversity",3.2,3.933,1.089,3.2,6.067,5,8,4,0.8333,2,0,2,0,0,0,0,0,0,0
"7","Palma","Species richness",3,3,0,NA,NA,1,3,3,1,3,0,0,0,0,0,0,0,0,0
"8","Palma","Shannon diversity",3,0,0,3,0,1,3,3,1,3,0,0,0,0,0,0,0,0,0
"9","Palma","Simpson diversity",3,3,0,3,3,1,3,3,1,3,0,0,0,0,0,0,0,0,0
"10","Pastos","Species richness",2,2,0,NA,NA,1,2,2,1,2,0,0,0,0,0,0,0,0,0
"11","Pastos","Shannon diversity",2,0,0,2,0,1,2,2,1,2,0,0,0,0,0,0,0,0,0
"12","Pastos","Simpson diversity",2,2,0,2,2,1,2,2,1,2,0,0,0,0,0,0,0,0,0
