"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","Bosque Ripario","Species richness",5,5,0.402,5,6.014,39,5,1
"2","Bosque Ripario","Shannon diversity",3.919,4.135,0.396,3.919,4.91,39,5,1
"3","Bosque Ripario","Simpson diversity",3.388,3.615,0.475,3.388,4.546,39,5,1
"4","Herbazal","Species richness",4,4.471,1.256,4.028,12.029,17,4,0.9477
"5","Herbazal","Shannon diversity",3.05,3.428,0.636,3.05,4.675,17,4,0.9477
"6","Herbazal","Simpson diversity",2.604,2.894,0.676,2.604,4.219,17,4,0.9477
"7","Pastos","Species richness",2,2.333,0.943,2.018,8.09,3,2,0.8333
"8","Pastos","Shannon diversity",1.89,2.52,1.821,1.89,6.089,3,2,0.8333
"9","Pastos","Simpson diversity",1.8,3,0.939,1.8,4.841,3,2,0.8333
"10","Palma","Species richness",3,3,0.506,3,4.639,11,3,1
"11","Palma","Shannon diversity",2.363,2.614,0.477,2.363,3.549,11,3,1
"12","Palma","Simpson diversity",2.051,2.292,0.591,2.051,3.45,11,3,1
