"","evenPer","order","observado","estimado","s.e.","LCL","UCL","parentEventID","grp","cmb_smpEf"
"1","ANH_112_21","Species richness",2,2.5,1.107,2.037,8.808,"ANH_112","CapManual",0.888888888888889
"2","ANH_112_21","Shannon diversity",2,3.375,1.075,2,5.482,"ANH_112","CapManual",0.888888888888889
"3","ANH_112_21","Simpson diversity",2,2,0.475,2,2.931,"ANH_112","CapManual",0.888888888888889
"4","ANH_117_21","Species richness",2,2.5,1.107,2.037,8.808,"ANH_117","CapManual",0.555555555555556
"5","ANH_117_21","Shannon diversity",2,3.375,1.15,2,5.628,"ANH_117","CapManual",0.555555555555556
"6","ANH_117_21","Simpson diversity",2,2,0.48,2,2.94,"ANH_117","CapManual",0.555555555555556
"7","ANH_120_21","Species richness",1,1,0.08,1,1.165,"ANH_120","CapManual",0.888888888888889
"8","ANH_120_21","Shannon diversity",1,1,0,1,1,"ANH_120","CapManual",0.888888888888889
"9","ANH_120_21","Simpson diversity",1,1,0,1,1,"ANH_120","CapManual",0.888888888888889
"10","ANH_122_21","Species richness",1,1,0.312,1,2.549,"ANH_122","CapManual",0.888888888888889
"11","ANH_122_21","Shannon diversity",1,0,0,1,0,"ANH_122","CapManual",0.888888888888889
"12","ANH_122_21","Simpson diversity",1,NA,0,NA,NA,"ANH_122","CapManual",0.888888888888889
"13","ANH_123_21","Species richness",2,2.5,1.107,2.037,8.808,"ANH_123","CapManual",0.888888888888889
"14","ANH_123_21","Shannon diversity",2,3.375,1.124,2,5.578,"ANH_123","CapManual",0.888888888888889
"15","ANH_123_21","Simpson diversity",2,2,0.466,2,2.913,"ANH_123","CapManual",0.888888888888889
"16","ANH_125_21","Species richness",2,2,0.461,2,3.671,"ANH_125","CapManual",0.888888888888889
"17","ANH_125_21","Shannon diversity",1.755,2.031,0.531,1.755,3.072,"ANH_125","CapManual",0.888888888888889
"18","ANH_125_21","Simpson diversity",1.6,1.6,0.727,1.6,3.025,"ANH_125","CapManual",0.888888888888889
"19","ANH_133_21","Species richness",1,1,0.284,1,1.799,"ANH_133","CapManual",0.555555555555556
"20","ANH_133_21","Shannon diversity",1,1,0,1,1,"ANH_133","CapManual",0.555555555555556
"21","ANH_133_21","Simpson diversity",1,1,0,1,1,"ANH_133","CapManual",0.555555555555556
"22","ANH_134_21","Species richness",3,3,0.506,3,4.639,"ANH_134","CapManual",0.555555555555556
"23","ANH_134_21","Shannon diversity",2.363,2.614,0.514,2.363,3.621,"ANH_134","CapManual",0.555555555555556
"24","ANH_134_21","Simpson diversity",2.051,2.292,0.576,2.051,3.421,"ANH_134","CapManual",0.555555555555556
"25","ANH_137_NA","Species richness",1,1,0.284,1,1.799,"ANH_137","CapManual",0.888888888888889
"26","ANH_137_NA","Shannon diversity",1,1,0,1,1,"ANH_137","CapManual",0.888888888888889
"27","ANH_137_NA","Simpson diversity",1,1,0,1,1,"ANH_137","CapManual",0.888888888888889
"28","ANH_138_21","Species richness",4,4,0.52,4,5.615,"ANH_138","CapManual",0.888888888888889
"29","ANH_138_21","Shannon diversity",3.113,3.391,0.498,3.113,4.366,"ANH_138","CapManual",0.888888888888889
"30","ANH_138_21","Simpson diversity",2.674,2.948,0.537,2.674,4,"ANH_138","CapManual",0.888888888888889
"31","ANH_142_21","Species richness",1,1,0.312,1,2.549,"ANH_142","CapManual",0.888888888888889
"32","ANH_142_21","Shannon diversity",1,0,0,1,0,"ANH_142","CapManual",0.888888888888889
"33","ANH_142_21","Simpson diversity",1,NA,0,NA,NA,"ANH_142","CapManual",0.888888888888889
"34","ANH_144_21","Species richness",1,1,0.312,1,2.549,"ANH_144","CapManual",0.888888888888889
"35","ANH_144_21","Shannon diversity",1,0,0,1,0,"ANH_144","CapManual",0.888888888888889
"36","ANH_144_21","Simpson diversity",1,NA,0,NA,NA,"ANH_144","CapManual",0.888888888888889
"37","ANH_147_21","Species richness",3,3,0.414,3,4.134,"ANH_147","CapManual",1
"38","ANH_147_21","Shannon diversity",2.951,3.38,0.445,2.951,4.253,"ANH_147","CapManual",1
"39","ANH_147_21","Simpson diversity",2.909,4,0.682,2.909,5.336,"ANH_147","CapManual",1
"40","ANH_365_NA","Species richness",1,1,0.312,1,2.549,"ANH_365","CapManual",0.888888888888889
"41","ANH_365_NA","Shannon diversity",1,0,0,1,0,"ANH_365","CapManual",0.888888888888889
"42","ANH_365_NA","Simpson diversity",1,NA,0,NA,NA,"ANH_365","CapManual",0.888888888888889
"43","ANH_368_21","Species richness",1,1,0.312,1,2.549,"ANH_368","CapManual",0.888888888888889
"44","ANH_368_21","Shannon diversity",1,0,0,1,0,"ANH_368","CapManual",0.888888888888889
"45","ANH_368_21","Simpson diversity",1,NA,0,NA,NA,"ANH_368","CapManual",0.888888888888889
"46","ANH_372_21","Species richness",1,1,0.284,1,1.799,"ANH_372","CapManual",0.888888888888889
"47","ANH_372_21","Shannon diversity",1,1,0,1,1,"ANH_372","CapManual",0.888888888888889
"48","ANH_372_21","Simpson diversity",1,1,0,1,1,"ANH_372","CapManual",0.888888888888889
"49","ANH_373_21","Species richness",2,2.333,0.943,2.018,8.09,"ANH_373","CapManual",0.666666666666667
"50","ANH_373_21","Shannon diversity",1.89,2.52,1.653,1.89,5.76,"ANH_373","CapManual",0.666666666666667
"51","ANH_373_21","Simpson diversity",1.8,1.8,0.726,1.8,3.223,"ANH_373","CapManual",0.666666666666667
"52","ANH_391_21","Species richness",2,2.333,0.943,2.018,8.09,"ANH_391","CapManual",0.888888888888889
"53","ANH_391_21","Shannon diversity",1.89,2.52,1.687,1.89,5.827,"ANH_391","CapManual",0.888888888888889
"54","ANH_391_21","Simpson diversity",1.8,3,0.925,1.8,4.813,"ANH_391","CapManual",0.888888888888889
