"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","LVBe3","Species richness",2,2,0,NA,NA,1,2,2,1,2,0,0,0,0,0,0,0,0,0
"2","LVBe3","Shannon diversity",2,0,0,2,0,1,2,2,1,2,0,0,0,0,0,0,0,0,0
"3","LVBe3","Simpson diversity",2,2,0,2,2,1,2,2,1,2,0,0,0,0,0,0,0,0,0
"4","PVAa","Species richness",7,9,3.055,7.233,24.18,9,17,7,0.8487,3,2,1,0,0,0,1,0,0,0
"5","PVAa","Shannon diversity",5.339,6.859,1.888,5.339,10.559,9,17,7,0.8487,3,2,1,0,0,0,1,0,0,0
"6","PVAa","Simpson diversity",4.188,4.761,1.049,4.188,6.818,9,17,7,0.8487,3,2,1,0,0,0,1,0,0,0
"7","PVCb2","Species richness",3,4.5,2.25,3.179,15.595,2,3,3,0.5,3,0,0,0,0,0,0,0,0,0
"8","PVCb2","Shannon diversity",3,6,2.42,3,10.743,2,3,3,0.5,3,0,0,0,0,0,0,0,0,0
"9","PVCb2","Simpson diversity",3,3,1.334,3,5.615,2,3,3,0.5,3,0,0,0,0,0,0,0,0,0
"10","PVFa","Species richness",4,8,4.714,4.642,28.911,3,4,4,0.25,4,0,0,0,0,0,0,0,0,0
"11","PVFa","Shannon diversity",4,11.233,3.461,4.45,18.017,3,4,4,0.25,4,0,0,0,0,0,0,0,0,0
"12","PVFa","Simpson diversity",4,4,2.782,4,9.453,3,4,4,0.25,4,0,0,0,0,0,0,0,0,0
"13","RVAa","Species richness",2,2,0,NA,NA,1,2,2,1,2,0,0,0,0,0,0,0,0,0
"14","RVAa","Shannon diversity",2,0,0,2,0,1,2,2,1,2,0,0,0,0,0,0,0,0,0
"15","RVAa","Simpson diversity",2,2,0,2,2,1,2,2,1,2,0,0,0,0,0,0,0,0,0
"16","RVCa","Species richness",3,4.5,2.25,3.179,15.595,2,3,3,0.5,3,0,0,0,0,0,0,0,0,0
"17","RVCa","Shannon diversity",3,6,2.62,3,11.135,2,3,3,0.5,3,0,0,0,0,0,0,0,0,0
"18","RVCa","Simpson diversity",3,3,1.333,3,5.613,2,3,3,0.5,3,0,0,0,0,0,0,0,0,0
