"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","PVAa","Species richness",7,7.49,1.301,7.029,15.304,51,7,0.9811
"2","PVAa","Shannon diversity",4.908,5.261,0.584,4.908,6.406,51,7,0.9811
"3","PVAa","Simpson diversity",4.07,4.337,0.552,4.07,5.419,51,7,0.9811
"4","PVCb2","Species richness",3,5,2.921,3.246,19.244,3,3,0.3333
"5","PVCb2","Shannon diversity",3,7.184,2.392,3,11.872,3,3,0.3333
"6","PVCb2","Simpson diversity",3,3,0.617,3,4.209,3,3,0.3333
"7","PVFa","Species richness",4,4.833,1.603,4.073,13.544,6,4,0.7619
"8","PVFa","Shannon diversity",3.78,5.605,2.413,3.78,10.335,6,4,0.7619
"9","PVFa","Simpson diversity",3.6,7.5,2.786,3.6,12.961,6,4,0.7619
"10","LVBe3","Species richness",2,2.333,0.943,2.018,8.09,3,2,0.8333
"11","LVBe3","Shannon diversity",1.89,2.52,1.801,1.89,6.049,3,2,0.8333
"12","LVBe3","Simpson diversity",1.8,3,0.9,1.8,4.764,3,2,0.8333
"13","RVCa","Species richness",3,3.8,1.734,3.06,13.615,5,3,0.7333
"14","RVCa","Shannon diversity",2.586,3.699,1.356,2.586,6.356,5,3,0.7333
"15","RVCa","Simpson diversity",2.273,3.333,2.295,2.273,7.831,5,3,0.7333
"16","RVAa","Species richness",2,2.5,1.107,2.037,8.808,2,2,0.6667
"17","RVAa","Shannon diversity",2,3.375,1.139,2,5.608,2,2,0.6667
"18","RVAa","Simpson diversity",2,2,0.453,2,2.887,2,2,0.6667
