"","evenPer","order","observado","estimado","s.e.","LCL","UCL","parentEventID","grp","cmb_smpEf"
"1","ANH_112_21","Species richness",2,2.5,1.107,2.037,8.808,"ANH_112","CapManual",1
"2","ANH_112_21","Shannon diversity",2,3.375,1.106,2,5.543,"ANH_112","CapManual",1
"3","ANH_112_21","Simpson diversity",2,2,0.485,2,2.951,"ANH_112","CapManual",1
"4","ANH_137_NA","Species richness",1,1,0.284,1,1.799,"ANH_137","CapManual",1
"5","ANH_137_NA","Shannon diversity",1,1,0,1,1,"ANH_137","CapManual",1
"6","ANH_137_NA","Simpson diversity",1,1,0,1,1,"ANH_137","CapManual",1
"7","ANH_138_21","Species richness",2,2.5,1.107,2.037,8.808,"ANH_138","CapManual",1
"8","ANH_138_21","Shannon diversity",2,3.375,1.159,2,5.646,"ANH_138","CapManual",1
"9","ANH_138_21","Simpson diversity",2,2,0.473,2,2.927,"ANH_138","CapManual",1
"10","ANH_142_21","Species richness",1,1,0.312,1,2.549,"ANH_142","CapManual",1
"11","ANH_142_21","Shannon diversity",1,0,0,1,0,"ANH_142","CapManual",1
"12","ANH_142_21","Simpson diversity",1,NA,0,NA,NA,"ANH_142","CapManual",1
"13","ANH_147_21","Species richness",2,2.333,0.943,2.018,8.09,"ANH_147","CapManual",1
"14","ANH_147_21","Shannon diversity",1.89,2.52,1.893,1.89,6.229,"ANH_147","CapManual",1
"15","ANH_147_21","Simpson diversity",1.8,1.8,0.798,1.8,3.364,"ANH_147","CapManual",1
"16","ANH_365_NA","Species richness",1,1,0.312,1,2.549,"ANH_365","CapManual",1
"17","ANH_365_NA","Shannon diversity",1,0,0,1,0,"ANH_365","CapManual",1
"18","ANH_365_NA","Simpson diversity",1,NA,0,NA,NA,"ANH_365","CapManual",1
"19","ANH_368_21","Species richness",1,1,0.312,1,2.549,"ANH_368","CapManual",1
"20","ANH_368_21","Shannon diversity",1,0,0,1,0,"ANH_368","CapManual",1
"21","ANH_368_21","Simpson diversity",1,NA,0,NA,NA,"ANH_368","CapManual",1
