"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Bosque Ripario","Species richness",4,4.833,1.839,4.061,15.307,6,11,4,0.8701,2,0,0,1,1,0,0,0,0,0
"2","Bosque Ripario","Shannon diversity",3.197,3.797,0.758,3.197,5.282,6,11,4,0.8701,2,0,0,1,1,0,0,0,0,0
"3","Bosque Ripario","Simpson diversity",2.814,3.031,0.533,2.814,4.075,6,11,4,0.8701,2,0,0,1,1,0,0,0,0,0
"4","Herbazal","Species richness",3,3,0.488,3,4.687,5,7,3,1,1,0,2,0,0,0,0,0,0,0
"5","Herbazal","Shannon diversity",2.73,3.108,0.676,2.73,4.433,5,7,3,1,1,0,2,0,0,0,0,0,0,0
"6","Herbazal","Simpson diversity",2.579,3,0.634,2.579,4.243,5,7,3,1,1,0,2,0,0,0,0,0,0,0
"7","Palma","Species richness",3,3,0,NA,NA,1,3,3,1,3,0,0,0,0,0,0,0,0,0
"8","Palma","Shannon diversity",3,0,0,3,0,1,3,3,1,3,0,0,0,0,0,0,0,0,0
"9","Palma","Simpson diversity",3,3,0,3,3,1,3,3,1,3,0,0,0,0,0,0,0,0,0
"10","Pastos limpios","Species richness",2,2,0,NA,NA,1,2,2,1,2,0,0,0,0,0,0,0,0,0
"11","Pastos limpios","Shannon diversity",2,0,0,2,0,1,2,2,1,2,0,0,0,0,0,0,0,0,0
"12","Pastos limpios","Simpson diversity",2,2,0,2,2,1,2,2,1,2,0,0,0,0,0,0,0,0,0
