"","parentEventID","order","observado","estimado","s.e.","LCL","UCL","Dis_Cienag","Dis_MGSG","Dis_Dre345","DisBosque","Dis_CobNat","Tam_Parche","Dis_CP","Dis_Oleodu","Dis_Pozo","Dis_Pozact","Dis_Ferroc","Dis_ViaPri","Dia_ViaSec","Plataf","CobCopr","samplEff.1"
"1","ANH_125","Species richness",11,11,0.556,11,12.608,1213.52641236,9033.35868172,2173.45753099,0,0,49.5349354553,3554.85103451,503.982787208,5774.91808584,6461.00685769,7691.88442548,5849.38150085,3144.69963347,"Kale","Bosque Ripario",1
"2","ANH_125","Shannon diversity",6.785,7.086,0.598,6.785,8.258,1213.52641236,9033.35868172,2173.45753099,0,0,49.5349354553,3554.85103451,503.982787208,5774.91808584,6461.00685769,7691.88442548,5849.38150085,3144.69963347,"Kale","Bosque Ripario",1
"3","ANH_125","Simpson diversity",4.645,4.792,0.645,4.645,6.056,1213.52641236,9033.35868172,2173.45753099,0,0,49.5349354553,3554.85103451,503.982787208,5774.91808584,6461.00685769,7691.88442548,5849.38150085,3144.69963347,"Kale","Bosque Ripario",1
"4","ANH_120","Species richness",11,11,0.555,11,12.601,5362.30896689,4443.04154536,3014.80857825,0,0,0.598963687928,4182.07934311,351.960456553,98.4295645032,98.4295645032,7708.02808744,4174.6220021,3354.78179208,"Kale","Herbazal",1
"5","ANH_120","Shannon diversity",6.098,6.286,0.439,6.098,7.146,5362.30896689,4443.04154536,3014.80857825,0,0,0.598963687928,4182.07934311,351.960456553,98.4295645032,98.4295645032,7708.02808744,4174.6220021,3354.78179208,"Kale","Herbazal",1
"6","ANH_120","Simpson diversity",4.339,4.426,0.416,4.339,5.241,5362.30896689,4443.04154536,3014.80857825,0,0,0.598963687928,4182.07934311,351.960456553,98.4295645032,98.4295645032,7708.02808744,4174.6220021,3354.78179208,"Kale","Herbazal",1
"7","ANH_374","Species richness",18,20.998,4.557,18.351,43.593,15269.6498865,5043.16329707,2051.04835969,9.24729242185,9.24729242185,14.3116499417,1375.87996214,2033.43565156,1536.47039986,2981.8802144,3747.57255063,622.418187418,2999.66115488,"Caracterizacion","Bosque Denso",1
"8","ANH_374","Shannon diversity",3.892,3.913,0.112,3.892,4.133,15269.6498865,5043.16329707,2051.04835969,9.24729242185,9.24729242185,14.3116499417,1375.87996214,2033.43565156,1536.47039986,2981.8802144,3747.57255063,622.418187418,2999.66115488,"Caracterizacion","Bosque Denso",1
"9","ANH_374","Simpson diversity",2.451,2.452,0.065,2.451,2.58,15269.6498865,5043.16329707,2051.04835969,9.24729242185,9.24729242185,14.3116499417,1375.87996214,2033.43565156,1536.47039986,2981.8802144,3747.57255063,622.418187418,2999.66115488,"Caracterizacion","Bosque Denso",1
"10","ANH_133","Species richness",12,13.996,3.735,12.18,34.089,3754.24871838,5776.91882848,3870.52127352,0,0,27.8725991505,5206.14944025,4428.69791633,2031.65975464,4792.44626716,5365.3995098,4437.47530607,1498.9772529,"Platero","Bosque Ripario",1
"11","ANH_133","Shannon diversity",5.458,5.533,0.24,5.458,6.002,3754.24871838,5776.91882848,3870.52127352,0,0,27.8725991505,5206.14944025,4428.69791633,2031.65975464,4792.44626716,5365.3995098,4437.47530607,1498.9772529,"Platero","Bosque Ripario",1
"12","ANH_133","Simpson diversity",4.291,4.319,0.203,4.291,4.718,3754.24871838,5776.91882848,3870.52127352,0,0,27.8725991505,5206.14944025,4428.69791633,2031.65975464,4792.44626716,5365.3995098,4437.47530607,1498.9772529,"Platero","Bosque Ripario",1
"13","ANH_118","Species richness",11,11.995,2.263,11.071,25,4619.23581323,4157.51414291,2608.94056515,693.621580326,23.8041668133,27.5701937781,3778.92229983,1040.52527417,219.060489356,219.060489356,7071.29573852,3902.47316071,3449.10054815,"Kale","Herbazal",1
"14","ANH_118","Shannon diversity",6.309,6.501,0.404,6.309,7.292,4619.23581323,4157.51414291,2608.94056515,693.621580326,23.8041668133,27.5701937781,3778.92229983,1040.52527417,219.060489356,219.060489356,7071.29573852,3902.47316071,3449.10054815,"Kale","Herbazal",1
"15","ANH_118","Simpson diversity",4.882,4.98,0.385,4.882,5.734,4619.23581323,4157.51414291,2608.94056515,693.621580326,23.8041668133,27.5701937781,3778.92229983,1040.52527417,219.060489356,219.060489356,7071.29573852,3902.47316071,3449.10054815,"Kale","Herbazal",1
"16","ANH_370","Species richness",11,13.244,3.388,11.265,29.995,4099.89329616,6125.85574765,3245.70198161,0,0,39.6740433363,4660.60946389,3711.52851526,2525.0865867,5514.26175788,4727.64781582,3718.77362296,2250.90043765,"Platero","Bosque Ripario",1
"17","ANH_370","Shannon diversity",3.729,3.795,0.19,3.729,4.166,4099.89329616,6125.85574765,3245.70198161,0,0,39.6740433363,4660.60946389,3711.52851526,2525.0865867,5514.26175788,4727.64781582,3718.77362296,2250.90043765,"Platero","Bosque Ripario",1
"18","ANH_370","Simpson diversity",2.858,2.871,0.135,2.858,3.135,4099.89329616,6125.85574765,3245.70198161,0,0,39.6740433363,4660.60946389,3711.52851526,2525.0865867,5514.26175788,4727.64781582,3718.77362296,2250.90043765,"Platero","Bosque Ripario",1
"19","ANH_135","Species richness",13,13.999,2.281,13.071,27.128,4283.8719189,3395.64494303,9359.4887215,12.1829218307,12.1829218307,6.27350340693,3234.34332956,5501.69580339,2159.49814938,2816.2293474,9025.41920683,4973.55831525,3291.60273484,"Platero","Bosque Ripario",1
"20","ANH_135","Shannon diversity",2.498,2.517,0.114,2.498,2.74,4283.8719189,3395.64494303,9359.4887215,12.1829218307,12.1829218307,6.27350340693,3234.34332956,5501.69580339,2159.49814938,2816.2293474,9025.41920683,4973.55831525,3291.60273484,"Platero","Bosque Ripario",1
"21","ANH_135","Simpson diversity",1.633,1.634,0.053,1.633,1.738,4283.8719189,3395.64494303,9359.4887215,12.1829218307,12.1829218307,6.27350340693,3234.34332956,5501.69580339,2159.49814938,2816.2293474,9025.41920683,4973.55831525,3291.60273484,"Platero","Bosque Ripario",1
"22","ANH_114","Species richness",13,13.499,1.32,13.03,21.423,7772.43765711,11419.8058711,1022.10809691,0,0,183.668761621,2484.37678576,510.283718324,3529.66430737,10890.3404168,1435.17847993,2797.31039025,6658.50651281,"Caracterizacion","Bosque Ripario",1
"23","ANH_114","Shannon diversity",5.774,5.875,0.306,5.774,6.475,7772.43765711,11419.8058711,1022.10809691,0,0,183.668761621,2484.37678576,510.283718324,3529.66430737,10890.3404168,1435.17847993,2797.31039025,6658.50651281,"Caracterizacion","Bosque Ripario",1
"24","ANH_114","Simpson diversity",4.051,4.084,0.267,4.051,4.608,7772.43765711,11419.8058711,1022.10809691,0,0,183.668761621,2484.37678576,510.283718324,3529.66430737,10890.3404168,1435.17847993,2797.31039025,6658.50651281,"Caracterizacion","Bosque Ripario",1
"25","ANH_108","Species richness",9,11.993,4.47,9.358,33.992,4169.12630645,7041.02388467,78.529061878,0,0,61.3915848758,142.744112279,75.9216051966,7149.33660161,7149.33660161,520.918865432,632.459910152,110.902419057,"Kale","Bosque Ripario",1
"26","ANH_108","Shannon diversity",1.692,1.716,0.089,1.692,1.89,4169.12630645,7041.02388467,78.529061878,0,0,61.3915848758,142.744112279,75.9216051966,7149.33660161,7149.33660161,520.918865432,632.459910152,110.902419057,"Kale","Bosque Ripario",1
"27","ANH_108","Simpson diversity",1.256,1.257,0.038,1.256,1.332,4169.12630645,7041.02388467,78.529061878,0,0,61.3915848758,142.744112279,75.9216051966,7149.33660161,7149.33660161,520.918865432,632.459910152,110.902419057,"Kale","Bosque Ripario",1
"28","ANH_392","Species richness",8,15.889,11.505,8.973,71.951,15300.870753,4919.61309458,1913.85002942,0,0,215.82601981,1312.63273713,1928.69097517,1542.86123271,2915.10559407,3768.86787349,477.011716792,2919.52033518,"Caracterizacion","Pastos",1
"29","ANH_392","Shannon diversity",3.103,3.446,0.52,3.103,4.465,15300.870753,4919.61309458,1913.85002942,0,0,215.82601981,1312.63273713,1928.69097517,1542.86123271,2915.10559407,3768.86787349,477.011716792,2919.52033518,"Caracterizacion","Pastos",1
"30","ANH_392","Simpson diversity",2.217,2.256,0.267,2.217,2.779,15300.870753,4919.61309458,1913.85002942,0,0,215.82601981,1312.63273713,1928.69097517,1542.86123271,2915.10559407,3768.86787349,477.011716792,2919.52033518,"Caracterizacion","Pastos",1
"31","ANH_373","Species richness",6,6,0.234,6,6.522,9903.839611,8046.0207503,70.8481414912,0,0,30.9381020034,239.676678516,765.047073447,2932.01519844,8928.41680806,299.78362937,99.9727641695,5451.62386497,"Caracterizacion","Bosque Ripario",1
"32","ANH_373","Shannon diversity",3.565,3.638,0.282,3.565,4.19,9903.839611,8046.0207503,70.8481414912,0,0,30.9381020034,239.676678516,765.047073447,2932.01519844,8928.41680806,299.78362937,99.9727641695,5451.62386497,"Caracterizacion","Bosque Ripario",1
"33","ANH_373","Simpson diversity",2.838,2.88,0.219,2.838,3.309,9903.839611,8046.0207503,70.8481414912,0,0,30.9381020034,239.676678516,765.047073447,2932.01519844,8928.41680806,299.78362937,99.9727641695,5451.62386497,"Caracterizacion","Bosque Ripario",1
"34","ANH_113","Species richness",10,10.663,1.299,10.057,17.772,1234.93243079,2409.98279271,1156.70691475,268.708952995,19.0348003521,83.8038571938,2524.63621215,218.994264264,1953.26196361,1953.26196361,3772.76027598,1958.59007239,4579.05353993,"Kale","Bosque Ripario",1
"35","ANH_113","Shannon diversity",2.813,2.897,0.265,2.813,3.417,1234.93243079,2409.98279271,1156.70691475,268.708952995,19.0348003521,83.8038571938,2524.63621215,218.994264264,1953.26196361,1953.26196361,3772.76027598,1958.59007239,4579.05353993,"Kale","Bosque Ripario",1
"36","ANH_113","Simpson diversity",1.797,1.805,0.144,1.797,2.087,1234.93243079,2409.98279271,1156.70691475,268.708952995,19.0348003521,83.8038571938,2524.63621215,218.994264264,1953.26196361,1953.26196361,3772.76027598,1958.59007239,4579.05353993,"Kale","Bosque Ripario",1
"37","ANH_117","Species richness",8,20.44,17.059,9.657,101.397,606.06933313,11028.6308784,774.261904227,0,0,55.5231894305,1298.49588441,2271.08154435,7272.83963289,7272.83963289,4572.68864243,8983.97611953,47.5385945421,"Kale","Bosque Ripario",1
"38","ANH_117","Shannon diversity",1.547,1.616,0.139,1.547,1.889,606.06933313,11028.6308784,774.261904227,0,0,55.5231894305,1298.49588441,2271.08154435,7272.83963289,7272.83963289,4572.68864243,8983.97611953,47.5385945421,"Kale","Bosque Ripario",1
"39","ANH_117","Simpson diversity",1.217,1.218,0.05,1.217,1.316,606.06933313,11028.6308784,774.261904227,0,0,55.5231894305,1298.49588441,2271.08154435,7272.83963289,7272.83963289,4572.68864243,8983.97611953,47.5385945421,"Kale","Bosque Ripario",1
"40","ANH_371","Species richness",15,15.125,0.436,15.005,17.911,1843.06092152,4372.81737163,6195.96499413,30.7155542884,30.7155542884,39.6740433363,4855.93635099,6371.5667867,1939.60473599,1939.60473599,7368.35344896,5908.67646059,1373.81350347,"Platero","Bosque Ripario",1
"41","ANH_371","Shannon diversity",5.553,5.72,0.402,5.553,6.508,1843.06092152,4372.81737163,6195.96499413,30.7155542884,30.7155542884,39.6740433363,4855.93635099,6371.5667867,1939.60473599,1939.60473599,7368.35344896,5908.67646059,1373.81350347,"Platero","Bosque Ripario",1
"42","ANH_371","Simpson diversity",3.682,3.722,0.264,3.682,4.24,1843.06092152,4372.81737163,6195.96499413,30.7155542884,30.7155542884,39.6740433363,4855.93635099,6371.5667867,1939.60473599,1939.60473599,7368.35344896,5908.67646059,1373.81350347,"Platero","Bosque Ripario",1
