"","samplingProtocol","Grouping","species","labelit","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"1","TrmpExHum","Bosque Abierto_21","Onthophagus sp.01H",TRUE,1,272,41.5,NA,NA,41.5,2.4,10
"2","TrmpExHum","Bosque Abierto_21","Pseudocanthon perplexus",TRUE,2,166,25.3,NA,NA,66.9,2.2,20
"3","TrmpExHum","Bosque Abierto_21","Canthon septemmaculatus",TRUE,3,118,18,NA,NA,84.9,2.1,30
"4","TrmpExHum","Bosque Abierto_21","Onthophagus marginicollis",FALSE,4,85,13,NA,NA,97.9,1.9,40
"5","TrmpExHum","Bosque Abierto_21","Canthon juvencus",FALSE,5,6,0.9,NA,NA,98.8,0.8,50
"6","TrmpExHum","Bosque Abierto_21","Onthophagus lebasi",FALSE,6,3,0.5,NA,NA,99.2,0.5,60
"7","TrmpExHum","Bosque Abierto_21","Canthon sp.10H",FALSE,7,2,0.3,NA,NA,99.5,0.3,70
"8","TrmpExHum","Bosque Abierto_21","Canthidium sp.02H",FALSE,8,1,0.2,NA,NA,99.7,0,80
"9","TrmpExHum","Bosque Abierto_21","Canthon sp.06H",FALSE,9,1,0.2,NA,NA,99.8,0,90
"10","TrmpExHum","Bosque Abierto_21","Coprophanaeus corythus",FALSE,10,1,0.2,NA,NA,100,0,100
"11","TrmpExHum","Bosque Denso_21","Canthon subhyalinus",TRUE,1,754,59.5,NA,NA,59.5,2.9,5
"12","TrmpExHum","Bosque Denso_21","Sylvicanthon aequinoctialis",TRUE,2,259,20.4,NA,NA,80,2.4,10
"13","TrmpExHum","Bosque Denso_21","Canthon juvencus",TRUE,3,68,5.4,NA,NA,85.3,1.8,15
"14","TrmpExHum","Bosque Denso_21","Dichotomius agenor",FALSE,4,51,4,NA,NA,89.3,1.7,20
"15","TrmpExHum","Bosque Denso_21","Onthophagus sp.01H",FALSE,5,33,2.6,NA,NA,91.9,1.5,25
"16","TrmpExHum","Bosque Denso_21","Canthon sp.09H",FALSE,6,33,2.6,NA,NA,94.6,1.5,30
"17","TrmpExHum","Bosque Denso_21","Trichillidium pilosum",FALSE,7,11,0.9,NA,NA,95.4,1,35
"18","TrmpExHum","Bosque Denso_21","Dichotomius andresi",FALSE,8,8,0.6,NA,NA,96.1,0.9,40
"19","TrmpExHum","Bosque Denso_21","Onthophagus marginicollis",FALSE,9,8,0.6,NA,NA,96.7,0.9,45
"20","TrmpExHum","Bosque Denso_21","Eurysternus mexicanus",FALSE,10,8,0.6,NA,NA,97.3,0.9,50
"21","TrmpExHum","Bosque Denso_21","Onthophagus acuminatus",FALSE,11,7,0.6,NA,NA,97.9,0.8,55
"22","TrmpExHum","Bosque Denso_21","Uroxys sp.02H",FALSE,12,7,0.6,NA,NA,98.4,0.8,60
"23","TrmpExHum","Bosque Denso_21","Coprophanaeus corythus",FALSE,13,6,0.5,NA,NA,98.9,0.8,65
"24","TrmpExHum","Bosque Denso_21","Eurysternus foedus",FALSE,14,5,0.4,NA,NA,99.3,0.7,70
"25","TrmpExHum","Bosque Denso_21","Uroxys sp.05H",FALSE,15,3,0.2,NA,NA,99.5,0.5,75
"26","TrmpExHum","Bosque Denso_21","Eurysternus plebejus",FALSE,16,2,0.2,NA,NA,99.7,0.3,80
"27","TrmpExHum","Bosque Denso_21","Ateuchus aeneomicans",FALSE,17,1,0.1,NA,NA,99.8,0,85
"28","TrmpExHum","Bosque Denso_21","Deltochilum guildingii",FALSE,18,1,0.1,NA,NA,99.8,0,90
"29","TrmpExHum","Bosque Denso_21","Dichotomius reclinatus",FALSE,19,1,0.1,NA,NA,99.9,0,95
"30","TrmpExHum","Bosque Denso_21","Canthon sp.10H",FALSE,20,1,0.1,NA,NA,100,0,100
"31","TrmpExHum","Bosque Denso_NA","Canthon subhyalinus",TRUE,1,548,61.4,NA,NA,61.4,2.7,6.7
"32","TrmpExHum","Bosque Denso_NA","Sylvicanthon aequinoctialis",TRUE,2,131,14.7,NA,NA,76.1,2.1,13.3
"33","TrmpExHum","Bosque Denso_NA","Canthon juvencus",TRUE,3,105,11.8,NA,NA,87.9,2,20
"34","TrmpExHum","Bosque Denso_NA","Canthon sp.09H",FALSE,4,37,4.1,NA,NA,92,1.6,26.7
"35","TrmpExHum","Bosque Denso_NA","Dichotomius agenor",FALSE,5,23,2.6,NA,NA,94.6,1.4,33.3
