"","samplingProtocol","Grouping","species","labelit","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"1","TrmpExHum","Caracterizacion","Canthon subhyalinus",TRUE,1,1361,33.8,NA,NA,33.8,3.1,3.6
"2","TrmpExHum","Caracterizacion","Onthophagus marginicollis",TRUE,2,572,14.2,NA,NA,48.1,2.8,7.1
"3","TrmpExHum","Caracterizacion","Onthophagus sp.01H",TRUE,3,524,13,NA,NA,61.1,2.7,10.7
"4","TrmpExHum","Caracterizacion","Dichotomius agenor",FALSE,4,508,12.6,NA,NA,73.7,2.7,14.3
"5","TrmpExHum","Caracterizacion","Sylvicanthon aequinoctialis",FALSE,5,460,11.4,NA,NA,85.2,2.7,17.9
"6","TrmpExHum","Caracterizacion","Canthon juvencus",FALSE,6,218,5.4,NA,NA,90.6,2.3,21.4
"7","TrmpExHum","Caracterizacion","Canthon sp.09H",FALSE,7,72,1.8,NA,NA,92.4,1.9,25
"8","TrmpExHum","Caracterizacion","Eurysternus mexicanus",FALSE,8,71,1.8,NA,NA,94.1,1.9,28.6
"9","TrmpExHum","Caracterizacion","Coprophanaeus corythus",FALSE,9,37,0.9,NA,NA,95.1,1.6,32.1
"10","TrmpExHum","Caracterizacion","Onthophagus lebasi",FALSE,10,26,0.6,NA,NA,95.7,1.4,35.7
"11","TrmpExHum","Caracterizacion","Eurysternus foedus",FALSE,11,23,0.6,NA,NA,96.3,1.4,39.3
"12","TrmpExHum","Caracterizacion","Uroxys sp.02H",FALSE,12,22,0.5,NA,NA,96.8,1.3,42.9
"13","TrmpExHum","Caracterizacion","Trichillidium pilosum",FALSE,13,20,0.5,NA,NA,97.3,1.3,46.4
"14","TrmpExHum","Caracterizacion","Canthon septemmaculatus",FALSE,14,18,0.4,NA,NA,97.8,1.3,50
"15","TrmpExHum","Caracterizacion","Uroxys sp.05H",FALSE,15,18,0.4,NA,NA,98.2,1.3,53.6
"16","TrmpExHum","Caracterizacion","Onthophagus acuminatus",FALSE,16,14,0.3,NA,NA,98.6,1.1,57.1
"17","TrmpExHum","Caracterizacion","Dichotomius andresi",FALSE,17,13,0.3,NA,NA,98.9,1.1,60.7
"18","TrmpExHum","Caracterizacion","Ateuchus aeneomicans",FALSE,18,10,0.2,NA,NA,99.1,1,64.3
"19","TrmpExHum","Caracterizacion","Canthon sp.10H",FALSE,19,9,0.2,NA,NA,99.4,1,67.9
"20","TrmpExHum","Caracterizacion","Deltochilum guildingii",FALSE,20,8,0.2,NA,NA,99.6,0.9,71.4
"21","TrmpExHum","Caracterizacion","Digitonthophagus gazella",FALSE,21,6,0.1,NA,NA,99.7,0.8,75
"22","TrmpExHum","Caracterizacion","Eurysternus plebejus",FALSE,22,3,0.1,NA,NA,99.8,0.5,78.6
"23","TrmpExHum","Caracterizacion","Canthon lituratus",FALSE,23,3,0.1,NA,NA,99.9,0.5,82.1
"24","TrmpExHum","Caracterizacion","Phanaeus hermes",FALSE,24,2,0,NA,NA,99.9,0.3,85.7
"25","TrmpExHum","Caracterizacion","Dichotomius sp.03H",FALSE,25,1,0,NA,NA,99.9,0,89.3
"26","TrmpExHum","Caracterizacion","Dichotomius reclinatus",FALSE,26,1,0,NA,NA,100,0,92.9
"27","TrmpExHum","Caracterizacion","Canthidium sp.10H",FALSE,27,1,0,NA,NA,100,0,96.4
"28","TrmpExHum","Caracterizacion","Pseudocanthon xanthurus",FALSE,28,1,0,NA,NA,100,0,100
"29","TrmpExHum","Kale","Onthophagus sp.01H",TRUE,1,2321,43.8,NA,NA,43.8,3.4,3.3
"30","TrmpExHum","Kale","Canthon septemmaculatus",TRUE,2,708,13.4,NA,NA,57.2,2.9,6.7
"31","TrmpExHum","Kale","Dichotomius agenor",TRUE,3,555,10.5,NA,NA,67.6,2.7,10
"32","TrmpExHum","Kale","Pseudocanthon perplexus",FALSE,4,523,9.9,NA,NA,77.5,2.7,13.3
"33","TrmpExHum","Kale","Canthon juvencus",FALSE,5,230,4.3,NA,NA,81.9,2.4,16.7
"34","TrmpExHum","Kale","Onthophagus marginicollis",FALSE,6,177,3.3,NA,NA,85.2,2.2,20
"35","TrmpExHum","Kale","Coprophanaeus gamezi",FALSE,7,109,2.1,NA,NA,87.3,2,23.3
"36","TrmpExHum","Kale","Ateuchus aeneomicans",FALSE,8,93,1.8,NA,NA,89,2,26.7
"37","TrmpExHum","Kale","Eurysternus mexicanus",FALSE,9,81,1.5,NA,NA,90.5,1.9,30
"38","TrmpExHum","Kale","Canthidium sp.02H",FALSE,10,75,1.4,NA,NA,92,1.9,33.3
"39","TrmpExHum","Kale","Sylvicanthon aequinoctialis",FALSE,11,63,1.2,NA,NA,93.1,1.8,36.7
"40","TrmpExHum","Kale","Canthon sp.09H",FALSE,12,62,1.2,NA,NA,94.3,1.8,40
"41","TrmpExHum","Kale","Canthon sp.06H",FALSE,13,52,1,NA,NA,95.3,1.7,43.3
"42","TrmpExHum","Kale","Onthophagus lebasi",FALSE,14,44,0.8,NA,NA,96.1,1.6,46.7
"43","TrmpExHum","Kale","Deltochilum guildingii",FALSE,15,43,0.8,NA,NA,96.9,1.6,50
"44","TrmpExHum","Kale","Uroxys sp.02H",FALSE,16,29,0.5,NA,NA,97.5,1.5,53.3
"45","TrmpExHum","Kale","Canthidium sp.12H",FALSE,17,26,0.5,NA,NA,98,1.4,56.7
"46","TrmpExHum","Kale","Canthon sp.10H",FALSE,18,22,0.4,NA,NA,98.4,1.3,60
"47","TrmpExHum","Kale","Coprophanaeus corythus",FALSE,19,22,0.4,NA,NA,98.8,1.3,63.3
"48","TrmpExHum","Kale","Trichillidium pilosum",FALSE,20,16,0.3,NA,NA,99.1,1.2,66.7
"49","TrmpExHum","Kale","Canthidium sp.01H",FALSE,21,10,0.2,NA,NA,99.3,1,70
"50","TrmpExHum","Kale","Canthidium sp.05H",FALSE,22,9,0.2,NA,NA,99.5,1,73.3
"51","TrmpExHum","Kale","Canthon subhyalinus",FALSE,23,7,0.1,NA,NA,99.6,0.8,76.7
"52","TrmpExHum","Kale","Phanaeus hermes",FALSE,24,6,0.1,NA,NA,99.7,0.8,80
"53","TrmpExHum","Kale","Dichotomius sp.03H",FALSE,25,5,0.1,NA,NA,99.8,0.7,83.3
"54","TrmpExHum","Kale","Pseudocanthon xanthurus",FALSE,26,3,0.1,NA,NA,99.9,0.5,86.7
"55","TrmpExHum","Kale","Eurysternus foedus",FALSE,27,3,0.1,NA,NA,99.9,0.5,90
"56","TrmpExHum","Kale","Canthon sp.05H",FALSE,28,2,0,NA,NA,100,0.3,93.3
"57","TrmpExHum","Kale","Canthon lituratus",FALSE,29,1,0,NA,NA,100,0,96.7
"58","TrmpExHum","Kale","Uroxys sp.05H",FALSE,30,1,0,NA,NA,100,0,100
"59","TrmpExHum","Platero","Onthophagus sp.01H",TRUE,1,4832,54.4,NA,NA,54.4,3.7,3.2
"60","TrmpExHum","Platero","Dichotomius agenor",TRUE,2,1058,11.9,NA,NA,66.3,3,6.5
"61","TrmpExHum","Platero","Onthophagus marginicollis",TRUE,3,951,10.7,NA,NA,77,3,9.7
"62","TrmpExHum","Platero","Pseudocanthon perplexus",FALSE,4,375,4.2,NA,NA,81.3,2.6,12.9
"63","TrmpExHum","Platero","Onthophagus lebasi",FALSE,5,358,4,NA,NA,85.3,2.6,16.1
"64","TrmpExHum","Platero","Canthon juvencus",FALSE,6,236,2.7,NA,NA,87.9,2.4,19.4
"65","TrmpExHum","Platero","Eurysternus mexicanus",FALSE,7,210,2.4,NA,NA,90.3,2.3,22.6
"66","TrmpExHum","Platero","Canthon septemmaculatus",FALSE,8,131,1.5,NA,NA,91.8,2.1,25.8
"67","TrmpExHum","Platero","Sylvicanthon aequinoctialis",FALSE,9,120,1.4,NA,NA,93.1,2.1,29
