"","variable","NMDS1","NMDS2","pvals"
"1","Dich_agen",-0.218294795975183,-0.302243994847079,0.001
"2","Copr_cory",-0.276264640023342,0.134551006478913,0.001
"3","Copr_game",0.157554995911287,-0.133203727454676,0.005
"4","Cant_sept",0.192702172612333,0.0698323645123672,0.004
"5","Onthophagus sp.01H",0.187057483175275,0.133988657242541,0.001
"6","Cant_juve",-0.0431699728129675,0.220670826167158,0.002
"7","Onth_acum",-0.216254425267293,0.166135683076239,0.001
"8","Sylv_aequ",-0.292506869584082,0.188989292275432,0.001
"9","Dich_andr",-0.189957626910312,0.163805087755643,0.001
"10","Tric_pilo",-0.21731108061579,0.207363952352012,0.001
"11","Cant_subh",-0.194763862736532,0.170187843875812,0.001
"12","Canthon sp.09H",-0.2704894535381,0.197739268626677,0.001
"13","Uroxys sp.02H",0.117901771318779,0.13492784437194,0.011
"14","Pseu_xant",0.147376704014538,-0.215582018659809,0.001
"15","Onth_marg",0.332045249812965,-0.0393598606685223,0.001
"16","Pseu_perp",0.280274987301407,0.199379541503791,0.001
"17","Canthon sp.10H",0.312173421765527,-0.265761104277415,0.001
"18","Eury_foed",-0.188023677471831,0.0391390549155756,0.005
"19","Eury_pleb",-0.176147896369072,0.123004473969785,0.003
"20","Ateu_aene",-0.250499131814162,0.0704481899238832,0.001
"21","Cant_litu",0.175544304224445,-0.131697542434349,0.003
"22","Digi_gaze",0.19694911964323,-0.125396091375081,0.001
"23","Canthidium sp.02H",-0.194062856909724,0.0928780153664245,0.003
"24","Canthon sp.06H",0.291502854150742,0.0599922754342758,0.001
"25","Canthidium sp.05H",-0.173460811833826,0.0770680826411507,0.01
"26","Canthidium sp.12H",-0.235628240155538,0.0764270361727823,0.001
"27","Canthon sp.05H",-0.0150102355389902,-0.157447308664878,0.023
