"","Herbazal","Bosque Denso","Bosque Ripario","Pastos","Bosque Abierto"
"Dichotomius agenor",288,74,1680,79,0
"Coprophanaeus corythus",9,8,131,0,1
"Coprophanaeus gamezi",95,0,34,0,0
"Deltochilum guildingii",40,1,32,0,0
"Canthon septemmaculatus",143,1,585,10,118
"Onthophagus sp.01H",2038,50,5181,136,272
"Canthon juvencus",97,173,391,17,6
"Onthophagus acuminatus",0,11,3,0,0
"Sylvicanthon aequinoctialis",5,390,246,2,0
"Dichotomius andresi",0,13,0,0,0
"Trichillidium pilosum",0,20,21,0,0
"Canthon subhyalinus",1,1302,125,2,0
"Canthon sp.09H",7,70,66,2,0
"Uroxys sp.02H",35,14,14,1,0
"Eurysternus mexicanus",114,9,218,21,0
"Pseudocanthon xanthurus",7,0,0,1,0
"Onthophagus marginicollis",950,8,100,557,85
"Pseudocanthon perplexus",511,0,221,0,166
"Canthon sp.10H",80,1,24,8,2
"Onthophagus lebasi",296,0,120,9,3
"Eurysternus foedus",0,6,20,0,0
"Phanaeus hermes",0,0,40,0,0
"Canthidium sp.10H",0,0,7,0,0
"Eurysternus plebejus",0,3,11,0,0
"Ateuchus aeneomicans",0,1,199,0,0
"Canthon lituratus",1,0,0,3,0
"Digitonthophagus gazella",0,0,0,6,0
"Dichotomius sp.03H",9,0,37,0,0
"Canthidium sp.01H",26,0,10,0,0
"Canthidium sp.02H",1,0,74,0,1
"Canthon sp.06H",52,0,22,0,1
"Canthidium sp.05H",0,0,53,0,0
"Sulcophanaeus steinheili",1,0,0,0,0
"Canthidium sp.12H",0,0,27,0,0
"Canthon sp.05H",15,0,2,0,0
"Dichotomius reclinatus",0,1,0,0,0
"Uroxys sp.05H",2,3,16,0,0
