"","site","Diversity","Observed","Estimator","s.e.","LCL","UCL","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"1","Bosque Abierto","Species richness",25,34,8.078,26.995,65.602,9,95,25,0.9147,9,4,2,1,0,2,2,3,2,0
"2","Bosque Abierto","Shannon diversity",18.412,21.253,1.708,18.412,24.601,9,95,25,0.9147,9,4,2,1,0,2,2,3,2,0
"3","Bosque Abierto","Simpson diversity",15.48,16.377,1.18,15.48,18.689,9,95,25,0.9147,9,4,2,1,0,2,2,3,2,0
"4","Bosque Denso","Species richness",31,31.641,1.265,31.054,38.577,26,279,31,0.9936,2,3,6,0,2,2,1,0,4,0
"5","Bosque Denso","Shannon diversity",22.89,23.829,0.864,22.89,25.523,26,279,31,0.9936,2,3,6,0,2,2,1,0,4,0
"6","Bosque Denso","Simpson diversity",18.926,19.49,0.764,18.926,20.988,26,279,31,0.9936,2,3,6,0,2,2,1,0,4,0
"7","Bosque Ripario","Species richness",21,23.273,2.193,21.464,32.143,2,32,21,0.9023,10,11,0,0,0,0,0,0,0,0
"8","Bosque Ripario","Shannon diversity",19.87,23.273,1.975,19.87,27.145,2,32,21,0.9023,10,11,0,0,0,0,0,0,0,0
"9","Bosque Ripario","Simpson diversity",18.963,23.045,1.744,19.628,26.463,2,32,21,0.9023,10,11,0,0,0,0,0,0,0,0
"10","Herbazal","Species richness",10,10,0,NA,NA,1,10,10,1,10,0,0,0,0,0,0,0,0,0
"11","Herbazal","Shannon diversity",10,0,0,10,0,1,10,10,1,10,0,0,0,0,0,0,0,0,0
"12","Herbazal","Simpson diversity",10,10,0,10,10,1,10,10,1,10,0,0,0,0,0,0,0,0,0
"13","Pastos","Species richness",15,17.286,2.376,15.427,27.234,2,22,15,0.8678,8,7,0,0,0,0,0,0,0,0
"14","Pastos","Shannon diversity",14.153,17.286,1.756,14.153,20.727,2,22,15,0.8678,8,7,0,0,0,0,0,0,0,0
"15","Pastos","Simpson diversity",13.444,17,1.618,13.829,20.171,2,22,15,0.8678,8,7,0,0,0,0,0,0,0,0
