"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL","n","S.obs","SC"
"1","Herbazal","Species richness",25,32.998,11.66,25.987,89.806,4823,25,0.9992
"2","Herbazal","Shannon diversity",6.742,6.765,0.124,6.742,7.009,4823,25,0.9992
"3","Herbazal","Simpson diversity",4.189,4.192,0.078,4.189,4.345,4823,25,0.9992
"4","Bosque Denso","Species richness",21,30.995,10.301,22.886,73.959,2159,21,0.9977
"5","Bosque Denso","Shannon diversity",3.978,4.006,0.117,3.978,4.236,2159,21,0.9977
"6","Bosque Denso","Simpson diversity",2.465,2.466,0.063,2.465,2.589,2159,21,0.9977
"7","Bosque Ripario","Species richness",31,31,0.407,31,31.989,9710,31,1
"8","Bosque Ripario","Shannon diversity",6.015,6.024,0.092,6.015,6.205,9710,31,1
"9","Bosque Ripario","Simpson diversity",3.098,3.099,0.043,3.098,3.183,9710,31,1
"10","Pastos","Species richness",15,15.666,1.304,15.057,22.797,854,15,0.9977
"11","Pastos","Shannon diversity",3.379,3.41,0.156,3.379,3.716,854,15,0.9977
"12","Pastos","Simpson diversity",2.17,2.173,0.08,2.17,2.331,854,15,0.9977
"13","Bosque Abierto","Species richness",10,14.493,7.183,10.494,50.858,655,10,0.9954
"14","Bosque Abierto","Shannon diversity",4.062,4.106,0.118,4.062,4.338,655,10,0.9954
"15","Bosque Abierto","Simpson diversity",3.495,3.509,0.104,3.495,3.713,655,10,0.9954
